claim_id,claim_date,customer_id,customer_name,sku_id,claim_type,quantity,claim_amount,approved_amount,status,reason_text,document_status
PIDCLM0000047,12/03/2024,PIDOUT001415,Balaji Yusuf Hardware,PID0006,Expiry,15,16699.33,15571.23,Settled,expired stock,invoice missing
PIDCLM0000048,02/08/2024,PIDOUT000649,Murugan Priya Traders,PID0013,Expiry,32,61754.68,42231.29,Settled,damaged in transit,invoice missing
PIDCLM0000049,2025-12-21,PIDDLR000340,Kaveri Senthil Distributors,PID0023,Leakage,18,9111.65,2146.77,Credit note raised,batch issue,invoice missing
PIDCLM0000050,2024-04-02,PIDOUT002034,Metro Manoj Fertilisers,PID0030,Damage return,21,3159.80,1061.50,Rejected,rate difference,manual approval
PIDCLM0000051,2024-05-16,PIDOUT001945,MURUGAN PRIYA HARDWARE,PID0020,Expiry,33,83942.77,53542.08,Rejected,damaged in transit,invoice missing
PIDCLM0000052,2024-11-09,PIDOUT002521,Star Jagan Distributors,PID0016,Expiry,48,82803.62,14372.42,Open,wrong SKU billed,photo missing
PIDCLM0000053,2026-01-07,PIDOUT008463,Sri Farida Stores,PID0005,Short supply,16,84862.11,18950.09,Approved,wrong SKU billed,manual approval
PIDCLM0000054,2024-05-08,PIDOUT004602,Shree Geetha Enterprises Pvt,PID0031,Damage return,53,75968.09,17107.30,Settled,wrong SKU billed,manual approval
PIDCLM0000055,2024-10-17,PIDDLR000120,Prime Lokesh Enterprises,PID0033,Leakage,34,46327.46,3013.49,Rejected,dealer says slow moving,complete
PIDCLM0000056,21/02/2026,PIDOUT001303,National Priya Hardware,PID0004,Short supply,10,36827.47,4460.85,Rejected,damaged in transit,manual approval
PIDCLM0000057,2024-05-23,PIDOUT007789,Murugan Venkatesh Hardware,PID0029,Expiry,58,48122.20,13020.95,Credit note raised,rate difference,invoice missing
PIDCLM0000058,20/07/2024,PIDOUT002479,National Hari Associates,PID0003,Leakage,54,17390.38,12537.85,Rejected,rate difference,invoice missing
PIDCLM0000059,01/13/2026,PIDOUT004582,United Jagan Hardware,PID0003,Scheme claim,24,78836.89,46403.32,Settled,warranty defect,duplicate suspected
PIDCLM0000060,2025-12-25,PIDOUT004040,Mahalakshmi Revathi Hardware,PID0001,Short supply,10,69990.72,63414.09,Open,rate difference,manual approval
PIDCLM0000061,2026-01-28,PIDOUT002076,Vijaya Prakash Associates,PID0012,Damage return,10,83804.88,35870.53,Settled,leakage,manual approval
PIDCLM0000062,2026-01-28,PIDOUT004876,Balaji Manoj Sales,PID0033,Short supply,22,24276.58,12197.13,Rejected,wrong SKU billed,duplicate suspected
PIDCLM0000063,2025-04-27,PIDOUT003791,Shree Ganesh Hardware,PID0024,Leakage,3,17916.40,10591.53,Pending photo,batch issue,invoice missing
PIDCLM0000064,2024-04-03,PIDOUT007232,National Yusuf Hardware,PID0016,Rate difference,41,57420.33,22517.04,Credit note raised,batch issue,duplicate suspected
PIDCLM0000065,2024-09-25,PIDOUT008116,NEW IRFAN MART,PID0010,Leakage,50,79667.20,13470.92,Settled,damaged in transit,invoice missing
PIDCLM0000066,2024-05-09,PIDOUT008611,Balaji Kavya Hardware,PID0004,Short supply,13,32532.32,16157.10,Settled,damaged in transit,manual approval
PIDCLM0000067,2024-11-09,PIDOUT005501,Star Priya Hardware,PID0021,Scheme claim,37,67912.14,54692.20,Rejected,wrong SKU billed,manual approval
PIDCLM0000068,2024-04-19,PIDOUT005954,Star Senthil Paints,PID0014,Rate difference,39,28062.92,1762.07,Approved,expired stock,complete
PIDCLM0000069,2025-02-11,PIDOUT000214,LUCKY MEENA HARDWARE,PID0020,Damage return,60,13019.60,12434.66,Open,rate difference,manual approval
PIDCLM0000070,2025-02-06,PIDOUT001582,Shree Meena Hardware,PID0025,Short supply,5,64405.65,35688.97,Pending photo,dealer says slow moving,invoice missing
PIDCLM0000071,25-Dec-24,PIDOUT006424,Ganesh Sanjay Hardware,PID0025,Scheme claim,11,14933.15,13700.65,Credit note raised,damaged in transit,duplicate suspected
PIDCLM0000072,2024-09-09,PIDOUT002667,City Farida Mart,PID0027,Leakage,14,41441.00,26486.28,Settled,expired stock,manual approval
PIDCLM0000073,2024-06-15,PIDOUT003885,Star Suresh Fertilisers,PID0028,Leakage,2,67691.43,9297.77,Credit note raised,dealer says slow moving,photo missing
PIDCLM0000074,06/05/2025,PIDDLR000339,New Meena Services,PID0031,Leakage,12,45068.08,31284.29,Open,wrong SKU billed,manual approval
PIDCLM0000075,2024-09-16,PIDOUT008057,New Prakash Stores,PID0026,Expiry,20,33799.94,6638.04,Approved,rate difference,complete
PIDCLM0000076,2025-11-18,PIDOUT006506,National Sanjay Tyres,PID0002,Rate difference,41,11128.70,6980.25,Approved,batch issue,duplicate suspected
PIDCLM0000077,2024-12-04,PIDOUT003557,Sri Sowmya Agencies,PID0022,Leakage,52,27284.53,15607.19,Open,warranty defect,manual approval
PIDCLM0000078,2024-08-14,PIDOUT008836,New Anand Tyres,PID0032,Short supply,47,82470.81,19963.68,Pending photo,expired stock,invoice missing
PIDCLM0000079,2025-10-16,PIDOUT007054,New Farida Distributors,PID0016,Expiry,12,12378.01,9072.40,Approved,expired stock,complete
PIDCLM0000080,2024-07-19,PIDDLR000592,Ganesh Prakash Sales,PID0028,Damage return,31,68648.91,7844.48,Settled,damaged in transit,manual approval
PIDCLM0000081,2026-02-19,PIDOUT004464,Ganesh Manoj Hardware,PID0018,Damage return,60,16149.14,12973.95,Approved,dealer says slow moving,photo missing
PIDCLM0000082,2025-02-26,PIDOUT002438,City Geetha Hardware,PID0008,Damage return,45,29206.05,26205.17,Pending photo,leakage,duplicate suspected
PIDCLM0000083,2025-10-28,PIDOUT004283,New Irfan Hardware,PID0004,Scheme claim,36,39472.88,32801.49,Credit note raised,dealer says slow moving,manual approval
PIDCLM0000084,2025-02-25,PIDOUT006056,Kaveri Suresh Stores,PID0025,Short supply,15,40931.21,35316.04,Rejected,batch issue,complete
PIDCLM0000085,2024-06-11,PIDOUT003512,MURUGAN KAVYA HARDWARE,PID0022,Scheme claim,25,49064.81,25168.87,Pending photo,dealer says slow moving,invoice missing
PIDCLM0000086,2025-04-06,PIDOUT004468,Lucky Naveen Paints,PID0028,Expiry,54,58329.94,25434.00,Pending photo,leakage,manual approval
PIDCLM0000087,2026-02-25,PIDDLR000258,Balaji Lokesh Stores,PID0017,Scheme claim,44,82889.88,45401.56,Open,batch issue,manual approval
PIDCLM0000088,2025-06-03,PIDOUT006989,New Meena Paints Pvt,PID0022,Expiry,51,75812.86,13355.66,Approved,warranty defect,invoice missing
PIDCLM0000089,2024-11-23,PIDOUT005123,Sri Irfan Hardware,PID0003,Damage return,27,45666.86,36985.37,Credit note raised,leakage,invoice missing
PIDCLM0000090,10/09/2025,PIDOUT001221,Royal Venkatesh Chemicals,PID0030,Scheme claim,58,12903.51,132.72,Credit note raised,damaged in transit,invoice missing
PIDCLM0000091,2025-06-03,PIDOUT004985,Murugan Manoj Chemicals,PID0006,Rate difference,32,27069.99,5389.67,Pending photo,rate difference,duplicate suspected
PIDCLM0000092,2024-10-08,PIDDLR000754,Lucky Revathi Services,PID0019,Leakage,22,6109.62,1070.31,Open,batch issue,photo missing
PIDCLM0000093,29/03/2026,PIDDLR000497,Kaveri Venkatesh Sales,PID0025,Rate difference,51,75623.06,17847.27,Settled,wrong SKU billed,complete
PIDCLM0000094,2025-03-16,PIDOUT003741,New Suresh Associates,PID0025,Short supply,21,75219.61,2107.72,Rejected,warranty defect,duplicate suspected
PIDCLM0000095,2025-08-04,PIDDLR000987,Vijaya Lokesh Mart,PID0013,Expiry,57,34084.12,17582.03,Open,damaged in transit,duplicate suspected
PIDCLM0000096,2024-11-06,PIDOUT004799,Prime Prakash Hardware,PID0005,Rate difference,24,5880.63,3232.67,Rejected,rate difference,complete
PIDCLM0000097,2025-10-19,PIDOUT000550,Mahalakshmi Naveen Traders,PID0017,Expiry,3,39661.63,35646.98,Settled,damaged in transit,manual approval
PIDCLM0000098,17/09/2024,PIDOUT007936,Royal Yusuf Depot,PID0008,Leakage,35,34968.68,6600.69,Settled,batch issue,duplicate suspected
PIDCLM0000099,2024-04-23,PIDOUT008846,Metro Deepak Depot,PID0007,Leakage,25,65293.22,17508.23,Approved,leakage,invoice missing
PIDCLM0000100,2025-03-03,PIDOUT005196,Shree Lokesh Hardware,PID0027,Short supply,6,30021.82,14982.02,Approved,dealer says slow moving,duplicate suspected
PIDCLM0000101,2025-03-12,PIDOUT005949,Modern Priya Chemicals,PID0011,Rate difference,57,21159.78,6593.12,Approved,leakage,complete
PIDCLM0000102,2025-12-27,PIDOUT006479,Murugan Sanjay Hardware,PID0021,Leakage,28,29480.70,1578.88,Credit note raised,leakage,manual approval
PIDCLM0000103,14/12/2024,PIDOUT000873,Metro Hari Hardware,PID0008,Leakage,36,57071.77,19981.57,Credit note raised,dealer says slow moving,invoice missing
PIDCLM0000104,2025-11-14,PIDOUT003161,United Prakash Agro,PID0026,Scheme claim,34,76130.43,74856.49,Approved,leakage,manual approval
PIDCLM0000105,2024-06-04,PIDOUT005424,Prime Sanjay Hardware,PID0018,Expiry,45,83710.74,65451.83,Approved,warranty defect,duplicate suspected
PIDCLM0000106,2025-07-31,PIDOUT006572,Balaji Lokesh Hardware,PID0004,Scheme claim,56,48962.27,41226.36,Credit note raised,dealer says slow moving,duplicate suspected
PIDCLM0000107,02-Jul-24,PIDOUT000613,United Kavya Corporation,PID0015,Expiry,7,75390.32,25111.34,Settled,wrong SKU billed,complete
PIDCLM0000108,09/07/2024,PIDDLR001064,Lucky Sowmya Agro,PID0013,Scheme claim,44,13321.03,11554.03,Rejected,leakage,photo missing
PIDCLM0000109,2024-05-07,PIDOUT002823,Vijaya Irfan Hardware,PID0003,Scheme claim,49,22091.40,16490.15,Credit note raised,damaged in transit,duplicate suspected
PIDCLM0000110,2024-08-03,PIDOUT004746,Murugan Kavya Stores,PID0016,Short supply,6,75245.30,41604.26,Credit note raised,dealer says slow moving,complete
PIDCLM0000111,2025-03-08,PIDOUT001676,Sri Manoj Distributors,PID0021,Short supply,15,19496.42,3689.97,Pending photo,dealer says slow moving,photo missing
PIDCLM0000112,2024-10-23,PIDOUT001014,Sree Suresh Sales,PID0004,Short supply,15,65451.54,60672.17,Pending photo,expired stock,invoice missing
PIDCLM0000113,2026-02-19,PIDOUT003733,Prime Yusuf Distributors,PID0013,Rate difference,33,79424.88,31147.98,Settled,damaged in transit,manual approval
PIDCLM0000114,2025-02-03,PIDOUT004129,Vijaya Arun Agro,PID0016,Expiry,47,63551.48,16860.82,Settled,dealer says slow moving,manual approval
PIDCLM0000115,2025-06-09,PIDOUT004112,Shree Chandra Hardware,PID0014,Rate difference,44,12826.53,9722.49,Approved,rate difference,manual approval
PIDCLM0000116,20/02/2025,PIDOUT004118,Balaji Venkatesh Paints,PID0024,Short supply,24,78481.86,4212.69,Rejected,damaged in transit,invoice missing
PIDCLM0000117,26/05/2025,PIDOUT001797,Lucky Ganesh Stores Main,PID0002,Rate difference,45,80677.05,31884.56,Open,batch issue,photo missing
PIDCLM0000118,2025-12-30,PIDOUT002270,Murugan Priya Chemicals,PID0016,Expiry,6,42892.79,16965.54,Credit note raised,damaged in transit,complete
PIDCLM0000119,2025-02-07,PIDOUT006799,City Bala Agro,PID0019,Leakage,5,64212.48,2180.78,Rejected,dealer says slow moving,manual approval
PIDCLM0000120,2024-09-27,PIDOUT001309,New Arun Hardware,PID0021,Damage return,2,46383.12,21738.91,Approved,damaged in transit,photo missing
PIDCLM0000121,2025-07-31,PIDOUT004019,Vijaya Kavya Hardware,PID0002,Expiry,54,79374.58,11882.50,Open,expired stock,photo missing
PIDCLM0000122,2024-08-12,PIDOUT002366,Ganesh Prakash Hardware,PID0014,Expiry,32,27241.60,24186.90,Credit note raised,leakage,duplicate suspected
PIDCLM0000123,2024-11-18,PIDOUT008126,City Sanjay Tyres,PID0016,Damage return,26,20666.33,17647.21,Pending photo,damaged in transit,complete
PIDCLM0000124,2026-03-13,PIDOUT005171,Star Prakash Hardware,PID0025,Expiry,13,19117.33,11946.70,Approved,leakage,invoice missing
PIDCLM0000125,2026-03-25,PIDOUT005754,United Suresh Mart,PID0019,Damage return,2,5826.58,1760.58,Open,dealer says slow moving,complete
PIDCLM0000126,2025-04-20,PIDOUT007634,City Sanjay Hardware,PID0013,Scheme claim,32,34303.30,2976.85,Pending photo,leakage,photo missing
PIDCLM0000127,2025-03-06,PIDOUT003418,National Manoj Mart,PID0020,Short supply,17,31652.67,7833.36,Pending photo,warranty defect,photo missing
PIDCLM0000128,2024-10-14,PIDOUT001157,Star Farida Hardware,PID0016,Damage return,45,22329.66,8995.82,Rejected,wrong SKU billed,manual approval
PIDCLM0000129,2024-06-07,PIDOUT000646,Murugan Meena Sales,PID0017,Short supply,24,51346.84,31624.32,Rejected,warranty defect,duplicate suspected
PIDCLM0000130,03-Jun-25,PIDOUT004322,Prime Geetha Depot,PID0015,Expiry,47,61414.89,16583.53,Approved,rate difference,duplicate suspected
PIDCLM0000131,17-Aug-24,PIDDLR000025,Ganesh Chandra Services Pvt,PID0012,Damage return,55,25595.67,6080.92,Rejected,damaged in transit,manual approval
PIDCLM0000132,08/03/2025,PIDOUT008539,Sree Karthik Hardware,PID0010,Damage return,32,45647.79,25619.83,Rejected,expired stock,manual approval
PIDCLM0000133,12/08/2024,PIDOUT004349,Sree Karthik Hardware,PID0025,Rate difference,14,73833.43,57299.42,Pending photo,warranty defect,manual approval
PIDCLM0000134,08-Jul-24,PIDOUT000770,Star Bala Fertilisers & Co,PID0025,Damage return,33,83570.35,61142.15,Settled,warranty defect,duplicate suspected
PIDCLM0000135,28-Jul-24,PIDOUT002759,Sree Naveen Hardware,PID0014,Scheme claim,47,4459.19,4395.91,Approved,warranty defect,duplicate suspected
PIDCLM0000136,2026-02-06,PIDOUT007934,National Lokesh Enterprises,PID0005,Leakage,52,82397.99,48584.82,Pending photo,expired stock,invoice missing
PIDCLM0000137,2025-01-03,PIDDLR001096,MODERN SURESH ENTERPRISES,PID0019,Leakage,37,51413.48,28722.20,Open,damaged in transit,manual approval
PIDCLM0000138,2025-02-10,PIDOUT007782,Metro Prakash Hardware,PID0011,Leakage,53,13773.16,12451.50,Rejected,leakage,duplicate suspected
PIDCLM0000139,2024-09-17,PIDOUT002812,United Rafiq Hardware,PID0023,Short supply,50,42706.96,18913.74,Open,warranty defect,invoice missing
PIDCLM0000140,2025-03-25,PIDOUT004670,Lucky Suresh Distributors,PID0020,Expiry,34,1449.99,159.80,Rejected,warranty defect,invoice missing
PIDCLM0000141,01/05/2025,PIDOUT008621,Prime Deepak Hardware,PID0013,Short supply,5,84065.80,10504.74,Approved,batch issue,complete
PIDCLM0000142,2025-04-21,PIDOUT007652,National Ganesh Hardware,PID0008,Damage return,40,72674.72,41969.44,Approved,warranty defect,photo missing
PIDCLM0000143,2025-08-21,PIDDLR000272,City Prakash Traders,PID0012,Damage return,32,52916.92,35393.64,Open,dealer says slow moving,duplicate suspected
PIDCLM0000144,2026-02-09,PIDOUT001510,STAR LAKSHMI MART,PID0030,Short supply,56,2065.18,1579.69,Open,leakage,duplicate suspected
PIDCLM0000145,22/11/2024,PIDOUT005208,Ganesh Yusuf Distributors,PID0016,Scheme claim,15,45016.37,19034.69,Pending photo,wrong SKU billed,photo missing
PIDCLM0000146,2024-07-01,PIDOUT004869,Sree Anand Tyres,PID0016,Expiry,14,39006.31,34739.75,Credit note raised,expired stock,manual approval
PIDCLM0000147,2024-09-26,PIDOUT005829,Modern Sanjay Distributors,PID0010,Damage return,27,59944.01,24304.94,Approved,rate difference,complete
PIDCLM0000148,2026-02-19,PIDOUT002381,National Geetha Hardware,PID0027,Rate difference,31,79324.93,50093.67,Pending photo,rate difference,manual approval
PIDCLM0000149,2025-04-25,PIDOUT006816,Murugan Bala Sales,PID0033,Rate difference,10,41264.96,19394.92,Settled,leakage,photo missing
PIDCLM0000150,2025-12-30,PIDOUT000230,Ganesh Arun Services,PID0021,Rate difference,37,6365.47,6289.35,Settled,warranty defect,complete
PIDCLM0000151,18/08/2025,PIDOUT000770,Star Bala Fertilisers & Co,PID0031,Scheme claim,15,31174.88,21818.40,Settled,warranty defect,manual approval
PIDCLM0000152,2024-10-12,PIDOUT004422,City Sowmya Chemicals,PID0033,Short supply,18,10187.48,3475.63,Pending photo,damaged in transit,manual approval
PIDCLM0000153,2024-09-05,PIDOUT001415,Balaji Yusuf Hardware,PID0012,Leakage,37,9078.48,6263.71,Open,leakage,photo missing
PIDCLM0000154,2025-05-08,PIDDLR000597,Star Manoj Distributors,PID0010,Short supply,3,30904.85,22908.75,Approved,wrong SKU billed,manual approval
PIDCLM0000155,29-Dec-25,PIDOUT008473,Ganesh Lokesh Mart,PID0016,Short supply,39,68732.34,34109.55,Pending photo,wrong SKU billed,photo missing
PIDCLM0000156,2025-01-14,PIDOUT001249,Kaveri Meena Hardware & Co,PID0021,Rate difference,46,62392.45,22597.44,Approved,expired stock,manual approval
PIDCLM0000157,2025-05-30,PIDOUT000843,Star Ganesh Hardware,PID0006,Damage return,24,62603.55,50856.30,Pending photo,expired stock,photo missing
PIDCLM0000158,2024-08-04,PIDOUT000473,Vijaya Karthik Chemicals,PID0025,Damage return,46,76136.03,15602.76,Credit note raised,batch issue,invoice missing
PIDCLM0000159,2025-09-12,PIDOUT006826,City Kavya Services,PID0009,Rate difference,15,16925.85,6385.44,Credit note raised,batch issue,invoice missing
PIDCLM0000160,01/19/2025,PIDOUT002973,Lucky Arun Tyres,PID0030,Damage return,32,81202.70,52610.32,Credit note raised,dealer says slow moving,manual approval
PIDCLM0000161,2025-02-02,PIDOUT001188,Mahalakshmi Irfan Services,PID0009,Short supply,59,15786.83,13552.43,Open,rate difference,manual approval
PIDCLM0000162,2025-03-12,PIDOUT002583,National Venkatesh Hardware,PID0021,Damage return,47,39525.66,12970.63,Open,wrong SKU billed,duplicate suspected
PIDCLM0000163,2024-04-10,PIDOUT007182,Lucky Hari Hardware,PID0002,Rate difference,11,44871.74,25216.54,Settled,batch issue,photo missing
PIDCLM0000164,2025-10-13,PIDOUT005289,National Prakash Hardware,PID0001,Rate difference,8,46871.11,9323.09,Approved,expired stock,duplicate suspected
PIDCLM0000165,04/08/2024,PIDOUT000633,Sri Bala Hardware,PID0013,Rate difference,15,62894.99,9638.23,Settled,rate difference,manual approval
PIDCLM0000166,2025-01-25,PIDOUT006475,Ganesh Senthil Depot Ltd,PID0006,Scheme claim,60,45569.72,16441.69,Pending photo,leakage,manual approval
PIDCLM0000167,2024-12-01,PIDOUT008514,Kaveri Rafiq Distributors,PID0018,Short supply,53,36658.75,23318.93,Settled,batch issue,complete
PIDCLM0000168,2025-06-10,PIDOUT002591,Kaveri Naveen Hardware,PID0006,Leakage,52,75778.44,71712.60,Approved,dealer says slow moving,photo missing
PIDCLM0000169,17-Feb-25,PIDOUT000593,Murugan Deepak Corporation,PID0014,Short supply,3,7818.81,4959.76,Settled,warranty defect,complete
PIDCLM0000170,2025-11-26,PIDOUT002529,Metro Manoj Hardware,PID0015,Short supply,27,6874.78,4360.28,Rejected,leakage,duplicate suspected
PIDCLM0000171,2025-05-30,PIDOUT007601,Sri Anand Sales,PID0018,Expiry,38,55942.00,34079.88,Open,batch issue,photo missing
PIDCLM0000172,03/05/2026,PIDOUT008076,Prime Ganesh Depot,PID0015,Short supply,37,35777.52,25753.42,Rejected,warranty defect,duplicate suspected
PIDCLM0000173,2026-03-12,PIDOUT002440,National Bala Depot,PID0008,Damage return,22,12064.03,1762.71,Credit note raised,leakage,complete
PIDCLM0000174,2026-01-11,PIDOUT002274,Royal Lokesh Paints Main,PID0013,Damage return,35,29151.43,9160.84,Settled,leakage,invoice missing
PIDCLM0000175,2024-10-08,PIDOUT000793,Lucky Lakshmi Hardware,PID0026,Leakage,5,39696.53,1619.24,Rejected,expired stock,photo missing
PIDCLM0000176,2024-12-18,PIDOUT007104,New Jagan Tyres,PID0031,Damage return,4,39324.13,8019.52,Credit note raised,wrong SKU billed,photo missing
PIDCLM0000177,12-Jul-24,PIDOUT004878,Shree Rafiq Distributors,PID0031,Rate difference,40,38531.17,29846.55,Open,batch issue,photo missing
PIDCLM0000178,2025-09-19,PIDOUT001869,Modern Venkatesh Hardware,PID0032,Scheme claim,8,23050.30,396.56,Pending photo,expired stock,photo missing
PIDCLM0000179,07/16/2024,PIDDLR000601,VIJAYA DEEPAK SALES,PID0015,Damage return,33,27601.93,17854.12,Open,expired stock,photo missing
