purchase_id,purchase_date,influencer_id,mapped_outlet_id,sku_id,points_earned,purchase_value,bill_photo_status,approval_status,note
PIDINFBUY00000052,2024-05-31,PIDINF001143,PIDOUT004688,PID0018,17,893.24,manual,approved,same bill twice
PIDINFBUY00000053,2025-09-14,PIDINF000626,PIDOUT006310,PID0017,52,1063.86,manual,pending,cash bill
PIDINFBUY00000054,2025-10-10,PIDINF003388,PIDOUT003706,PID0023,131,2828.40,ok,rework,dealer name mismatch
PIDINFBUY00000055,2025-07-10,PIDINF002002,PIDOUT002949,PID0032,149,8410.07,blurred,pending,same bill twice
PIDINFBUY00000056,2025-12-08,PIDINF002664,PIDOUT000502,PID0020,6,468.10,duplicate,rejected,same bill twice
PIDINFBUY00000057,2024-11-15,PIDINF001259,PIDOUT004122,PID0013,257,14263.41,duplicate,pending,
PIDINFBUY00000058,12/26/2025,PIDINF002028,PIDOUT007989,PID0007,256,10370.87,duplicate,pending,same bill twice
PIDINFBUY00000059,2024-08-25,PIDINF001379,PIDOUT006851,PID0001,70,4524.18,manual,rejected,old SKU code
PIDINFBUY00000060,17/12/2025,PIDINF000281,PIDOUT008290,PID0017,306,6392.39,blurred,rework,same bill twice
PIDINFBUY00000061,10/10/2024,PIDINF000073,PIDOUT000927,PID0001,349,16728.52,ok,pending,old SKU code
PIDINFBUY00000062,2025-10-01,PIDINF000677,PIDOUT003621,PID0017,179,11707.63,duplicate,pending,cash bill
PIDINFBUY00000063,2025-11-04,PIDINF001479,PIDOUT002530,PID0014,678,17766.64,blurred,pending,same bill twice
PIDINFBUY00000064,2026-03-02,PIDINF001956,PIDOUT003071,PID0014,20,1402.10,ok,pending,
PIDINFBUY00000065,2026-01-08,PIDINF000360,PIDOUT004451,PID0017,46,1094.79,duplicate,pending,same bill twice
PIDINFBUY00000066,07/07/2025,PIDINF003278,PIDOUT002431,PID0030,303,16585.92,blurred,rework,cash bill
PIDINFBUY00000067,2024-09-02,PIDINF002490,PIDOUT003018,PID0022,223,15792.96,missing,rework,
PIDINFBUY00000068,2025-05-14,PIDINF002446,PIDOUT000599,PID0009,306,16522.63,blurred,rework,old SKU code
PIDINFBUY00000069,2025-07-21,PIDINF002129,PIDOUT003768,PID0012,184,6681.59,missing,approved,old SKU code
PIDINFBUY00000070,2024-06-30,PIDINF003377,PIDOUT005151,PID0032,258,9934.77,duplicate,rejected,cash bill
PIDINFBUY00000071,2025-11-06,PIDINF003162,PIDOUT008435,PID0023,435,12402.54,missing,approved,cash bill
PIDINFBUY00000072,18/02/2025,PIDINF000859,PIDOUT001524,PID0029,233,5723.48,duplicate,pending,dealer name mismatch
PIDINFBUY00000073,2024-12-13,PIDINF000765,PIDOUT005206,PID0003,165,8719.18,blurred,approved,old SKU code
PIDINFBUY00000074,2024-06-18,PIDINF000888,PIDOUT002707,PID0013,135,8456.09,duplicate,rework,same bill twice
PIDINFBUY00000075,23-Oct-25,PIDINF001865,PIDOUT008551,PID0018,60,1422.50,ok,rejected,dealer name mismatch
PIDINFBUY00000076,2026-03-10,PIDINF000113,PIDOUT006670,PID0028,163,10856.64,missing,pending,old SKU code
PIDINFBUY00000077,2025-06-28,PIDINF002747,PIDOUT002210,PID0005,42,1513.53,missing,pending,cash bill
PIDINFBUY00000078,2025-12-29,PIDINF000422,PIDOUT006764,PID0015,192,11866.35,blurred,pending,same bill twice
PIDINFBUY00000079,2025-07-05,PIDINF000357,PIDOUT006909,PID0033,7,464.93,missing,approved,
PIDINFBUY00000080,2026-01-04,PIDINF001449,PIDOUT003568,PID0013,185,7254.95,ok,approved,same bill twice
PIDINFBUY00000081,2025-01-04,PIDINF000710,PIDOUT001694,PID0001,138,9318.99,duplicate,approved,
PIDINFBUY00000082,2024-09-24,PIDINF002167,PIDOUT000180,PID0016,78,5724.92,ok,pending,old SKU code
PIDINFBUY00000083,2026-03-20,PIDINF000718,PIDOUT003315,PID0012,114,7008.21,ok,rework,cash bill
PIDINFBUY00000084,2025-04-06,PIDINF001697,PIDOUT007670,PID0019,61,2058.35,missing,rework,
PIDINFBUY00000085,22/08/2024,PIDINF001629,PIDOUT004052,PID0009,493,17426.97,duplicate,rejected,
PIDINFBUY00000086,2025-10-04,PIDINF000870,PIDOUT003431,PID0030,180,4694.48,blurred,rework,old SKU code
PIDINFBUY00000087,2025-04-29,PIDINF002773,PIDOUT002044,PID0011,105,6898.24,duplicate,pending,same bill twice
PIDINFBUY00000088,2024-11-19,PIDINF001648,PIDOUT000280,PID0029,201,4485.03,missing,pending,dealer name mismatch
PIDINFBUY00000089,18-Aug-25,PIDINF001006,PIDOUT007175,PID0029,33,1447.37,duplicate,pending,dealer name mismatch
PIDINFBUY00000090,2025-04-26,PIDINF003315,PIDOUT007069,PID0029,27,1080.44,manual,approved,old SKU code
PIDINFBUY00000091,2024-05-27,PIDINF003007,PIDOUT002777,PID0012,180,10743.25,ok,rework,
PIDINFBUY00000092,2025-11-19,PIDINF002516,PIDOUT000888,PID0003,52,1742.09,duplicate,rework,same bill twice
PIDINFBUY00000093,2025-10-30,PIDINF000106,PIDOUT007606,PID0020,168,5688.92,missing,pending,
PIDINFBUY00000094,2024-10-25,PIDINF002002,PIDOUT002949,PID0018,270,12025.36,blurred,rework,cash bill
PIDINFBUY00000095,2024-05-29,PIDINF001953,PIDOUT000492,PID0023,97,2443.68,missing,approved,
PIDINFBUY00000096,2024-10-26,PIDINF002721,PIDOUT005218,PID0029,53,2252.25,missing,rejected,dealer name mismatch
PIDINFBUY00000097,07/12/2024,PIDINF000111,PIDOUT001407,PID0023,259,13231.63,duplicate,rework,cash bill
PIDINFBUY00000098,2024-10-29,PIDINF000708,PIDOUT005673,PID0001,26,1582.51,manual,approved,same bill twice
PIDINFBUY00000099,2024-06-17,PIDINF002446,PIDOUT000599,PID0032,275,8933.12,ok,pending,dealer name mismatch
PIDINFBUY00000100,2025-05-11,PIDINF001529,PIDOUT008816,PID0006,81,3557.44,missing,approved,cash bill
PIDINFBUY00000101,2025-09-17,PIDINF003400,PIDOUT008249,PID0015,102,7438.16,duplicate,rework,
PIDINFBUY00000102,2025-01-27,PIDINF003320,PIDOUT008949,PID0024,125,7406.46,duplicate,pending,dealer name mismatch
PIDINFBUY00000103,2024-04-30,PIDINF000971,PIDOUT008604,PID0021,397,10199.68,duplicate,approved,same bill twice
PIDINFBUY00000104,2024-09-01,PIDINF000113,PIDOUT006670,PID0007,183,10676.50,missing,pending,same bill twice
PIDINFBUY00000105,2024-12-31,PIDINF000397,PIDOUT001451,PID0027,133,8134.18,duplicate,rework,same bill twice
PIDINFBUY00000106,2026-02-27,PIDINF003042,PIDOUT007645,PID0005,236,15314.15,duplicate,rework,dealer name mismatch
PIDINFBUY00000107,04/21/2025,PIDINF003378,PIDOUT003941,PID0027,109,5083.11,ok,rework,dealer name mismatch
PIDINFBUY00000108,2024-09-01,PIDINF002010,PIDOUT007241,PID0006,41,1419.92,manual,pending,
PIDINFBUY00000109,01/25/2025,PIDINF001744,PIDOUT001839,PID0015,171,4231.95,missing,rejected,
PIDINFBUY00000110,2025-10-02,PIDINF002324,PIDOUT002932,PID0012,90,5758.20,blurred,pending,same bill twice
PIDINFBUY00000111,2024-05-14,PIDINF002453,PIDOUT007389,PID0029,260,17929.87,blurred,approved,
PIDINFBUY00000112,11/05/2024,PIDINF002263,PIDOUT007480,PID0028,117,8774.74,manual,approved,same bill twice
PIDINFBUY00000113,2025-10-24,PIDINF001923,PIDOUT004915,PID0024,121,8891.44,manual,rejected,same bill twice
PIDINFBUY00000114,15/05/2025,PIDINF000786,PIDOUT002715,PID0016,130,4188.58,duplicate,pending,same bill twice
PIDINFBUY00000115,2025-02-17,PIDINF000240,PIDOUT001238,PID0005,284,16089.42,missing,rework,
PIDINFBUY00000116,2026-03-13,PIDINF002099,PIDOUT002727,PID0011,201,6039.14,missing,approved,
PIDINFBUY00000117,2025-07-11,PIDINF003173,PIDOUT007034,PID0025,109,4887.12,duplicate,approved,dealer name mismatch
PIDINFBUY00000118,2024-12-01,PIDINF000836,PIDOUT007180,PID0030,166,11873.02,manual,rejected,dealer name mismatch
PIDINFBUY00000119,2025-12-06,PIDINF000775,PIDOUT002836,PID0011,319,17942.64,duplicate,rework,dealer name mismatch
PIDINFBUY00000120,2025-12-14,PIDINF000849,PIDOUT003989,PID0017,458,11395.83,manual,pending,cash bill
PIDINFBUY00000121,2025-04-28,PIDINF001753,PIDOUT000275,PID0006,231,17293.61,blurred,approved,old SKU code
PIDINFBUY00000122,2024-05-16,PIDINF003413,PIDOUT007195,PID0025,184,5507.48,blurred,approved,
PIDINFBUY00000123,2026-03-21,PIDINF001105,PIDOUT003920,PID0020,34,2192.87,manual,approved,same bill twice
PIDINFBUY00000124,2024-06-26,PIDINF002170,PIDOUT000461,PID0031,437,17817.63,manual,approved,old SKU code
PIDINFBUY00000125,2026-02-18,PIDINF002140,PIDOUT006382,PID0001,49,3164.58,duplicate,approved,same bill twice
PIDINFBUY00000126,2025-02-03,PIDINF003479,PIDOUT005549,PID0002,631,14158.37,manual,approved,same bill twice
PIDINFBUY00000127,11/07/2024,PIDINF001971,PIDOUT007082,PID0009,635,14853.80,duplicate,approved,
PIDINFBUY00000128,2025-12-09,PIDINF003200,PIDOUT008550,PID0007,205,15188.98,blurred,rework,cash bill
PIDINFBUY00000129,2025-06-11,PIDINF001526,PIDOUT000152,PID0004,483,17618.15,blurred,rework,old SKU code
PIDINFBUY00000130,2024-09-30,PIDINF001236,PIDOUT000130,PID0001,450,13310.58,manual,rejected,old SKU code
PIDINFBUY00000131,2024-08-22,PIDINF001228,PIDOUT002944,PID0014,213,12898.93,missing,rework,same bill twice
PIDINFBUY00000132,11/08/2024,PIDINF003241,PIDOUT007209,PID0017,189,6628.52,missing,pending,old SKU code
PIDINFBUY00000133,08/30/2024,PIDINF001035,PIDOUT002245,PID0007,230,10291.91,ok,rework,old SKU code
PIDINFBUY00000134,2025-12-19,PIDINF002341,PIDOUT005902,PID0031,89,6272.95,duplicate,approved,cash bill
PIDINFBUY00000135,31/03/2025,PIDINF000435,PIDOUT002483,PID0026,187,12539.63,missing,pending,dealer name mismatch
PIDINFBUY00000136,16-Nov-25,PIDINF002879,PIDOUT007657,PID0029,6,378.73,duplicate,rework,
PIDINFBUY00000137,2025-11-05,PIDINF002659,PIDOUT003111,PID0015,131,8094.38,missing,approved,old SKU code
PIDINFBUY00000138,09/14/2024,PIDINF003258,PIDOUT002904,PID0017,205,11758.65,missing,rejected,cash bill
PIDINFBUY00000139,2024-06-26,PIDINF003454,PIDOUT002565,PID0019,107,7142.89,missing,rework,
PIDINFBUY00000140,2024-07-08,PIDINF000638,PIDOUT005128,PID0005,416,16467.89,manual,rework,cash bill
PIDINFBUY00000141,2025-07-07,PIDINF001821,PIDOUT000653,PID0014,41,2676.33,blurred,rework,same bill twice
PIDINFBUY00000142,12/06/2025,PIDINF001690,PIDOUT006615,PID0016,100,6611.16,manual,rework,cash bill
PIDINFBUY00000143,2024-06-04,PIDINF000555,PIDOUT002687,PID0021,244,7357.61,ok,approved,dealer name mismatch
PIDINFBUY00000144,2025-04-16,PIDINF001034,PIDOUT004413,PID0031,281,16484.35,duplicate,approved,cash bill
PIDINFBUY00000145,07/12/2024,PIDINF002193,PIDOUT007618,PID0013,631,13899.41,ok,rejected,same bill twice
PIDINFBUY00000146,2024-10-13,PIDINF001144,PIDOUT007302,PID0019,224,8087.80,manual,approved,cash bill
PIDINFBUY00000147,2024-07-20,PIDINF001606,PIDOUT008837,PID0028,335,15820.19,ok,rework,
PIDINFBUY00000148,2025-03-25,PIDINF001030,PIDOUT006815,PID0023,90,6407.32,ok,rejected,
PIDINFBUY00000149,2025-09-12,PIDINF000023,PIDOUT000649,PID0030,28,1987.22,blurred,pending,
PIDINFBUY00000150,2024-04-08,PIDINF003479,PIDOUT005549,PID0025,271,17449.52,manual,rejected,same bill twice
PIDINFBUY00000151,2024-04-22,PIDINF001388,PIDOUT006124,PID0031,557,11363.33,manual,approved,old SKU code
PIDINFBUY00000152,08/14/2025,PIDINF001540,PIDOUT005158,PID0016,145,8809.64,manual,rejected,old SKU code
PIDINFBUY00000153,2026-03-23,PIDINF000943,PIDOUT007513,PID0020,487,10388.20,blurred,pending,cash bill
PIDINFBUY00000154,10/02/2025,PIDINF001790,PIDOUT007349,PID0006,415,9543.50,manual,pending,same bill twice
PIDINFBUY00000155,2026-02-15,PIDINF001806,PIDOUT005798,PID0031,154,11350.26,blurred,rejected,old SKU code
PIDINFBUY00000156,2025-04-30,PIDINF002275,PIDOUT002680,PID0010,155,5439.60,duplicate,pending,same bill twice
PIDINFBUY00000157,2025-06-16,PIDINF000911,PIDOUT008224,PID0006,170,9745.67,missing,approved,old SKU code
PIDINFBUY00000158,17/10/2025,PIDINF000125,PIDOUT004239,PID0018,245,11479.92,ok,pending,cash bill
PIDINFBUY00000159,09/06/2024,PIDINF003291,PIDOUT001016,PID0014,579,15932.81,duplicate,rejected,same bill twice
PIDINFBUY00000160,2026-03-24,PIDINF002604,PIDOUT006849,PID0022,36,1508.09,manual,pending,same bill twice
PIDINFBUY00000161,2024-08-18,PIDINF003095,PIDOUT004006,PID0005,325,15666.41,manual,rejected,
PIDINFBUY00000162,2025-08-21,PIDINF001501,PIDOUT002163,PID0004,100,2612.44,duplicate,approved,
PIDINFBUY00000163,2025-02-25,PIDINF001281,PIDOUT006918,PID0012,513,13359.58,missing,rejected,dealer name mismatch
PIDINFBUY00000164,2024-09-06,PIDINF002228,PIDOUT008927,PID0026,134,4940.71,blurred,rejected,dealer name mismatch
PIDINFBUY00000165,2025-11-15,PIDINF001358,PIDOUT002287,PID0001,25,1844.94,duplicate,pending,
PIDINFBUY00000166,10/25/2024,PIDINF000781,PIDOUT004766,PID0016,208,10704.89,ok,pending,
PIDINFBUY00000167,2024-05-15,PIDINF003150,PIDOUT006663,PID0021,260,15508.07,duplicate,rework,same bill twice
PIDINFBUY00000168,11/11/2025,PIDINF001647,PIDOUT005575,PID0030,2,171.03,manual,approved,same bill twice
PIDINFBUY00000169,06/02/2025,PIDINF001139,PIDOUT003142,PID0002,67,3056.24,ok,approved,
PIDINFBUY00000170,2026-02-14,PIDINF000040,PIDOUT007674,PID0018,23,1742.47,blurred,rework,old SKU code
PIDINFBUY00000171,2024-04-21,PIDINF001576,PIDOUT003292,PID0001,29,1268.11,ok,rework,same bill twice
PIDINFBUY00000172,2026-01-17,PIDINF001198,PIDOUT003640,PID0004,219,7931.90,manual,rejected,old SKU code
PIDINFBUY00000173,2024-10-31,PIDINF003475,PIDOUT002888,PID0013,159,4846.21,ok,approved,dealer name mismatch
PIDINFBUY00000174,23/06/2024,PIDINF002215,PIDOUT002805,PID0003,179,10561.01,manual,pending,
PIDINFBUY00000175,2025-03-10,PIDINF000770,PIDOUT000549,PID0027,97,6870.41,blurred,rejected,
PIDINFBUY00000176,2026-01-24,PIDINF001793,PIDOUT006871,PID0016,51,1250.87,duplicate,rework,
PIDINFBUY00000177,2024-12-20,PIDINF000148,PIDOUT008414,PID0010,298,17146.92,missing,approved,same bill twice
PIDINFBUY00000178,2025-04-06,PIDINF000429,PIDOUT005298,PID0005,224,9672.16,manual,approved,
PIDINFBUY00000179,2024-08-25,PIDINF000181,PIDOUT007447,PID0002,84,4716.98,missing,approved,
PIDINFBUY00000180,19/07/2025,PIDINF002134,PIDOUT007169,PID0012,14,702.60,missing,rejected,cash bill
PIDINFBUY00000181,2024-12-26,PIDINF000171,PIDOUT004240,PID0019,84,3436.48,duplicate,pending,cash bill
PIDINFBUY00000182,2025-06-02,PIDINF002143,PIDOUT001864,PID0001,777,15825.07,manual,pending,
PIDINFBUY00000183,2024-06-08,PIDINF001773,PIDOUT002612,PID0023,138,9035.20,duplicate,rejected,same bill twice
PIDINFBUY00000184,2026-01-30,PIDINF002153,PIDOUT005582,PID0023,626,13694.32,manual,approved,
PIDINFBUY00000185,2026-02-24,PIDINF000427,PIDOUT003113,PID0022,319,11117.16,missing,rework,same bill twice
PIDINFBUY00000186,2024-08-08,PIDINF000899,PIDOUT002193,PID0033,126,3985.98,manual,pending,cash bill
PIDINFBUY00000187,2026-03-23,PIDINF002364,PIDOUT004010,PID0008,155,6284.02,missing,pending,old SKU code
PIDINFBUY00000188,2026-01-30,PIDINF000518,PIDOUT005667,PID0005,166,12374.34,duplicate,pending,
PIDINFBUY00000189,2024-09-13,PIDINF002125,PIDOUT008621,PID0014,57,2859.13,ok,rework,
PIDINFBUY00000190,2024-04-22,PIDINF001858,PIDOUT003329,PID0012,134,9858.70,duplicate,pending,
PIDINFBUY00000191,2026-03-30,PIDINF001191,PIDOUT002057,PID0010,138,3483.53,ok,pending,dealer name mismatch
PIDINFBUY00000192,2025-02-11,PIDINF001409,PIDOUT007970,PID0004,242,11103.34,blurred,rework,
PIDINFBUY00000193,2024-09-19,PIDINF002504,PIDOUT006808,PID0022,407,9335.87,blurred,pending,
PIDINFBUY00000194,2025-02-02,PIDINF000094,PIDOUT003906,PID0016,56,2541.80,missing,pending,cash bill
PIDINFBUY00000195,2025-04-02,PIDINF002313,PIDOUT001502,PID0016,234,13525.65,manual,rejected,old SKU code
PIDINFBUY00000196,2024-09-19,PIDINF002796,PIDOUT001128,PID0009,66,3768.62,duplicate,rejected,old SKU code
PIDINFBUY00000197,11/20/2024,PIDINF003438,PIDOUT000939,PID0021,264,13104.74,missing,rework,old SKU code
PIDINFBUY00000198,2024-07-05,PIDINF000874,PIDOUT005660,PID0008,97,5347.75,duplicate,rework,dealer name mismatch
PIDINFBUY00000199,01/21/2026,PIDINF003064,PIDOUT003218,PID0009,275,12937.18,blurred,approved,
PIDINFBUY00000200,2024-09-28,PIDINF000880,PIDOUT003427,PID0009,50,3613.34,missing,pending,cash bill
PIDINFBUY00000201,2024-05-09,PIDINF000172,PIDOUT002117,PID0004,232,16082.33,blurred,pending,
PIDINFBUY00000202,26/04/2025,PIDINF002825,PIDOUT007896,PID0013,74,2024.71,ok,pending,cash bill
PIDINFBUY00000203,09/02/2025,PIDINF002243,PIDOUT006703,PID0033,104,5969.19,duplicate,rework,
PIDINFBUY00000204,2025-01-25,PIDINF002732,PIDOUT008207,PID0003,58,4332.17,missing,rejected,
PIDINFBUY00000205,2025-12-25,PIDINF000877,PIDOUT000021,PID0008,8,231.44,missing,rework,dealer name mismatch
PIDINFBUY00000206,2025-03-13,PIDINF001033,PIDOUT007614,PID0006,253,16134.81,missing,approved,same bill twice
PIDINFBUY00000207,26/01/2026,PIDINF001515,PIDOUT003404,PID0026,67,1708.84,blurred,approved,old SKU code
PIDINFBUY00000208,2024-10-15,PIDINF002244,PIDOUT001257,PID0012,264,12457.94,manual,rework,
PIDINFBUY00000209,2025-09-17,PIDINF000682,PIDOUT006420,PID0023,84,4616.20,blurred,rework,cash bill
PIDINFBUY00000210,2024-08-31,PIDINF001949,PIDOUT001364,PID0029,341,17086.98,duplicate,rejected,old SKU code
PIDINFBUY00000211,15/04/2024,PIDINF001549,PIDOUT001537,PID0022,74,2551.35,duplicate,pending,cash bill
PIDINFBUY00000212,06/15/2025,PIDINF002633,PIDOUT008385,PID0022,76,2769.69,ok,rejected,dealer name mismatch
PIDINFBUY00000213,2025-02-24,PIDINF003187,PIDOUT001783,PID0011,107,6583.44,blurred,rework,
PIDINFBUY00000214,2025-03-06,PIDINF000902,PIDOUT005854,PID0032,146,8832.89,blurred,approved,old SKU code
PIDINFBUY00000215,2024-11-11,PIDINF003213,PIDOUT006997,PID0026,130,5428.88,blurred,pending,dealer name mismatch
PIDINFBUY00000216,2024-10-09,PIDINF003408,PIDOUT003335,PID0009,62,2489.17,manual,rejected,same bill twice
PIDINFBUY00000217,2024-07-10,PIDINF001556,PIDOUT003315,PID0001,244,17045.52,blurred,rejected,same bill twice
PIDINFBUY00000218,2024-04-29,PIDINF000881,PIDOUT003001,PID0008,399,15918.30,ok,approved,cash bill
PIDINFBUY00000219,28-Jan-25,PIDINF002390,PIDOUT001427,PID0008,218,10704.96,blurred,rework,
PIDINFBUY00000220,2025-08-18,PIDINF002150,PIDOUT000957,PID0003,141,5968.09,ok,rejected,dealer name mismatch
PIDINFBUY00000221,2025-05-05,PIDINF002385,PIDOUT003464,PID0013,35,2239.33,blurred,rejected,dealer name mismatch
PIDINFBUY00000222,2024-11-29,PIDINF000583,PIDOUT008513,PID0008,192,12261.55,blurred,pending,dealer name mismatch
PIDINFBUY00000223,2025-11-17,PIDINF000903,PIDOUT006053,PID0029,48,1205.85,ok,rework,same bill twice
PIDINFBUY00000224,2025-12-11,PIDINF002986,PIDOUT008721,PID0013,124,9237.93,duplicate,rework,old SKU code
PIDINFBUY00000225,2026-01-14,PIDINF001916,PIDOUT008895,PID0023,135,3422.83,manual,pending,old SKU code
PIDINFBUY00000226,2024-06-28,PIDINF000799,PIDOUT007487,PID0014,274,14468.09,ok,pending,same bill twice
PIDINFBUY00000227,2025-11-30,PIDINF001558,PIDOUT008461,PID0023,339,10192.25,manual,rework,same bill twice
PIDINFBUY00000228,09/02/2025,PIDINF001203,PIDOUT003135,PID0017,396,10400.36,missing,pending,dealer name mismatch
PIDINFBUY00000229,2025-12-14,PIDINF001752,PIDOUT001780,PID0004,350,11158.47,ok,pending,cash bill
PIDINFBUY00000230,2024-07-10,PIDINF000758,PIDOUT001048,PID0005,4,242.85,blurred,approved,same bill twice
PIDINFBUY00000231,2024-06-05,PIDINF001253,PIDOUT007804,PID0016,306,16492.68,ok,rework,cash bill
