activity_id,activity_date,customer_id,customer_name,activity_type,sales_rep_id,territory,visit_outcome,next_action_date,minutes_spent,lat_long_quality,free_text_note
PIDACT00000075,2025-09-19,PIDOUT005613,Sree Deepak Hardware,Payment follow-up,SR001,KL-East-1,No order,,15,outside beat,new counter opened nearby
PIDACT00000076,2025-02-01,PIDOUT006247,Kaveri Manoj Hardware,Complaint follow-up,SR064,KA-East-7,Competitor push seen,2025-02-25,15,same gps as prior visit,cash crunch
PIDACT00000077,2025-01-15,PIDOUT000784,Shree Kavya Tyres,Counter meet,SR057,KA-North-7,Owner absent,2025-02-25,10,outside beat,
PIDACT00000078,2024-05-28,PIDOUT001198,Kaveri Deepak Fertilisers,Payment follow-up,SR008,TS-East-6,Stock checked,2024-06-22,45,outside beat,secondary sale low
PIDACT00000079,2025-04-18,PIDOUT008742,Royal Lakshmi Corporation,Counter meet,SR065,AP-North-4,Owner absent,,20,OK,asked scheme support
PIDACT00000080,05/04/2024,PIDOUT002837,METRO JAGAN HARDWARE,Beat visit,SR009,TN-East-8,No order,2024-06-16,45,missing,stockist dispute
PIDACT00000081,2024-09-30,PIDOUT005454,Metro Lakshmi Hardware,PKD audit,SR086,TS-Central-8,Stock checked,2024-10-24,45,missing,stockist dispute
PIDACT00000082,2024-07-18,PIDOUT000120,Prime Lokesh Hardware,Payment follow-up,SR142,KA-North-5,Complaint raised,,20,outside beat,secondary sale low
PIDACT00000083,2025-02-20,PIDOUT008991,Mahalakshmi Lakshmi Hardware,Complaint follow-up,SR030,KA-South-7,Competitor push seen,2025-03-17,30,OK,new counter opened nearby
PIDACT00000084,2026-03-16,PIDOUT006951,Mahalakshmi Farida Hardware,Complaint follow-up,SR031,TN-East-7,Complaint raised,03/27/2026,20,OK,cash crunch
PIDACT00000085,2025-12-30,PIDOUT004881,Star Jagan Chemicals,Counter meet,SR057,AP-Central-7,Payment follow-up,,45,outside beat,secondary sale low
PIDACT00000086,2025-10-26,PIDOUT001036,Balaji Venkatesh Hardware,Payment follow-up,SR080,KA-Central-2,Complaint raised,2025-11-18,5,same gps as prior visit,stockist dispute
PIDACT00000087,2024-12-22,PIDOUT005510,United Manoj Agencies,Counter meet,SR037,KA-North-7,Owner absent,,20,outside beat,cash crunch
PIDACT00000088,2025-05-30,PIDOUT001363,Shree Sowmya Agencies,Payment follow-up,SR074,TN-South-2,Demo done,,5,manual,
PIDACT00000089,2024-11-15,PIDDLR000326,Ganesh Sowmya Distributors,Beat visit,SR058,TS-Central-6,No order,,20,OK,
PIDACT00000090,2025-04-05,PIDOUT000902,Sree Kavya Depot,Applicator demo,SR058,KL-West-2,Competitor push seen,,60,same gps as prior visit,
PIDACT00000091,2025-08-02,PIDOUT006408,Sree Arun Associates,Beat visit,SR145,KA-North-5,Stock checked,,45,outside beat,cash crunch
PIDACT00000092,2025-03-13,PIDOUT006917,Prime Lokesh Services,Counter meet,SR127,TS-West-4,Complaint raised,2025-04-12,30,missing,shifted to competitor
PIDACT00000093,10-May-24,PIDOUT007929,SREE VENKATESH HARDWARE,Beat visit,SR012,AP-West-3,Complaint raised,,20,missing,stockist dispute
PIDACT00000094,2026-01-05,PIDOUT008543,Metro Irfan Stores,Counter meet,SR041,AP-South-8,Stock checked,,15,OK,stockist dispute
PIDACT00000095,2026-01-22,PIDOUT008852,United Rafiq Traders,Applicator demo,SR138,KA-East-4,Complaint raised,2026-02-01,60,missing,stockist dispute
PIDACT00000096,2024-05-23,PIDOUT006935,New Deepak Tyres,Payment follow-up,SR070,TN-North-5,Competitor push seen,2024-06-08,45,OK,stockist dispute
PIDACT00000097,2025-05-29,PIDOUT000405,Kaveri Anand Traders,Counter meet,SR083,KA-Central-2,Owner absent,,5,missing,asked scheme support
PIDACT00000098,2024-10-31,PIDOUT004609,Murugan Lakshmi Hardware,Counter meet,SR133,TN-South-3,Order taken,,15,OK,
PIDACT00000099,2024-07-20,PIDOUT006634,Mahalakshmi Kavya Distributors,PKD audit,SR095,AP-North-5,Demo done,2024-07-27,15,manual,secondary sale low
PIDACT00000100,30/05/2025,PIDOUT003810,Mahalakshmi Revathi Hardware Ltd,Counter meet,SR073,AP-South-1,Competitor push seen,28/06/2025,5,missing,asked scheme support
PIDACT00000101,2025-06-02,PIDOUT001123,Balaji Yusuf Hardware,Counter meet,SR133,AP-Central-3,Order taken,17-Jul-25,NA,missing,shifted to competitor
PIDACT00000102,2025-07-17,PIDOUT006254,Metro Sanjay Distributors,Applicator demo,SR097,KA-West-5,Payment follow-up,,NA,missing,secondary sale low
PIDACT00000103,2025-06-16,PIDOUT000602,Vijaya Chandra Depot,PKD audit,SR118,TN-West-9,Complaint raised,2025-07-28,60,OK,new counter opened nearby
PIDACT00000104,2025-08-29,PIDOUT007998,City Rafiq Hardware,Applicator demo,SR071,AP-West-3,Competitor push seen,2025-10-09,NA,outside beat,shifted to competitor
PIDACT00000105,2025-11-15,PIDOUT001251,United Revathi Hardware,Beat visit,SR147,AP-East-8,Demo done,2025-11-28,10,same gps as prior visit,
PIDACT00000106,26/06/2025,PIDOUT000828,Shree Meena Hardware,Applicator demo,SR101,TN-Central-5,Owner absent,,5,outside beat,cash crunch
PIDACT00000107,2025-01-10,PIDOUT007757,Prime Kavya Mart,Counter meet,SR069,TN-West-6,Payment follow-up,2025-01-27,15,missing,
PIDACT00000108,2025-07-15,PIDOUT005220,Star Venkatesh Fertilisers,Counter meet,SR105,AP-South-7,Competitor push seen,2025-08-10,60,same gps as prior visit,
PIDACT00000109,2025-11-06,PIDDLR001068,Balaji Lokesh Enterprises,Applicator demo,SR023,TN-South-5,No order,11/22/2025,45,manual,cash crunch
PIDACT00000110,2025-01-14,PIDOUT002635,MAHALAKSHMI BALA HARDWARE,Counter meet,SR057,TS-East-8,Owner absent,,10,outside beat,
PIDACT00000111,2024-11-18,PIDDLR000066,Mahalakshmi Suresh Corporation,PKD audit,SR077,KL-Central-2,Competitor push seen,08-Dec-24,60,manual,
PIDACT00000112,2024-11-18,PIDOUT007285,Murugan Deepak Agencies,Counter meet,SR024,KA-South-3,Payment follow-up,16-Dec-24,60,missing,new counter opened nearby
PIDACT00000113,2024-08-06,PIDOUT002713,Lucky Suresh Distributors,Beat visit,SR042,TN-North-3,Complaint raised,2024-08-23,NA,missing,
PIDACT00000114,11/22/2024,PIDOUT008885,Prime Rafiq Hardware,Complaint follow-up,SR120,KA-East-9,Competitor push seen,2025-01-06,15,same gps as prior visit,stockist dispute
PIDACT00000115,2026-02-13,PIDOUT001091,Prime Lokesh Hardware,Complaint follow-up,SR103,TS-East-1,Competitor push seen,2026-02-23,10,OK,shifted to competitor
PIDACT00000116,2024-05-21,PIDOUT007875,Shree Meena Hardware,Payment follow-up,SR038,TS-West-2,Stock checked,,60,same gps as prior visit,
PIDACT00000117,2024-05-08,PIDDLR001003,Vijaya Karthik Agencies,Beat visit,SR098,PY-South-7,Complaint raised,05/28/2024,45,manual,
PIDACT00000118,2025-03-13,PIDOUT007004,Sree Lokesh Services,Counter meet,SR051,KL-West-2,Demo done,2025-04-19,30,outside beat,stockist dispute
PIDACT00000119,2024-04-17,PIDOUT002288,Royal Farida Hardware,Applicator demo,SR143,KL-East-4,No order,2024-04-25,60,OK,
PIDACT00000120,2024-11-23,PIDOUT007035,Shree Manoj Traders,PKD audit,SR065,AP-Central-2,Owner absent,2024-12-10,5,same gps as prior visit,stockist dispute
PIDACT00000121,2026-02-27,PIDOUT002178,Star Jagan Enterprises,Payment follow-up,SR062,KA-North-4,Complaint raised,2026-03-15,15,same gps as prior visit,
PIDACT00000122,2024-06-29,PIDOUT000140,MODERN PRAKASH HARDWARE,Complaint follow-up,SR050,TS-North-3,Order taken,,NA,missing,shifted to competitor
PIDACT00000123,2025-03-09,PIDOUT003526,Mahalakshmi Ganesh Hardware,Applicator demo,SR044,TN-West-8,Order taken,03/26/2025,45,missing,
PIDACT00000124,2025-08-16,PIDOUT008697,Balaji Lokesh Services,Counter meet,SR144,TS-East-5,Complaint raised,,NA,outside beat,
PIDACT00000125,2026-02-11,PIDDLR000769,Shree Yusuf Hardware,Payment follow-up,SR102,TN-East-3,Owner absent,,60,manual,secondary sale low
PIDACT00000126,2025-06-08,PIDOUT005690,New Venkatesh Associates,Complaint follow-up,SR138,TN-North-8,Demo done,2025-07-06,15,missing,stockist dispute
PIDACT00000127,15-Nov-25,PIDOUT004397,Vijaya Farida Paints,Complaint follow-up,SR101,AP-Central-9,No order,2025-12-30,20,manual,
PIDACT00000128,13/09/2024,PIDOUT000289,Shree Lakshmi Corporation,Applicator demo,SR080,KA-West-3,Order taken,2024-10-23,5,same gps as prior visit,
PIDACT00000129,27-Mar-26,PIDOUT006062,National Priya Fertilisers,Complaint follow-up,SR064,TN-East-1,Order taken,2026-05-01,NA,outside beat,asked scheme support
PIDACT00000130,2026-01-27,PIDOUT008052,Balaji Chandra Corporation,Complaint follow-up,SR032,AP-East-8,Payment follow-up,,30,outside beat,new counter opened nearby
PIDACT00000131,2025-04-28,PIDDLR000563,Royal Prakash Hardware,Complaint follow-up,SR044,TS-North-5,Owner absent,2025-06-03,NA,manual,
PIDACT00000132,2024-11-17,PIDOUT002091,United Irfan Stores,Beat visit,SR045,KL-Central-8,Stock checked,,10,same gps as prior visit,secondary sale low
PIDACT00000133,17-Dec-24,PIDOUT000130,United Manoj Fertilisers,Beat visit,SR105,AP-South-7,Complaint raised,,NA,missing,cash crunch
PIDACT00000134,2024-08-04,PIDOUT000030,City Sowmya Stores,PKD audit,SR140,KA-Central-8,Competitor push seen,2024-08-17,10,same gps as prior visit,asked scheme support
PIDACT00000135,2025-10-06,PIDOUT000059,New Kavya Hardware,Complaint follow-up,SR112,KA-North-9,Order taken,,10,outside beat,stockist dispute
PIDACT00000136,2024-10-15,PIDOUT001722,Kaveri Karthik Hardware,PKD audit,SR092,TN-South-3,Stock checked,2024-11-24,5,manual,new counter opened nearby
PIDACT00000137,02/07/2025,PIDOUT003451,Mahalakshmi Manoj Tyres,Beat visit,SR047,TN-Central-4,Owner absent,,15,same gps as prior visit,new counter opened nearby
PIDACT00000138,2026-01-10,PIDOUT005905,Sree Lakshmi Hardware,Beat visit,SR087,TS-Central-8,Stock checked,2026-02-15,5,same gps as prior visit,new counter opened nearby
PIDACT00000139,2025-07-30,PIDDLR000206,Modern Chandra Sales Pvt,Counter meet,SR130,TS-North-8,Competitor push seen,,30,outside beat,shifted to competitor
PIDACT00000140,10/08/2025,PIDOUT002801,Star Sowmya Associates,Applicator demo,SR097,KA-East-1,Order taken,2025-11-08,30,outside beat,new counter opened nearby
PIDACT00000141,16/08/2024,PIDOUT005216,Modern Lakshmi Traders,Beat visit,SR126,KA-South-8,Demo done,2024-09-06,15,missing,cash crunch
PIDACT00000142,2024-07-03,PIDOUT005483,Ganesh Lakshmi Sales,Complaint follow-up,SR006,TS-South-2,Owner absent,07/08/2024,10,missing,new counter opened nearby
PIDACT00000143,2025-10-04,PIDOUT004169,Sri Sanjay Corporation,Complaint follow-up,SR143,PY-South-5,No order,2025-10-25,15,manual,new counter opened nearby
PIDACT00000144,05/26/2024,PIDOUT000796,United Suresh Depot,Counter meet,SR036,KA-West-9,Owner absent,2024-06-17,60,missing,asked scheme support
PIDACT00000145,30/03/2026,PIDOUT005226,Ganesh Sanjay Agencies,Beat visit,SR006,TN-East-2,Payment follow-up,2026-04-26,NA,same gps as prior visit,
PIDACT00000146,2025-01-21,PIDOUT006744,Murugan Arun Associates,Complaint follow-up,SR065,KA-East-3,Demo done,2025-02-07,10,missing,secondary sale low
PIDACT00000147,30/10/2024,PIDDLR000210,SRI Irfan Traders,PKD audit,SR037,TS-East-4,Owner absent,2024-12-14,60,OK,cash crunch
PIDACT00000148,2024-07-13,PIDOUT002669,Ganesh Venkatesh Mart,Payment follow-up,SR050,TN-North-1,Demo done,08/19/2024,45,OK,shifted to competitor
PIDACT00000149,2025-09-05,PIDOUT006364,Metro Yusuf Paints,Beat visit,SR065,TS-North-4,Complaint raised,,45,outside beat,cash crunch
PIDACT00000150,2025-02-16,PIDOUT005831,Kaveri Venkatesh Stores,Payment follow-up,SR009,TS-South-7,Complaint raised,2025-03-12,5,same gps as prior visit,secondary sale low
PIDACT00000151,2025-02-17,PIDOUT001111,Prime Sowmya Hardware,Payment follow-up,SR015,KL-Central-8,Complaint raised,2025-03-20,60,same gps as prior visit,
PIDACT00000152,2025-01-01,PIDOUT000441,Sree Deepak Associates,Beat visit,SR059,KA-Central-9,Competitor push seen,2025-01-28,45,missing,
PIDACT00000153,2024-09-29,PIDOUT002290,Lucky Bala Stores,Complaint follow-up,SR131,KA-East-8,Complaint raised,01-Nov-24,20,missing,
PIDACT00000154,2024-06-23,PIDOUT004769,New Sowmya Hardware,Beat visit,SR012,TS-South-4,Order taken,2024-07-14,NA,manual,secondary sale low
PIDACT00000155,24-May-24,PIDOUT001367,Metro Priya Hardware,Counter meet,SR089,TS-North-6,Demo done,,30,outside beat,new counter opened nearby
PIDACT00000156,2025-04-22,PIDOUT003988,Sri Meena Chemicals,Applicator demo,SR149,TN-North-6,Order taken,,5,outside beat,secondary sale low
PIDACT00000157,2024-10-19,PIDOUT006114,Ganesh Revathi Hardware,Counter meet,SR137,KA-South-5,No order,2024-11-09,60,same gps as prior visit,stockist dispute
PIDACT00000158,2025-01-28,PIDOUT008061,Royal Jagan Sales,Payment follow-up,SR089,AP-East-5,Payment follow-up,2025-03-10,45,same gps as prior visit,shifted to competitor
PIDACT00000159,12-Mar-25,PIDOUT001111,Prime Sowmya Hardware,PKD audit,SR015,KL-Central-8,Owner absent,2025-03-16,NA,OK,asked scheme support
PIDACT00000160,2024-04-17,PIDOUT004109,Star Hari Hardware,PKD audit,SR026,TN-Central-5,Owner absent,2024-04-28,15,outside beat,
PIDACT00000161,2024-04-13,PIDOUT008763,Vijaya Lokesh Agro,Payment follow-up,SR015,TN-Central-1,Order taken,2024-05-04,NA,manual,new counter opened nearby
PIDACT00000162,2024-10-19,PIDOUT004886,United Lokesh Services,Beat visit,SR009,AP-East-3,Payment follow-up,04/11/2024,60,manual,
PIDACT00000163,2026-03-10,PIDOUT004154,City Manoj Corporation,PKD audit,SR015,KL-East-9,Payment follow-up,2026-03-14,45,outside beat,asked scheme support
PIDACT00000164,2024-08-22,PIDOUT003172,Balaji Rafiq Tyres,Applicator demo,SR069,AP-North-7,Competitor push seen,,NA,missing,asked scheme support
PIDACT00000165,30/06/2025,PIDOUT000194,Sree Hari Distributors,Complaint follow-up,SR027,KA-West-9,Complaint raised,14-Aug-25,60,missing,stockist dispute
PIDACT00000166,2024-07-18,PIDDLR000753,Ganesh Yusuf Hardware,PKD audit,SR082,AP-Central-9,Stock checked,,45,missing,shifted to competitor
PIDACT00000167,2024-11-02,PIDOUT002935,City Sanjay Traders,Applicator demo,SR095,KA-South-4,Demo done,,60,OK,secondary sale low
PIDACT00000168,09-May-25,PIDOUT006336,Ganesh Manoj Hardware,Complaint follow-up,SR102,AP-South-8,Stock checked,,15,outside beat,stockist dispute
PIDACT00000169,04/06/2025,PIDOUT003070,Balaji Jagan Fertilisers & Co,Complaint follow-up,SR048,TS-South-4,Competitor push seen,2025-07-17,15,outside beat,
PIDACT00000170,2024-08-21,PIDOUT006873,Sree Karthik Stores,Complaint follow-up,SR049,TS-Central-2,Stock checked,,45,missing,asked scheme support
PIDACT00000171,2025-06-12,PIDOUT002934,MURUGAN GANESH CORPORATION,Beat visit,SR137,TS-West-2,Payment follow-up,2025-07-24,15,manual,new counter opened nearby
PIDACT00000172,2024-09-04,PIDOUT007585,Lucky Prakash Associates,PKD audit,SR068,AP-East-5,Owner absent,,20,missing,stockist dispute
PIDACT00000173,2024-06-28,PIDOUT007727,Murugan Bala Agencies,Complaint follow-up,SR035,KA-Central-9,No order,2024-07-22,60,same gps as prior visit,
