demo_id,demo_start_date,farmer_id,mapped_store_id,crop,product_focus,plot_area_acres,stage,result_note
CORDEMO000038,2024-09-14,CORFRM0000785,CORSTR00693,Sugarcane,COR0021,2.23,abandoned,rain damage
CORDEMO000039,2024-04-28,CORFRM0020383,CORSTR00451,Chilli,COR0028,1.71,converted,good crop stand
CORDEMO000040,31-Dec-25,CORFRM0024476,CORSTR00045,Banana,COR0022,0.53,abandoned,
CORDEMO000041,2024-06-27,CORFRM0024252,CORSTR00751,Vegetables,COR0020,0.9,planned,competitor demo nearby
CORDEMO000042,2024-06-06,CORFRM0008679,CORSTR01141,Chilli,COR0027,2.1,planned,photo missing
CORDEMO000043,2025-11-24,CORFRM0019528,CORSTR00264,Maize,COR0014,0.79,planned,
CORDEMO000044,2024-11-28,CORFRM0006347,CORSTR00860,Sugarcane,COR0006,0.22,in progress,good crop stand
CORDEMO000045,16-Aug-24,CORFRM0020037,CORSTR00128,Mango,COR0025,0.28,harvested,competitor demo nearby
CORDEMO000046,2024-10-23,CORFRM0008403,CORSTR00382,Vegetables,COR0031,2.04,converted,competitor demo nearby
CORDEMO000047,21/02/2025,CORFRM0003879,CORSTR00343,Coconut,COR0017,0.69,harvested,farmer bought later
CORDEMO000048,2024-11-23,CORFRM0016872,CORSTR01039,Cotton,COR0009,1.29,harvested,
CORDEMO000049,2025-06-08,CORFRM0002123,CORSTR01030,Paddy,COR0011,2.5,abandoned,
CORDEMO000050,2025-11-14,CORFRM0014205,CORSTR00832,Groundnut,COR0020,1.93,planned,
CORDEMO000051,19-Aug-25,CORFRM0006220,CORSTR00221,Sugarcane,COR0029,1.93,harvested,farmer bought later
CORDEMO000052,2025-11-08,CORFRM0016440,CORSTR00630,Cotton,COR0028,1.92,planned,farmer bought later
CORDEMO000053,2025-11-03,CORFRM0012820,CORSTR00191,Banana,COR0030,2.04,planned,rain damage
CORDEMO000054,2025-08-10,CORFRM0017876,CORSTR00688,Cotton,COR0015,1.84,converted,rain damage
CORDEMO000055,2025-10-06,CORFRM0011928,CORSTR00783,Banana,COR0014,0.39,abandoned,good crop stand
CORDEMO000056,2025-02-11,CORFRM0004929,CORSTR00372,Coconut,COR0025,2.77,harvested,rain damage
CORDEMO000057,2025-08-07,CORFRM0006199,CORSTR00945,Chilli,COR0023,1.06,converted,photo missing
CORDEMO000058,24-Dec-25,CORFRM0015351,CORSTR00951,Chilli,COR0008,2.76,abandoned,
CORDEMO000059,2025-10-06,CORFRM0000615,CORSTR00827,Maize,COR0016,1.48,harvested,good crop stand
CORDEMO000060,2025-04-09,CORFRM0010976,CORSTR00820,Turmeric,COR0033,0.44,harvested,rain damage
CORDEMO000061,2024-07-07,CORFRM0021671,CORSTR00578,Coconut,COR0017,2.33,abandoned,photo missing
CORDEMO000062,2025-11-01,CORFRM0024356,CORSTR00771,Coconut,COR0021,2.23,abandoned,farmer bought later
CORDEMO000063,2024-06-06,CORFRM0022763,CORSTR00420,Vegetables,COR0017,1.98,planned,
CORDEMO000064,2024-05-03,CORFRM0013360,CORSTR00606,Sugarcane,COR0004,1.88,in progress,
CORDEMO000065,2025-08-17,CORFRM0000515,CORSTR01038,Sugarcane,COR0005,0.16,harvested,photo missing
CORDEMO000066,2024-06-20,CORFRM0010614,CORSTR00692,Chilli,COR0010,2.87,harvested,competitor demo nearby
CORDEMO000067,12/03/2025,CORFRM0016623,CORSTR00217,Maize,COR0003,0.8,in progress,good crop stand
CORDEMO000068,2024-12-09,CORFRM0005893,CORSTR00164,Banana,COR0023,1.66,converted,competitor demo nearby
CORDEMO000069,02-Nov-24,CORFRM0003204,CORSTR00319,Groundnut,COR0029,0.37,abandoned,photo missing
CORDEMO000070,2025-06-23,CORFRM0005640,CORSTR00295,Vegetables,COR0030,1.31,abandoned,rain damage
CORDEMO000071,2025-05-21,CORFRM0007930,CORSTR00499,Coconut,COR0026,2.37,in progress,photo missing
CORDEMO000072,2025-03-03,CORFRM0020756,CORSTR00057,Vegetables,COR0008,1.3,planned,competitor demo nearby
CORDEMO000073,22/04/2024,CORFRM0003316,CORSTR00970,Groundnut,COR0006,1.69,abandoned,competitor demo nearby
CORDEMO000074,2024-05-03,CORFRM0005880,CORSTR01051,Vegetables,COR0011,0.18,converted,farmer bought later
CORDEMO000075,2025-09-06,CORFRM0010456,CORSTR00962,Banana,COR0018,2.27,harvested,good crop stand
CORDEMO000076,2025-03-28,CORFRM0011391,CORSTR00558,Maize,COR0006,1.64,converted,
CORDEMO000077,23-Oct-24,CORFRM0022781,CORSTR00485,Coconut,COR0002,2.27,in progress,farmer bought later
CORDEMO000078,04/21/2025,CORFRM0017949,CORSTR00211,Groundnut,COR0003,2.66,converted,good crop stand
CORDEMO000079,27-Oct-24,CORFRM0013265,CORSTR00823,Coconut,COR0019,2.38,in progress,farmer bought later
CORDEMO000080,2025-07-26,CORFRM0005489,CORSTR00043,Chilli,COR0031,0.11,in progress,competitor demo nearby
CORDEMO000081,2025-09-09,CORFRM0004082,CORSTR00866,Vegetables,COR0009,1.14,planned,
CORDEMO000082,2025-01-29,CORFRM0014510,CORSTR00550,Groundnut,COR0020,0.31,converted,competitor demo nearby
CORDEMO000083,2025-09-05,CORFRM0008418,CORSTR01006,Vegetables,COR0002,2.98,planned,farmer bought later
CORDEMO000084,2024-11-28,CORFRM0015165,CORSTR00515,Turmeric,COR0017,2.24,abandoned,photo missing
CORDEMO000085,2025-07-19,CORFRM0013134,CORSTR00454,Cotton,COR0022,1.4,converted,photo missing
CORDEMO000086,2024-04-10,CORFRM0023014,CORSTR00513,Cotton,COR0031,1.42,planned,photo missing
CORDEMO000087,10-Apr-25,CORFRM0021028,CORSTR00555,Sugarcane,COR0027,1.96,abandoned,
CORDEMO000088,2025-04-21,CORFRM0016331,CORSTR01094,Banana,COR0012,2.7,harvested,rain damage
CORDEMO000089,08-Apr-24,CORFRM0009188,CORSTR00086,Maize,COR0017,2.95,harvested,farmer bought later
CORDEMO000090,2024-10-09,CORFRM0004526,CORSTR00112,Groundnut,COR0020,1.27,harvested,rain damage
CORDEMO000091,21-Jul-24,CORFRM0017761,CORSTR00229,Maize,COR0006,0.86,in progress,
CORDEMO000092,2024-04-30,CORFRM0004896,CORSTR00611,Chilli,COR0026,2.98,in progress,good crop stand
CORDEMO000093,2025-11-04,CORFRM0002785,CORSTR00119,Maize,COR0029,0.65,planned,farmer bought later
CORDEMO000094,30/11/2025,CORFRM0015328,CORSTR00331,Mango,COR0001,1.46,converted,competitor demo nearby
CORDEMO000095,2024-12-01,CORFRM0020474,CORSTR00397,Turmeric,COR0015,2.5,converted,good crop stand
CORDEMO000096,2026-01-04,CORFRM0005385,CORSTR00297,Sugarcane,COR0031,2.27,converted,good crop stand
CORDEMO000097,20/07/2025,CORFRM0023610,CORSTR00001,Coconut,COR0004,2.65,planned,farmer bought later
CORDEMO000098,2024-04-01,CORFRM0005137,CORSTR01044,Mango,COR0027,1.69,harvested,farmer bought later
CORDEMO000099,2024-05-28,CORFRM0001889,CORSTR00456,Mango,COR0015,2.67,in progress,farmer bought later
CORDEMO000100,2024-11-23,CORFRM0004832,CORSTR00591,Mango,COR0033,0.51,planned,
CORDEMO000101,2025-08-26,CORFRM0015094,CORSTR00905,Sugarcane,COR0032,2.23,harvested,farmer bought later
CORDEMO000102,2024-07-06,CORFRM0009613,CORSTR00376,Coconut,COR0001,1.95,planned,
CORDEMO000103,2024-10-15,CORFRM0011369,CORSTR00487,Mango,COR0005,2.52,planned,competitor demo nearby
CORDEMO000104,2025-08-13,CORFRM0005934,CORSTR00105,Sugarcane,COR0002,1.91,in progress,rain damage
CORDEMO000105,2024-04-11,CORFRM0023869,CORSTR01023,Sugarcane,COR0006,1.56,converted,photo missing
CORDEMO000106,2025-05-24,CORFRM0017135,CORSTR00021,Groundnut,COR0002,1.04,harvested,good crop stand
CORDEMO000107,2024-09-02,CORFRM0011340,CORSTR00106,Turmeric,COR0032,1.89,in progress,good crop stand
CORDEMO000108,2026-01-28,CORFRM0020192,CORSTR00065,Sugarcane,COR0012,2.45,abandoned,farmer bought later
CORDEMO000109,2025-07-18,CORFRM0017326,CORSTR00146,Banana,COR0014,1.45,abandoned,good crop stand
CORDEMO000110,2024-08-26,CORFRM0018152,CORSTR00242,Banana,COR0018,0.15,abandoned,rain damage
CORDEMO000111,2024-08-05,CORFRM0009667,CORSTR00139,Vegetables,COR0025,0.61,in progress,farmer bought later
CORDEMO000112,2024-07-14,CORFRM0017820,CORSTR00702,Chilli,COR0003,2.7,planned,rain damage
CORDEMO000113,2025-05-24,CORFRM0000172,CORSTR00148,Mango,COR0004,2.47,harvested,photo missing
CORDEMO000114,2025-08-28,CORFRM0003945,CORSTR00235,Cotton,COR0001,2.71,harvested,rain damage
CORDEMO000115,17-Jan-26,CORFRM0011996,CORSTR00588,Sugarcane,COR0023,1.2,abandoned,
CORDEMO000116,23/07/2024,CORFRM0006086,CORSTR00206,Mango,COR0024,1.44,converted,competitor demo nearby
CORDEMO000117,19/11/2025,CORFRM0017195,CORSTR00932,Paddy,COR0008,1.93,converted,rain damage
CORDEMO000118,03/29/2025,CORFRM0021873,CORSTR00088,Maize,COR0029,2.97,abandoned,competitor demo nearby
CORDEMO000119,2024-09-20,CORFRM0014412,CORSTR00954,Turmeric,COR0001,1.58,abandoned,
CORDEMO000120,2024-04-07,CORFRM0018334,CORSTR00372,Paddy,COR0028,1.27,converted,good crop stand
CORDEMO000121,2025-05-28,CORFRM0006106,CORSTR00756,Maize,COR0001,1.73,converted,good crop stand
CORDEMO000122,18/11/2024,CORFRM0006837,CORSTR00069,Vegetables,COR0025,0.95,converted,
CORDEMO000123,2024-12-15,CORFRM0011836,CORSTR00573,Maize,COR0016,2.95,harvested,photo missing
CORDEMO000124,2025-12-15,CORFRM0018619,CORSTR00525,Groundnut,COR0023,0.37,abandoned,competitor demo nearby
CORDEMO000125,2026-01-30,CORFRM0019833,CORSTR00488,Mango,COR0028,1.75,abandoned,photo missing
CORDEMO000126,2024-12-16,CORFRM0017887,CORSTR00124,Vegetables,COR0024,2.78,in progress,farmer bought later
CORDEMO000127,2025-02-22,CORFRM0022493,CORSTR00923,Chilli,COR0002,0.4,planned,
CORDEMO000128,2024-04-06,CORFRM0023627,CORSTR00058,Mango,COR0017,0.59,planned,rain damage
CORDEMO000129,2024-11-17,CORFRM0016077,CORSTR00301,Turmeric,COR0016,2.01,in progress,good crop stand
CORDEMO000130,2025-12-28,CORFRM0024744,CORSTR00015,Chilli,COR0013,0.23,abandoned,competitor demo nearby
CORDEMO000131,2025-02-19,CORFRM0005092,CORSTR00768,Paddy,COR0003,0.73,converted,farmer bought later
CORDEMO000132,2025-12-05,CORFRM0001928,CORSTR00486,Sugarcane,COR0024,0.47,converted,
CORDEMO000133,2024-12-23,CORFRM0012575,CORSTR00811,Cotton,COR0021,2.36,abandoned,photo missing
CORDEMO000134,2025-10-15,CORFRM0024635,CORSTR00508,Groundnut,COR0022,2.97,planned,photo missing
CORDEMO000135,25/03/2025,CORFRM0004771,CORSTR00780,Mango,COR0010,2.94,abandoned,
CORDEMO000136,2025-01-11,CORFRM0005036,CORSTR00345,Turmeric,COR0019,1.68,in progress,photo missing
CORDEMO000137,2025-08-21,CORFRM0010371,CORSTR01042,Paddy,COR0020,2.92,abandoned,photo missing
CORDEMO000138,2025-10-17,CORFRM0016868,CORSTR01015,Mango,COR0030,1.58,harvested,
CORDEMO000139,2025-11-01,CORFRM0024218,CORSTR00712,Coconut,COR0006,1.91,abandoned,competitor demo nearby
CORDEMO000140,2024-09-04,CORFRM0006432,CORSTR00370,Paddy,COR0028,0.38,harvested,
CORDEMO000141,08/01/2026,CORFRM0008401,CORSTR00621,Sugarcane,COR0023,2.76,planned,competitor demo nearby
CORDEMO000142,2025-10-11,CORFRM0015130,CORSTR00981,Maize,COR0011,0.18,planned,rain damage
CORDEMO000143,2024-09-18,CORFRM0014638,CORSTR00344,Chilli,COR0016,0.38,planned,good crop stand
CORDEMO000144,2024-07-29,CORFRM0006809,CORSTR00617,Mango,COR0003,0.67,in progress,good crop stand
CORDEMO000145,2024-10-17,CORFRM0013243,CORSTR00997,Coconut,COR0003,0.12,abandoned,
CORDEMO000146,2025-06-01,CORFRM0009090,CORSTR00378,Groundnut,COR0012,0.74,planned,competitor demo nearby
CORDEMO000147,2024-12-08,CORFRM0011297,CORSTR00417,Mango,COR0018,1.02,harvested,rain damage
CORDEMO000148,2025-08-10,CORFRM0008247,CORSTR00102,Maize,COR0007,0.65,converted,farmer bought later
CORDEMO000149,2024-11-09,CORFRM0016056,CORSTR00738,Vegetables,COR0012,0.18,planned,competitor demo nearby
CORDEMO000150,19/02/2025,CORFRM0018823,CORSTR00162,Chilli,COR0019,0.67,planned,rain damage
CORDEMO000151,2025-08-11,CORFRM0000554,CORSTR00545,Vegetables,COR0028,2.57,in progress,rain damage
CORDEMO000152,2024-12-30,CORFRM0015778,CORSTR00140,Turmeric,COR0031,0.43,planned,photo missing
CORDEMO000153,2025-06-17,CORFRM0023266,CORSTR00669,Coconut,COR0003,1.19,in progress,rain damage
CORDEMO000154,2025-02-24,CORFRM0000926,CORSTR00450,Banana,COR0030,0.92,in progress,competitor demo nearby
CORDEMO000155,2024-11-03,CORFRM0006613,CORSTR00332,Cotton,COR0004,2.78,abandoned,photo missing
CORDEMO000156,2024-09-02,CORFRM0012904,CORSTR00327,Turmeric,COR0020,2.36,in progress,rain damage
CORDEMO000157,2025-10-28,CORFRM0009296,CORSTR00572,Maize,COR0032,2.17,harvested,farmer bought later
CORDEMO000158,2024-07-21,CORFRM0001074,CORSTR01134,Chilli,COR0028,0.98,abandoned,
CORDEMO000159,2025-02-23,CORFRM0015190,CORSTR00951,Coconut,COR0019,1.2,harvested,competitor demo nearby
CORDEMO000160,12/08/2025,CORFRM0010058,CORSTR00636,Coconut,COR0021,0.97,abandoned,competitor demo nearby
CORDEMO000161,2025-01-18,CORFRM0018210,CORSTR00690,Chilli,COR0014,1.47,harvested,competitor demo nearby
CORDEMO000162,2024-06-12,CORFRM0002178,CORSTR00396,Groundnut,COR0028,2.66,in progress,
CORDEMO000163,19/11/2025,CORFRM0006663,CORSTR00474,Cotton,COR0004,2.94,abandoned,rain damage
CORDEMO000164,29/05/2025,CORFRM0016883,CORSTR01086,Coconut,COR0004,2.14,in progress,rain damage
CORDEMO000165,2025-06-04,CORFRM0021664,CORSTR00649,Maize,COR0003,0.39,abandoned,farmer bought later
CORDEMO000166,2024-08-02,CORFRM0022515,CORSTR00653,Sugarcane,COR0026,1.14,planned,good crop stand
CORDEMO000167,2025-11-02,CORFRM0023249,CORSTR01076,Turmeric,COR0033,1.76,abandoned,good crop stand
CORDEMO000168,06/09/2024,CORFRM0008713,CORSTR00773,Mango,COR0013,1.33,abandoned,photo missing
CORDEMO000169,07/03/2025,CORFRM0013779,CORSTR00629,Chilli,COR0020,0.53,in progress,
CORDEMO000170,19/03/2025,CORFRM0000096,CORSTR01059,Coconut,COR0008,1.23,in progress,good crop stand
CORDEMO000171,2025-06-07,CORFRM0018463,CORSTR00077,Paddy,COR0013,1.56,planned,rain damage
CORDEMO000172,2025-11-13,CORFRM0004944,CORSTR01028,Sugarcane,COR0002,1.32,planned,good crop stand
CORDEMO000173,2024-10-04,CORFRM0001089,CORSTR00642,Sugarcane,COR0015,2.2,harvested,good crop stand
CORDEMO000174,2024-06-07,CORFRM0004199,CORSTR00238,Mango,COR0032,2.17,planned,photo missing
CORDEMO000175,2025-03-25,CORFRM0002876,CORSTR01087,Maize,COR0013,1.96,converted,
CORDEMO000176,31/12/2025,CORFRM0011300,CORSTR00152,Groundnut,COR0027,1.12,planned,photo missing
CORDEMO000177,2025-01-30,CORFRM0021009,CORSTR00481,Coconut,COR0018,2.89,harvested,
CORDEMO000178,27/09/2025,CORFRM0018817,CORSTR00081,Chilli,COR0001,2.04,in progress,
CORDEMO000179,2025-11-20,CORFRM0023084,CORSTR01122,Maize,COR0031,1.41,in progress,photo missing
CORDEMO000180,2025-04-22,CORFRM0002546,CORSTR00943,Chilli,COR0002,1.37,planned,competitor demo nearby
CORDEMO000181,2025-02-07,CORFRM0007389,CORSTR00707,Vegetables,COR0030,2.45,planned,farmer bought later
CORDEMO000182,2025-03-08,CORFRM0011954,CORSTR00851,Sugarcane,COR0014,1.85,in progress,rain damage
CORDEMO000183,21-Jul-25,CORFRM0016465,CORSTR00840,Vegetables,COR0009,1.83,planned,
CORDEMO000184,2025-11-17,CORFRM0012509,CORSTR00911,Maize,COR0002,0.8,in progress,farmer bought later
CORDEMO000185,2024-05-26,CORFRM0004562,CORSTR00544,Cotton,COR0019,2.26,planned,competitor demo nearby
CORDEMO000186,2025-09-20,CORFRM0024673,CORSTR00640,Groundnut,COR0025,2.77,abandoned,photo missing
CORDEMO000187,2024-06-22,CORFRM0017072,CORSTR01116,Coconut,COR0015,0.32,planned,competitor demo nearby
CORDEMO000188,2024-09-30,CORFRM0021937,CORSTR00207,Cotton,COR0017,0.41,in progress,farmer bought later
CORDEMO000189,2024-04-09,CORFRM0009491,CORSTR00094,Mango,COR0022,2.92,harvested,
CORDEMO000190,2024-10-03,CORFRM0008261,CORSTR01053,Sugarcane,COR0013,0.31,planned,
CORDEMO000191,2025-10-24,CORFRM0005069,CORSTR00613,Maize,COR0031,2.88,in progress,competitor demo nearby
CORDEMO000192,2024-05-18,CORFRM0012013,CORSTR01136,Turmeric,COR0031,1.86,planned,photo missing
CORDEMO000193,2025-02-26,CORFRM0007202,CORSTR00347,Maize,COR0033,2.09,converted,good crop stand
CORDEMO000194,24/09/2024,CORFRM0009816,CORSTR01032,Vegetables,COR0033,1.26,converted,photo missing
CORDEMO000195,2024-04-30,CORFRM0023291,CORSTR00997,Cotton,COR0007,0.25,abandoned,competitor demo nearby
CORDEMO000196,2024-10-24,CORFRM0006157,CORSTR00442,Paddy,COR0032,2.53,converted,
CORDEMO000197,2025-06-07,CORFRM0014177,CORSTR00623,Chilli,COR0022,0.25,planned,photo missing
CORDEMO000198,2025-04-12,CORFRM0021888,CORSTR00456,Chilli,COR0030,1.32,harvested,farmer bought later
CORDEMO000199,2025-08-08,CORFRM0017362,CORSTR00639,Groundnut,COR0033,2.87,abandoned,
CORDEMO000200,31/01/2025,CORFRM0010468,CORSTR00847,Chilli,COR0023,0.8,harvested,good crop stand
CORDEMO000201,2025-11-19,CORFRM0015226,CORSTR00087,Turmeric,COR0027,3.0,harvested,rain damage
CORDEMO000202,12/13/2025,CORFRM0005176,CORSTR00039,Paddy,COR0014,1.41,harvested,competitor demo nearby
CORDEMO000203,2024-09-28,CORFRM0022290,CORSTR00241,Banana,COR0022,2.05,planned,good crop stand
CORDEMO000204,2025-12-08,CORFRM0021135,CORSTR00330,Groundnut,COR0032,2.68,converted,photo missing
CORDEMO000205,09/05/2024,CORFRM0013657,CORSTR00397,Paddy,COR0029,2.82,abandoned,
CORDEMO000206,2025-07-05,CORFRM0006740,CORSTR00412,Maize,COR0007,2.31,in progress,good crop stand
CORDEMO000207,2025-12-29,CORFRM0002737,CORSTR00601,Sugarcane,COR0030,0.98,harvested,photo missing
CORDEMO000208,2024-09-09,CORFRM0023878,CORSTR00094,Mango,COR0027,0.96,abandoned,good crop stand
CORDEMO000209,2024-05-08,CORFRM0005525,CORSTR00422,Chilli,COR0033,2.9,abandoned,photo missing
CORDEMO000210,2026-01-24,CORFRM0000500,CORSTR00628,Groundnut,COR0010,2.53,harvested,farmer bought later
CORDEMO000211,04/29/2024,CORFRM0012596,CORSTR00246,Banana,COR0033,2.51,planned,competitor demo nearby
CORDEMO000212,2025-01-22,CORFRM0015536,CORSTR01110,Sugarcane,COR0013,1.77,abandoned,competitor demo nearby
CORDEMO000213,2024-05-19,CORFRM0023479,CORSTR00739,Paddy,COR0005,1.37,in progress,
CORDEMO000214,2024-11-18,CORFRM0013450,CORSTR00331,Mango,COR0012,0.87,planned,photo missing
CORDEMO000215,03/25/2025,CORFRM0003061,CORSTR00557,Groundnut,COR0018,1.83,in progress,farmer bought later
CORDEMO000216,04/01/2024,CORFRM0003776,CORSTR00508,Vegetables,COR0024,1.21,planned,
CORDEMO000217,2024-07-23,CORFRM0023341,CORSTR01136,Groundnut,COR0016,0.31,harvested,competitor demo nearby
CORDEMO000218,27/11/2024,CORFRM0020015,CORSTR00166,Banana,COR0015,0.33,harvested,farmer bought later
CORDEMO000219,2024-06-19,CORFRM0006555,CORSTR00684,Vegetables,COR0019,0.3,planned,rain damage
CORDEMO000220,06/10/2025,CORFRM0010593,CORSTR00444,Paddy,COR0001,0.58,harvested,rain damage
CORDEMO000221,2024-05-05,CORFRM0024619,CORSTR01039,Mango,COR0031,0.43,harvested,competitor demo nearby
CORDEMO000222,2025-07-28,CORFRM0003541,CORSTR00350,Cotton,COR0019,1.95,in progress,farmer bought later
CORDEMO000223,2025-06-18,CORFRM0000428,CORSTR00162,Mango,COR0022,2.85,in progress,rain damage
CORDEMO000224,2024-09-24,CORFRM0019992,CORSTR00110,Maize,COR0026,1.72,harvested,photo missing
CORDEMO000225,03/12/2024,CORFRM0004585,CORSTR00153,Vegetables,COR0026,2.02,in progress,
CORDEMO000226,2025-05-14,CORFRM0016058,CORSTR00589,Banana,COR0021,2.71,abandoned,rain damage
CORDEMO000227,2025-04-04,CORFRM0013528,CORSTR00853,Paddy,COR0015,1.32,abandoned,farmer bought later
CORDEMO000228,10/02/2024,CORFRM0006349,CORSTR00758,Vegetables,COR0013,1.95,harvested,farmer bought later
CORDEMO000229,31-Dec-24,CORFRM0012325,CORSTR00490,Maize,COR0009,0.34,in progress,rain damage
CORDEMO000230,2025-10-19,CORFRM0011851,CORSTR00692,Mango,COR0008,2.61,abandoned,farmer bought later
CORDEMO000231,2024-11-26,CORFRM0024433,CORSTR00162,Sugarcane,COR0012,0.22,abandoned,farmer bought later
CORDEMO000232,2026-01-07,CORFRM0023351,CORSTR01139,Paddy,COR0029,1.17,harvested,photo missing
CORDEMO000233,2024-11-22,CORFRM0018934,CORSTR00261,Banana,COR0023,2.53,converted,photo missing
CORDEMO000234,2024-08-18,CORFRM0011652,CORSTR00400,Coconut,COR0027,1.51,converted,farmer bought later
CORDEMO000235,2025-12-21,CORFRM0013054,CORSTR00020,Groundnut,COR0029,2.96,harvested,rain damage
CORDEMO000236,2024-07-02,CORFRM0011516,CORSTR00347,Coconut,COR0029,0.86,planned,good crop stand
CORDEMO000237,03/11/2025,CORFRM0016416,CORSTR00994,Paddy,COR0029,0.5,harvested,
CORDEMO000238,2025-11-13,CORFRM0012696,CORSTR00688,Turmeric,COR0023,2.31,in progress,competitor demo nearby
CORDEMO000239,2024-11-24,CORFRM0010044,CORSTR00464,Chilli,COR0023,1.81,harvested,good crop stand
CORDEMO000240,2024-08-20,CORFRM0007250,CORSTR00856,Mango,COR0018,2.58,in progress,good crop stand
CORDEMO000241,2025-02-03,CORFRM0001068,CORSTR00934,Turmeric,COR0016,0.52,planned,
CORDEMO000242,11/22/2025,CORFRM0003326,CORSTR00097,Cotton,COR0004,1.26,abandoned,farmer bought later
CORDEMO000243,2025-09-03,CORFRM0003455,CORSTR00757,Groundnut,COR0005,1.4,converted,good crop stand
CORDEMO000244,2024-07-30,CORFRM0012649,CORSTR00249,Mango,COR0033,0.26,harvested,photo missing
CORDEMO000245,2025-12-27,CORFRM0020877,CORSTR00966,Turmeric,COR0009,2.04,harvested,farmer bought later
CORDEMO000246,2024-07-01,CORFRM0000570,CORSTR00264,Maize,COR0015,1.52,abandoned,competitor demo nearby
