store_id,store_name,brand,state,state_clean,district,city,pincode,opened_date,store_type,agronomist_mapped,data_quality_note
CORSTR00018,Mana Gromor Khammam 2,Mana Gromor,Telangana,Telangana,Khammam,Khammam,362366,2013-02-21,seasonal extension,Y,old store code
CORSTR00019,Mana Gromor Guntur 2,Mana Gromor,AP,Andhra Pradesh,Guntur,Guntur,377482,2010-03-14,hub,shared,brand spelling varies
CORSTR00020,Namma Gromor Tumakuru 9,Namma Gromor,Karnataka,Karnataka,Tumakuru,Tumakuru,291663,2012-03-03,hub,Y,old store code
CORSTR00021,Namma Gromor Hubballi 1,Namma Gromor,Karnataka,Karnataka,Dharwad,Hubballi,295065,2018-10-23,hub,Y,district split
CORSTR00022,Mana Gromor Adilabad 2,Mana Gromor,Telangana,Telangana,Adilabad,Adilabad,364569,2013-10-07,company owned,Y,brand spelling varies
CORSTR00023,Namma Gromor Bengaluru 2,Namma Gromor,Karnataka,Karnataka,Bengaluru Urban,Bengaluru,299146,2011-09-01,seasonal extension,N,
CORSTR00024,Mana Gromor Vijayawada 6,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Krishna,Vijayawada,371945,2010-05-31,company owned,shared,new store from FY26
CORSTR00025,Mana Gromor Warangal 8,Mana Gromor,Telangana,Telangana,Warangal,Warangal,365287,2019-02-15,hub,shared,district split
CORSTR00026,Mana Gromor Warangal 9,Mana Gromor,Telangana,Telangana,Warangal,Warangal,363470,05/10/2010,satellite,shared,new store from FY26
CORSTR00027,Namma Gromor Shivamogga 3,Namma Gromor,Karnataka,Karnataka,Shivamogga,Shivamogga,297760,18/02/2017,seasonal extension,shared,old store code
CORSTR00028,Namma Gromor Kalaburagi 3,Namma Gromor,Karnataka,Karnataka,Kalaburagi,Kalaburagi,297782,2017-02-24,hub,Y,old store code
CORSTR00029,Mana Gromor Guntur 7,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Guntur,Guntur,375858,2008-04-09,company owned,N,old store code
CORSTR00030,Mana Gromor Nellore 9,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Nellore,Nellore,372102,09/05/2019,company owned,N,district split
CORSTR00031,Mana Gromor Warangal 6,Mana Gromor,Telangana,Telangana,Warangal,Warangal,362235,2011-08-21,company owned,Y,district split
CORSTR00032,Mana Gromor Khammam 1,Mana Gromor,Telangana,Telangana,Khammam,Khammam,363636,2008-08-14,satellite,shared,old store code
CORSTR00033,Mana Gromor Nalgonda 2,Mana Gromor,Telangana,Telangana,Nalgonda,Nalgonda,364035,2024-02-10,hub,shared,
CORSTR00034,Mana Gromor Kakinada 5,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Kakinada,Kakinada,375038,2009-07-31,seasonal extension,shared,old store code
CORSTR00035,Mana Gromor Vijayawada 3,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Krishna,Vijayawada,371556,2010-12-04,hub,shared,
CORSTR00036,Mana Gromor Khammam 3,Mana Gromor,Telangana,Telangana,Khammam,Khammam,366997,2007-07-07,satellite,N,
CORSTR00037,Mana Gromor Vijayawada 1,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Krishna,Vijayawada,378617,2010-02-02,hub,N,district split
CORSTR00038,Mana Gromor Kadapa 8,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Kadapa,Kadapa,377138,20/05/2016,seasonal extension,shared,
CORSTR00039,Mana Gromor Rajahmundry 9,Mana Gromor,Andhra Pradesh,Andhra Pradesh,East Godavari,Rajahmundry,372320,04/07/2021,company owned,N,new store from FY26
CORSTR00040,Mana Gromor Hyderabad 1,Mana Gromor,Telangana,Telangana,Hyderabad,Hyderabad,362029,2021-12-16,company owned,shared,district split
CORSTR00041,Mana Gromor Rajahmundry 5,Mana Gromor,Andhra Pradesh,Andhra Pradesh,East Godavari,Rajahmundry,378210,27/10/2010,satellite,Y,brand spelling varies
CORSTR00042,Mana Gromor Siddipet 9,Mana Gromor,Telangana,Telangana,Siddipet,Siddipet,361752,2007-11-19,seasonal extension,Y,brand spelling varies
CORSTR00043,Namma Gromor Mysuru 2,Namma Gromor,Karnataka,Karnataka,Mysuru,Mysuru,298267,11/29/2010,satellite,shared,old store code
CORSTR00044,Mana Gromor Vijayawada 5,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Krishna,Vijayawada,377453,2020-07-29,company owned,Y,
CORSTR00045,Mana Gromor Mahbubnagar 7,Mana Gromor,Telangana,Telangana,Mahbubnagar,Mahbubnagar,364735,05/06/2007,seasonal extension,N,
CORSTR00046,Mana Gromor Khammam 4,Mana Gromor,Telangana,Telangana,Khammam,Khammam,369526,2019-05-30,seasonal extension,N,district split
CORSTR00047,Mana Gromor Nellore 2,Mana Gromor,AP,Andhra Pradesh,Nellore,Nellore,376363,2018-12-02,seasonal extension,Y,old store code
CORSTR00048,Mana Gromor Hyderabad 2,Mana Gromor,Telangana,Telangana,Hyderabad,Hyderabad,363676,16-Aug-25,satellite,shared,old store code
CORSTR00049,Mana Gromor Suryapet 2,Mana Gromor,Telangana,Telangana,Suryapet,Suryapet,367756,2011-08-25,satellite,shared,new store from FY26
CORSTR00050,Mana Gromor Khammam 1,Mana Gromor,Telangana,Telangana,Khammam,Khammam,362802,28/10/2010,seasonal extension,shared,old store code
CORSTR00051,Mana Gromor Guntur 2,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Guntur,Guntur,378087,07-Jan-16,company owned,Y,brand spelling varies
CORSTR00052,Mana Gromor Tirupati 6,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Tirupati,Tirupati,377689,2024-06-07,satellite,shared,
CORSTR00053,Namma Gromor Kalaburagi 3,Namma Gromor,Karnataka,Karnataka,Kalaburagi,Kalaburagi,293150,2020-04-17,company owned,Y,district split
CORSTR00054,Nammadu Gromor Vellore 9,Nammadu Gromor,Tamil Nadu,Tamil Nadu,Vellore,Vellore,333971,2024-05-01,satellite,shared,
CORSTR00055,Mana Gromor Khammam 5,Mana Gromor,TG,Telangana,Khammam,Khammam,367994,2012-04-06,seasonal extension,shared,brand spelling varies
CORSTR00056,Mana Gromor Kakinada 8,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Kakinada,Kakinada,376884,2024-07-29,satellite,Y,old store code
CORSTR00057,Mana Gromor Guntur 4,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Guntur,Guntur,374407,28-Jun-14,hub,Y,brand spelling varies
CORSTR00058,Mana Gromor Kurnool 9,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Kurnool,Kurnool,378874,02/05/2007,seasonal extension,Y,brand spelling varies
CORSTR00059,Namma Gromor Bengaluru 9,Namma Gromor,Karnataka,Karnataka,Bengaluru Urban,Bengaluru,298349,2025-07-27,satellite,N,district split
CORSTR00060,Mana Gromor Tirupati 6,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Tirupati,Tirupati,371077,2007-10-10,satellite,shared,district split
CORSTR00061,Mana Gromor Nalgonda 9,Mana Gromor,Telangana,Telangana,Nalgonda,Nalgonda,362678,2016-02-27,hub,Y,
CORSTR00062,Mana Gromor Tirupati 4,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Tirupati,Tirupati,374746,03/18/2018,hub,Y,
CORSTR00063,Mana Gromor Khammam 7,Mana Gromor,Telangana,Telangana,Khammam,Khammam,368896,2019-08-01,satellite,shared,new store from FY26
CORSTR00064,Mana Gromor Vijayawada 1,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Krishna,Vijayawada,374188,01/05/2017,seasonal extension,N,old store code
CORSTR00065,Mana Gromor Kakinada 2,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Kakinada,Kakinada,378718,2013-10-31,company owned,Y,district split
CORSTR00066,Mana Gromor Ongole 9,Mana Gromor,ANDHRA,Andhra Pradesh,Prakasam,Ongole,372791,01/08/2024,seasonal extension,N,district split
CORSTR00067,Namma Gromor Belagavi 8,Namma Gromor,Karnataka,Karnataka,Belagavi,Belagavi,292631,2010-12-25,satellite,N,new store from FY26
CORSTR00068,Namma Gromor Kalaburagi 9,Namma Gromor,Karnataka,Karnataka,Kalaburagi,Kalaburagi,294692,2026-01-09,satellite,shared,old store code
CORSTR00069,Mana Gromor Warangal 5,Mana Gromor,Telangana,Telangana,Warangal,Warangal,365907,07/12/2015,satellite,shared,
CORSTR00070,Mana Gromor Hyderabad 4,Mana Gromor,Telangana,Telangana,Hyderabad,Hyderabad,366999,03/12/2021,company owned,Y,district split
CORSTR00071,Namma Gromor Hubballi 5,Namma Gromor,Karnataka,Karnataka,Dharwad,Hubballi,295784,2014-09-23,company owned,N,brand spelling varies
CORSTR00072,Namma Gromor Mysuru 7,Namma Gromor,Karnataka,Karnataka,Mysuru,Mysuru,295527,2011-02-13,company owned,N,
CORSTR00073,Namma Gromor Bengaluru 6,Namma Gromor,Karnataka,Karnataka,Bengaluru Urban,Bengaluru,294222,04/02/2017,seasonal extension,Y,old store code
CORSTR00074,Mana Gromor Visakhapatnam 2,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Visakhapatnam,Visakhapatnam,374171,2015-07-27,company owned,Y,
CORSTR00075,Mana Gromor Karimnagar 3,Mana Gromor,Telangana,Telangana,Karimnagar,Karimnagar,367864,28-Jul-12,hub,shared,old store code
CORSTR00076,Mana Gromor Vijayawada 8,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Krishna,Vijayawada,373326,2019-09-24,satellite,N,new store from FY26
CORSTR00077,Mana Gromor Khammam 5,Mana Gromor,Telangana,Telangana,Khammam,Khammam,365151,2012-01-23,hub,Y,
CORSTR00078,Namma Gromor Shivamogga 1,Namma Gromor,Karnataka,Karnataka,Shivamogga,Shivamogga,294532,2020-01-23,satellite,shared,brand spelling varies
CORSTR00079,Namma Gromor Mangaluru 3,Namma Gromor,Karnataka,Karnataka,Dakshina Kannada,Mangaluru,296408,2012-10-11,hub,shared,district split
CORSTR00080,Namma Gromor Mangaluru 3,Namma Gromor,KARNATAKA,Karnataka,Dakshina Kannada,Mangaluru,297144,2020-05-14,hub,N,old store code
CORSTR00081,Mana Gromor Anantapur 3,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Anantapur,Anantapur,374469,2022-01-13,hub,Y,new store from FY26
CORSTR00082,Mana Gromor Rajahmundry 9,Mana Gromor,Andhra Pradesh,Andhra Pradesh,East Godavari,Rajahmundry,378012,18/01/2008,hub,N,
CORSTR00083,Namma Gromor Kalaburagi 2,Namma Gromor,Karnataka,Karnataka,Kalaburagi,Kalaburagi,294488,2017-07-02,hub,Y,district split
CORSTR00084,Namma Gromor Hubballi 4,Namma Gromor,Karnataka,Karnataka,Dharwad,Hubballi,297724,2026-03-19,satellite,Y,brand spelling varies
CORSTR00085,Namma Gromor Belagavi 7,Namma Gromor,Karnataka,Karnataka,Belagavi,Belagavi,295371,2009-03-28,company owned,N,district split
CORSTR00086,Mana Gromor Rajahmundry 9,Mana Gromor,Andhra Pradesh,Andhra Pradesh,East Godavari,Rajahmundry,379648,2020-02-22,seasonal extension,N,district split
CORSTR00087,Mana Gromor Hyderabad 6,Mana Gromor,Telangana,Telangana,Hyderabad,Hyderabad,365231,2023-12-20,satellite,N,district split
CORSTR00088,Mana Gromor Nellore 4,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Nellore,Nellore,378305,2015-05-29,seasonal extension,Y,
CORSTR00089,Mana Gromor Vijayawada 7,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Krishna,Vijayawada,377336,09/01/2014,company owned,N,brand spelling varies
CORSTR00090,Mana Gromor Visakhapatnam 2,Mana Gromor,A.P.,Andhra Pradesh,Visakhapatnam,Visakhapatnam,372570,2011-02-01,satellite,shared,brand spelling varies
CORSTR00091,Mana Gromor Mahbubnagar 8,Mana Gromor,TELANGANA,Telangana,Mahbubnagar,Mahbubnagar,362340,11/11/2016,hub,Y,district split
CORSTR00092,Mana Gromor Nizamabad 8,Mana Gromor,Telangana,Telangana,Nizamabad,Nizamabad,366194,31-May-21,company owned,N,old store code
CORSTR00093,Mana Gromor Warangal 1,Mana Gromor,Telangana,Telangana,Warangal,Warangal,365443,04/12/2023,satellite,Y,brand spelling varies
CORSTR00094,Mana Gromor Nellore 6,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Nellore,Nellore,377049,2007-05-14,company owned,shared,district split
CORSTR00095,Mana Gromor Kurnool 4,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Kurnool,Kurnool,373630,2020-11-06,company owned,N,old store code
CORSTR00096,Mana Gromor Visakhapatnam 5,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Visakhapatnam,Visakhapatnam,375522,2009-06-06,satellite,N,old store code
CORSTR00097,Mana Gromor Hyderabad 6,Mana Gromor,Telangana,Telangana,Hyderabad,Hyderabad,366582,2018-01-09,satellite,shared,brand spelling varies
CORSTR00098,Mana Gromor Visakhapatnam 9,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Visakhapatnam,Visakhapatnam,374081,10/12/2018,company owned,Y,
CORSTR00099,Namma Gromor Raichur 1,Namma Gromor,Karnataka,Karnataka,Raichur,Raichur,292479,2019-04-24,hub,N,district split
CORSTR00100,Mana Gromor Karimnagar 3,Mana Gromor,Telangana,Telangana,Karimnagar,Karimnagar,365769,2023-06-16,seasonal extension,N,old store code
CORSTR00101,Mana Gromor Karimnagar 1,Mana Gromor,Telangana,Telangana,Karimnagar,Karimnagar,369317,2017-03-26,company owned,shared,
CORSTR00102,Mana Gromor Warangal 4,Mana Gromor,Telangana,Telangana,Warangal,Warangal,364624,2016-12-05,seasonal extension,N,district split
CORSTR00103,Mana Gromor Siddipet 9,Mana Gromor,Telangana,Telangana,Siddipet,Siddipet,369648,2012-01-22,company owned,N,district split
CORSTR00104,Namma Gromor Davanagere 3,Namma Gromor,Karnataka,Karnataka,Davanagere,Davanagere,293165,2013-04-23,hub,Y,district split
CORSTR00105,Mana Gromor Adilabad 3,Mana Gromor,Telangana,Telangana,Adilabad,Adilabad,368414,2020-01-21,satellite,N,new store from FY26
CORSTR00106,Mana Gromor Anantapur 1,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Anantapur,Anantapur,371893,2007-12-26,hub,N,
CORSTR00107,Mana Gromor Mahbubnagar 7,Mana Gromor,Telangana,Telangana,Mahbubnagar,Mahbubnagar,369441,12/30/2020,company owned,N,
CORSTR00108,Mana Gromor Rajahmundry 9,Mana Gromor,Andhra Pradesh,Andhra Pradesh,East Godavari,Rajahmundry,374037,2024-12-01,seasonal extension,shared,district split
CORSTR00109,Mana Gromor Ongole 7,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Prakasam,Ongole,376772,26-Jul-07,company owned,shared,district split
CORSTR00110,Mana Gromor Kadapa 6,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Kadapa,Kadapa,371791,2016-08-11,satellite,N,old store code
CORSTR00111,Mana Gromor Anantapur 1,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Anantapur,Anantapur,376842,2007-05-20,hub,shared,district split
CORSTR00112,Mana Gromor Nizamabad 7,Mana Gromor,Telangana,Telangana,Nizamabad,Nizamabad,362201,2013-01-19,satellite,shared,
CORSTR00113,Mana Gromor Ongole 6,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Prakasam,Ongole,378874,2016-12-20,seasonal extension,Y,
CORSTR00114,Mana Gromor Guntur 9,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Guntur,Guntur,373559,2008-12-14,hub,N,district split
CORSTR00115,Namma Gromor Udupi 4,Namma Gromor,Karnataka,Karnataka,Udupi,Udupi,298987,2013-03-07,company owned,N,district split
CORSTR00116,Namma Gromor Mysuru 8,Namma Gromor,Karnataka,Karnataka,Mysuru,Mysuru,291798,04/27/2021,hub,N,
CORSTR00117,Mana Gromor Kadapa 5,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Kadapa,Kadapa,376452,2024-06-02,satellite,shared,old store code
CORSTR00118,Mana Gromor Warangal 8,Mana Gromor,Telangana,Telangana,Warangal,Warangal,361763,11-Mar-15,satellite,N,old store code
CORSTR00119,Mana Gromor Kurnool 6,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Kurnool,Kurnool,374869,2019-09-02,company owned,N,brand spelling varies
CORSTR00120,Mana Gromor Nalgonda 7,Mana Gromor,Telangana,Telangana,Nalgonda,Nalgonda,366373,2014-05-01,hub,shared,
CORSTR00121,Namma Gromor Shivamogga 2,Namma Gromor,Karnataka,Karnataka,Shivamogga,Shivamogga,292449,2024-09-02,hub,Y,old store code
CORSTR00122,Mana Gromor Kakinada 2,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Kakinada,Kakinada,375713,2018-01-01,satellite,N,old store code
CORSTR00123,Namma Gromor Hubballi 5,Namma Gromor,Karnataka,Karnataka,Dharwad,Hubballi,295267,2020-05-21,company owned,shared,new store from FY26
CORSTR00124,Namma Gromor Bengaluru 4,Namma Gromor,Karnataka,Karnataka,Bengaluru Urban,Bengaluru,293344,2019-08-19,seasonal extension,Y,district split
CORSTR00125,Mana Gromor Khammam 8,Mana Gromor,Telangana,Telangana,Khammam,Khammam,364146,02/11/2019,company owned,N,district split
CORSTR00126,Mana Gromor Kadapa 3,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Kadapa,Kadapa,376764,2016-10-07,company owned,Y,old store code
CORSTR00127,Namma Gromor Udupi 2,Namma Gromor,KARNATAKA,Karnataka,Udupi,Udupi,296911,2017-07-16,seasonal extension,Y,
CORSTR00128,Mana Gromor Vijayawada 3,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Krishna,Vijayawada,375566,2022-02-25,hub,shared,district split
CORSTR00129,Namma Gromor Belagavi 4,Namma Gromor,Karnataka,Karnataka,Belagavi,Belagavi,297167,2008-08-10,satellite,Y,old store code
CORSTR00130,Mana Gromor Hyderabad 8,Mana Gromor,Telangana,Telangana,Hyderabad,Hyderabad,363599,2020-05-03,company owned,N,
CORSTR00131,Mana Gromor Ongole 1,Mana Gromor,A.P.,Andhra Pradesh,Prakasam,Ongole,374701,2012-12-11,satellite,Y,old store code
CORSTR00132,Mana Gromor Kadapa 4,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Kadapa,Kadapa,371238,2019-01-14,seasonal extension,N,district split
CORSTR00133,Nammadu Gromor Erode 4,Nammadu Gromor,Tamil Nadu,Tamil Nadu,Erode,Erode,339651,01/01/2010,satellite,Y,district split
CORSTR00134,Mana Gromor Kakinada 1,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Kakinada,Kakinada,378452,04-Aug-25,seasonal extension,Y,
CORSTR00135,Namma Gromor Mangaluru 2,Namma Gromor,Karnataka,Karnataka,Dakshina Kannada,Mangaluru,295834,2025-06-12,seasonal extension,N,brand spelling varies
CORSTR00136,Mana Gromor Rajahmundry 5,Mana Gromor,Andhra Pradesh,Andhra Pradesh,East Godavari,Rajahmundry,379244,2021-12-04,seasonal extension,shared,old store code
CORSTR00137,Mana Gromor Kakinada 7,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Kakinada,Kakinada,377438,2022-05-15,seasonal extension,shared,old store code
CORSTR00138,Mana Gromor Visakhapatnam 8,Mana Gromor,ANDHRA,Andhra Pradesh,Visakhapatnam,Visakhapatnam,377324,2008-07-31,hub,N,new store from FY26
CORSTR00139,Mana Gromor Siddipet 9,Mana Gromor,Telangana,Telangana,Siddipet,Siddipet,367638,2015-06-04,seasonal extension,shared,brand spelling varies
CORSTR00140,Nammadu Gromor Salem 5,Nammadu Gromor,Tamil Nadu,Tamil Nadu,Salem,Salem,338897,2007-05-07,hub,N,
CORSTR00141,Mana Gromor Karimnagar 2,Mana Gromor,Telangana,Telangana,Karimnagar,Karimnagar,367838,2025-12-24,seasonal extension,shared,new store from FY26
CORSTR00142,Mana Gromor Nizamabad 2,Mana Gromor,Telangana,Telangana,Nizamabad,Nizamabad,369193,2008-02-05,satellite,Y,
CORSTR00143,Mana Gromor Vijayawada 9,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Krishna,Vijayawada,371361,2019-08-30,hub,Y,district split
CORSTR00144,Namma Gromor Bengaluru 7,Namma Gromor,Karnataka,Karnataka,Bengaluru Urban,Bengaluru,299202,2015-12-11,satellite,Y,district split
CORSTR00145,Namma Gromor Davanagere 1,Namma Gromor,Karnataka,Karnataka,Davanagere,Davanagere,298938,2023-08-18,company owned,shared,district split
CORSTR00146,Mana Gromor Hyderabad 8,Mana Gromor,Telangana,Telangana,Hyderabad,Hyderabad,362943,2011-12-24,company owned,Y,new store from FY26
CORSTR00147,Mana Gromor Tirupati 2,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Tirupati,Tirupati,377736,2025-06-18,seasonal extension,shared,old store code
CORSTR00148,Mana Gromor Tirupati 5,Mana Gromor,ANDHRA,Andhra Pradesh,Tirupati,Tirupati,376593,07/05/2017,company owned,N,district split
CORSTR00149,Namma Gromor Bengaluru 7,Namma Gromor,Karnataka,Karnataka,Bengaluru Urban,Bengaluru,299364,09/08/2020,seasonal extension,Y,new store from FY26
CORSTR00150,Mana Gromor Nellore 2,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Nellore,Nellore,379801,2007-11-25,hub,N,brand spelling varies
CORSTR00151,Namma Gromor Davanagere 9,Namma Gromor,Karnataka,Karnataka,Davanagere,Davanagere,294239,2009-02-01,hub,shared,brand spelling varies
CORSTR00152,Mana Gromor Ongole 8,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Prakasam,Ongole,372679,09/12/2022,company owned,N,brand spelling varies
CORSTR00153,Namma Gromor Davanagere 7,Namma Gromor,Karnataka,Karnataka,Davanagere,Davanagere,295757,2019-11-19,seasonal extension,N,brand spelling varies
CORSTR00154,Mana Gromor Kakinada 6,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Kakinada,Kakinada,376691,2011-06-01,hub,shared,old store code
CORSTR00155,Mana Gromor Warangal 5,Mana Gromor,Telangana,Telangana,Warangal,Warangal,361374,2011-12-26,seasonal extension,shared,district split
CORSTR00156,Mana Gromor Nizamabad 2,Mana Gromor,Telangana,Telangana,Nizamabad,Nizamabad,361653,2010-10-16,hub,N,new store from FY26
CORSTR00157,Mana Gromor Anantapur 5,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Anantapur,Anantapur,373221,2020-06-05,company owned,N,
CORSTR00158,Mana Gromor Rajahmundry 9,Mana Gromor,Andhra Pradesh,Andhra Pradesh,East Godavari,Rajahmundry,378892,20/03/2018,company owned,N,
CORSTR00159,Namma Gromor Raichur 2,Namma Gromor,Karnataka,Karnataka,Raichur,Raichur,299027,2014-02-28,company owned,Y,new store from FY26
CORSTR00160,Mana Gromor Visakhapatnam 9,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Visakhapatnam,Visakhapatnam,379511,2015-10-25,hub,shared,district split
CORSTR00161,Mana Gromor Anantapur 6,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Anantapur,Anantapur,372376,2007-05-11,company owned,N,old store code
CORSTR00162,Mana Gromor Adilabad 2,Mana Gromor,Telangana,Telangana,Adilabad,Adilabad,364215,2009-04-07,company owned,shared,district split
CORSTR00163,Mana Gromor Anantapur 6,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Anantapur,Anantapur,377571,06/11/2024,company owned,Y,new store from FY26
CORSTR00164,Mana Gromor Tirupati 7,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Tirupati,Tirupati,377681,04/06/2019,seasonal extension,Y,district split
CORSTR00165,Mana Gromor Hyderabad 6,Mana Gromor,Telangana,Telangana,Hyderabad,Hyderabad,361632,05/28/2025,company owned,N,new store from FY26
CORSTR00166,Namma Gromor Tumakuru 9,Namma Gromor,Karnataka,Karnataka,Tumakuru,Tumakuru,292189,2008-09-06,company owned,N,old store code
CORSTR00167,Mana Gromor Warangal 2,Mana Gromor,Telangana,Telangana,Warangal,Warangal,367630,2025-01-03,hub,N,old store code
CORSTR00168,Mana Gromor Siddipet 1,Mana Gromor,Telangana,Telangana,Siddipet,Siddipet,368428,2016-10-08,hub,N,new store from FY26
CORSTR00169,Mana Gromor Mahbubnagar 8,Mana Gromor,Telangana,Telangana,Mahbubnagar,Mahbubnagar,368519,27-May-16,company owned,N,new store from FY26
CORSTR00170,Namma Gromor Mangaluru 1,Namma Gromor,Karnataka,Karnataka,Dakshina Kannada,Mangaluru,297212,2010-03-13,hub,shared,district split
CORSTR00171,Mana Gromor Kadapa 5,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Kadapa,Kadapa,376452,2026-01-14,satellite,shared,old store code
CORSTR00172,Mana Gromor Suryapet 4,Mana Gromor,TS,Telangana,Suryapet,Suryapet,363079,2011-10-15,company owned,shared,brand spelling varies
CORSTR00173,Mana Gromor Ongole 5,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Prakasam,Ongole,375864,2022-11-24,company owned,Y,brand spelling varies
