spray_id,spray_date,farmer_id,mapped_store_id,crop,acreage_sprayed,product_used,service_status,operator_id,note
CORDRN00000052,2024-11-14,CORFRM0021918,CORSTR00438,Groundnut,17.78,COR0014,payment pending,DRN0018,tank shortage
CORDRN00000053,11/08/2025,CORFRM0012300,CORSTR00922,Chilli,2.31,COR0033,payment pending,DRN0035,
CORDRN00000054,2025-03-10,CORFRM0006293,CORSTR01102,Sugarcane,0.95,COR0020,completed,DRN0067,wind issue
CORDRN00000055,2025-04-24,CORFRM0007974,CORSTR00239,Vegetables,3.32,COR0018,payment pending,DRN0141,
CORDRN00000056,22/07/2024,CORFRM0007253,CORSTR01045,Cotton,11.55,COR0006,rescheduled,DRN0120,farmer absent
CORDRN00000057,2024-08-11,CORFRM0016353,CORSTR00233,Banana,14.93,COR0006,payment pending,DRN0176,tank shortage
CORDRN00000058,2024-07-07,CORFRM0015316,CORSTR00899,Maize,1.35,COR0029,cancelled,DRN0129,tank shortage
CORDRN00000059,2024-07-16,CORFRM0003704,CORSTR00851,Banana,10.36,COR0001,payment pending,DRN0111,tank shortage
CORDRN00000060,2025-01-17,CORFRM0001228,CORSTR00969,Groundnut,5.94,COR0004,weather hold,DRN0242,farmer absent
CORDRN00000061,2025-10-10,CORFRM0019045,CORSTR00568,Cotton,16.9,COR0001,completed,DRN0085,
CORDRN00000062,2024-10-13,CORFRM0005397,CORSTR01118,Coconut,18.86,COR0030,weather hold,DRN0167,wind issue
CORDRN00000063,08/08/2025,CORFRM0019613,CORSTR01070,Turmeric,4.67,COR0004,rescheduled,DRN0143,wind issue
CORDRN00000064,2024-05-11,CORFRM0016297,CORSTR00802,Sugarcane,5.6,COR0001,completed,DRN0174,wind issue
CORDRN00000065,04/11/2024,CORFRM0007805,CORSTR00687,Coconut,5.53,COR0016,weather hold,DRN0116,repeat booking
CORDRN00000066,16/09/2024,CORFRM0016803,CORSTR00055,Coconut,3.79,COR0008,cancelled,DRN0138,farmer absent
CORDRN00000067,2026-03-13,CORFRM0018258,CORSTR00390,Turmeric,3.73,COR0007,payment pending,DRN0160,farmer absent
CORDRN00000068,05/04/2024,CORFRM0010942,CORSTR00777,Chilli,5.81,COR0027,rescheduled,DRN0021,repeat booking
CORDRN00000069,2024-05-03,CORFRM0011733,CORSTR01010,Paddy,0.56,COR0030,cancelled,DRN0066,tank shortage
CORDRN00000070,11-Apr-24,CORFRM0001426,CORSTR00568,Chilli,2.31,COR0033,rescheduled,DRN0179,
CORDRN00000071,2025-11-27,CORFRM0013939,CORSTR00084,Cotton,9.71,COR0017,payment pending,DRN0154,farmer absent
CORDRN00000072,20/05/2025,CORFRM0001210,CORSTR00957,Coconut,5.99,COR0009,rescheduled,DRN0126,
CORDRN00000073,2024-07-01,CORFRM0015771,CORSTR00690,Banana,0.97,COR0027,rescheduled,DRN0083,
CORDRN00000074,2024-04-27,CORFRM0018695,CORSTR00975,Sugarcane,17.69,COR0017,completed,DRN0181,wind issue
CORDRN00000075,2024-11-30,CORFRM0006459,CORSTR00466,Maize,13.18,COR0015,payment pending,DRN0183,tank shortage
CORDRN00000076,2024-07-23,CORFRM0002696,CORSTR01138,Vegetables,6.77,COR0004,weather hold,DRN0232,tank shortage
CORDRN00000077,2025-01-07,CORFRM0006758,CORSTR00593,Groundnut,11.2,COR0022,rescheduled,DRN0129,wind issue
CORDRN00000078,2025-05-21,CORFRM0003898,CORSTR00998,Maize,2.05,COR0018,rescheduled,DRN0225,wind issue
CORDRN00000079,02/06/2026,CORFRM0019040,CORSTR00617,Mango,1.68,COR0024,weather hold,DRN0064,tank shortage
CORDRN00000080,08/18/2025,CORFRM0010740,CORSTR00107,Cotton,15.17,COR0029,cancelled,DRN0096,tank shortage
CORDRN00000081,2025-11-06,CORFRM0000279,CORSTR00457,Turmeric,2.62,COR0013,rescheduled,DRN0174,farmer absent
CORDRN00000082,2025-07-21,CORFRM0004637,CORSTR00946,Groundnut,6.25,COR0004,completed,DRN0109,
CORDRN00000083,06/23/2025,CORFRM0018678,CORSTR00879,Paddy,13.66,COR0011,rescheduled,DRN0178,
CORDRN00000084,2026-02-11,CORFRM0006712,CORSTR00227,Turmeric,18.48,COR0026,rescheduled,DRN0025,repeat booking
CORDRN00000085,2026-02-12,CORFRM0014205,CORSTR00832,Groundnut,2.4,COR0005,completed,DRN0173,wind issue
CORDRN00000086,2024-05-07,CORFRM0016098,CORSTR00761,Cotton,5.74,COR0015,completed,DRN0107,wind issue
CORDRN00000087,2026-01-08,CORFRM0009561,CORSTR00171,Groundnut,1.23,COR0022,rescheduled,DRN0245,farmer absent
CORDRN00000088,07/10/2024,CORFRM0012471,CORSTR00510,Paddy,18.91,COR0033,cancelled,DRN0005,farmer absent
CORDRN00000089,2025-05-10,CORFRM0024293,CORSTR00283,Maize,12.44,COR0014,weather hold,DRN0173,
CORDRN00000090,2025-03-14,CORFRM0024238,CORSTR00249,Vegetables,5.19,COR0008,cancelled,DRN0139,farmer absent
CORDRN00000091,2025-03-14,CORFRM0003251,CORSTR00994,Mango,3.32,COR0017,cancelled,DRN0084,wind issue
CORDRN00000092,2025-07-21,CORFRM0013453,CORSTR00773,Mango,8.88,COR0012,rescheduled,DRN0013,tank shortage
CORDRN00000093,2025-06-25,CORFRM0016478,CORSTR00194,Groundnut,18.51,COR0025,cancelled,DRN0238,farmer absent
CORDRN00000094,2024-08-08,CORFRM0023312,CORSTR00113,Sugarcane,17.48,COR0022,rescheduled,DRN0088,
CORDRN00000095,03/05/2026,CORFRM0005963,CORSTR01047,Chilli,11.29,COR0007,rescheduled,DRN0049,wind issue
CORDRN00000096,2025-11-22,CORFRM0007172,CORSTR00329,Turmeric,1.86,COR0024,completed,DRN0149,wind issue
CORDRN00000097,2025-07-05,CORFRM0006432,CORSTR00370,Paddy,0.56,COR0018,payment pending,DRN0243,farmer absent
CORDRN00000098,2025-09-20,CORFRM0000043,CORSTR00896,Chilli,19.91,COR0009,cancelled,DRN0006,farmer absent
CORDRN00000099,18-Feb-26,CORFRM0007574,CORSTR00623,Vegetables,5.12,COR0033,rescheduled,DRN0075,
CORDRN00000100,2025-03-02,CORFRM0008070,CORSTR00033,Vegetables,4.81,COR0028,weather hold,DRN0181,
CORDRN00000101,2025-07-27,CORFRM0003686,CORSTR00968,Groundnut,1.19,COR0030,cancelled,DRN0180,wind issue
CORDRN00000102,2025-08-06,CORFRM0014913,CORSTR00649,Sugarcane,2.97,COR0009,completed,DRN0218,farmer absent
CORDRN00000103,2024-07-01,CORFRM0020325,CORSTR00656,Paddy,5.06,COR0008,payment pending,DRN0156,tank shortage
CORDRN00000104,2024-07-10,CORFRM0003338,CORSTR00260,Mango,2.43,COR0031,completed,DRN0197,
CORDRN00000105,2025-04-18,CORFRM0005832,CORSTR01086,Mango,5.03,COR0015,cancelled,DRN0223,repeat booking
CORDRN00000106,2025-09-13,CORFRM0000049,CORSTR00420,Turmeric,9.22,COR0007,completed,DRN0029,repeat booking
CORDRN00000107,29/08/2025,CORFRM0006716,CORSTR00739,Mango,9.07,COR0025,cancelled,DRN0039,farmer absent
CORDRN00000108,2025-12-26,CORFRM0016837,CORSTR01051,Coconut,17.15,COR0012,cancelled,DRN0046,wind issue
CORDRN00000109,20-Dec-24,CORFRM0007577,CORSTR00680,Mango,18.35,COR0001,cancelled,DRN0207,repeat booking
CORDRN00000110,2025-08-28,CORFRM0023504,CORSTR00208,Turmeric,6.6,COR0004,payment pending,DRN0222,tank shortage
CORDRN00000111,2025-08-28,CORFRM0017319,CORSTR01134,Cotton,4.34,COR0029,weather hold,DRN0239,repeat booking
CORDRN00000112,2024-10-09,CORFRM0000624,CORSTR00231,Paddy,5.9,COR0016,payment pending,DRN0244,farmer absent
CORDRN00000113,2024-12-22,CORFRM0010738,CORSTR00524,Groundnut,19.54,COR0012,cancelled,DRN0091,repeat booking
CORDRN00000114,2025-08-06,CORFRM0015300,CORSTR00929,Banana,0.82,COR0027,rescheduled,DRN0225,tank shortage
CORDRN00000115,2026-01-24,CORFRM0000588,CORSTR00968,Vegetables,3.67,COR0012,payment pending,DRN0249,repeat booking
CORDRN00000116,2025-03-04,CORFRM0015079,CORSTR00224,Cotton,2.81,COR0020,payment pending,DRN0195,tank shortage
CORDRN00000117,18/03/2025,CORFRM0005485,CORSTR00974,Groundnut,9.16,COR0004,completed,DRN0006,repeat booking
CORDRN00000118,2024-05-08,CORFRM0024336,CORSTR00395,Maize,16.21,COR0027,completed,DRN0192,
CORDRN00000119,2025-11-09,CORFRM0010190,CORSTR00039,Chilli,12.04,COR0031,rescheduled,DRN0163,wind issue
CORDRN00000120,2025-05-29,CORFRM0014436,CORSTR00539,Coconut,5.26,COR0015,completed,DRN0083,repeat booking
CORDRN00000121,22/09/2025,CORFRM0020372,CORSTR01039,Sugarcane,7.78,COR0014,cancelled,DRN0055,wind issue
CORDRN00000122,07/12/2024,CORFRM0013121,CORSTR01032,Banana,0.6,COR0012,rescheduled,DRN0130,
CORDRN00000123,2024-10-31,CORFRM0021474,CORSTR00599,Coconut,0.69,COR0001,payment pending,DRN0015,farmer absent
CORDRN00000124,2025-12-16,CORFRM0008190,CORSTR00062,Turmeric,0.87,COR0027,payment pending,DRN0133,repeat booking
CORDRN00000125,30-Aug-25,CORFRM0022048,CORSTR00425,Mango,19.33,COR0012,rescheduled,DRN0219,farmer absent
CORDRN00000126,2026-03-06,CORFRM0021647,CORSTR00792,Sugarcane,6.65,COR0013,cancelled,DRN0002,
CORDRN00000127,10/04/2024,CORFRM0003844,CORSTR00565,Cotton,6.54,COR0015,rescheduled,DRN0197,tank shortage
CORDRN00000128,2025-04-09,CORFRM0004009,CORSTR00132,Banana,1.35,COR0008,payment pending,DRN0014,repeat booking
CORDRN00000129,2025-02-03,CORFRM0005751,CORSTR00550,Maize,1.78,COR0002,weather hold,DRN0115,
CORDRN00000130,2024-06-03,CORFRM0020375,CORSTR00324,Maize,3.51,COR0022,weather hold,DRN0197,repeat booking
CORDRN00000131,26/06/2024,CORFRM0017562,CORSTR00537,Banana,15.47,COR0011,rescheduled,DRN0171,wind issue
CORDRN00000132,2024-08-07,CORFRM0018411,CORSTR00255,Chilli,4.01,COR0006,completed,DRN0112,repeat booking
CORDRN00000133,03/15/2026,CORFRM0007210,CORSTR01120,Banana,12.02,COR0006,weather hold,DRN0118,tank shortage
CORDRN00000134,2024-04-10,CORFRM0009473,CORSTR00400,Chilli,4.09,COR0010,completed,DRN0223,wind issue
CORDRN00000135,2024-10-12,CORFRM0012749,CORSTR00883,Turmeric,18.11,COR0032,payment pending,DRN0217,farmer absent
CORDRN00000136,2024-11-26,CORFRM0009443,CORSTR00289,Sugarcane,3.69,COR0003,weather hold,DRN0175,repeat booking
CORDRN00000137,2025-05-13,CORFRM0004715,CORSTR00013,Maize,4.02,COR0030,rescheduled,DRN0131,wind issue
CORDRN00000138,04/11/2025,CORFRM0006399,CORSTR00874,Vegetables,5.3,COR0028,rescheduled,DRN0126,
CORDRN00000139,2025-01-21,CORFRM0024998,CORSTR00450,Turmeric,0.94,COR0009,payment pending,DRN0204,farmer absent
CORDRN00000140,2026-02-23,CORFRM0011641,CORSTR00408,Groundnut,11.14,COR0014,completed,DRN0061,
CORDRN00000141,01/27/2025,CORFRM0000282,CORSTR00251,Banana,0.8,COR0006,rescheduled,DRN0144,farmer absent
CORDRN00000142,2024-11-10,CORFRM0016567,CORSTR00813,Banana,4.47,COR0016,cancelled,DRN0062,farmer absent
CORDRN00000143,2024-06-29,CORFRM0006484,CORSTR00067,Maize,2.22,COR0021,weather hold,DRN0027,
CORDRN00000144,2025-05-21,CORFRM0016376,CORSTR00582,Sugarcane,3.14,COR0021,rescheduled,DRN0180,repeat booking
CORDRN00000145,2026-02-05,CORFRM0004552,CORSTR00636,Mango,3.97,COR0010,completed,DRN0228,farmer absent
CORDRN00000146,2025-04-28,CORFRM0008669,CORSTR00525,Cotton,5.43,COR0003,completed,DRN0180,farmer absent
CORDRN00000147,2025-02-23,CORFRM0014070,CORSTR00542,Vegetables,10.56,COR0026,payment pending,DRN0022,tank shortage
CORDRN00000148,2025-12-18,CORFRM0022447,CORSTR00885,Cotton,13.03,COR0029,rescheduled,DRN0064,repeat booking
CORDRN00000149,2024-11-19,CORFRM0020470,CORSTR00813,Sugarcane,0.52,COR0016,rescheduled,DRN0006,
CORDRN00000150,2026-02-06,CORFRM0021921,CORSTR00267,Maize,4.02,COR0002,weather hold,DRN0177,wind issue
CORDRN00000151,2025-08-07,CORFRM0011881,CORSTR00222,Chilli,5.44,COR0021,completed,DRN0186,
CORDRN00000152,2025-10-13,CORFRM0016870,CORSTR00942,Maize,0.57,COR0020,completed,DRN0094,tank shortage
CORDRN00000153,2024-09-25,CORFRM0021931,CORSTR00204,Paddy,7.47,COR0027,completed,DRN0028,repeat booking
CORDRN00000154,2025-12-07,CORFRM0001274,CORSTR00574,Coconut,18.69,COR0030,weather hold,DRN0087,wind issue
CORDRN00000155,2024-06-14,CORFRM0014967,CORSTR00572,Paddy,3.89,COR0022,payment pending,DRN0119,
CORDRN00000156,2025-12-31,CORFRM0007953,CORSTR00443,Paddy,3.89,COR0030,rescheduled,DRN0189,wind issue
CORDRN00000157,2024-07-13,CORFRM0008986,CORSTR00817,Maize,4.38,COR0023,completed,DRN0159,wind issue
CORDRN00000158,2024-09-01,CORFRM0016471,CORSTR00100,Cotton,9.41,COR0018,completed,DRN0022,tank shortage
CORDRN00000159,2024-12-15,CORFRM0023525,CORSTR00599,Vegetables,8.58,COR0021,rescheduled,DRN0001,tank shortage
CORDRN00000160,03/20/2025,CORFRM0021777,CORSTR00476,Cotton,1.5,COR0016,completed,DRN0053,repeat booking
CORDRN00000161,2025-06-20,CORFRM0016324,CORSTR00551,Banana,11.76,COR0019,completed,DRN0245,wind issue
CORDRN00000162,19/09/2024,CORFRM0003520,CORSTR00506,Groundnut,12.26,COR0008,completed,DRN0248,repeat booking
CORDRN00000163,2024-10-26,CORFRM0013865,CORSTR00020,Mango,19.94,COR0026,completed,DRN0064,repeat booking
CORDRN00000164,20-Sep-24,CORFRM0002968,CORSTR00006,Turmeric,1.0,COR0015,cancelled,DRN0146,wind issue
CORDRN00000165,2025-07-25,CORFRM0013494,CORSTR00593,Chilli,10.72,COR0010,weather hold,DRN0126,repeat booking
CORDRN00000166,2024-09-01,CORFRM0003893,CORSTR00124,Turmeric,1.97,COR0002,cancelled,DRN0145,repeat booking
CORDRN00000167,2024-10-25,CORFRM0019890,CORSTR00583,Maize,3.27,COR0018,payment pending,DRN0109,wind issue
CORDRN00000168,12/20/2024,CORFRM0005845,CORSTR00299,Paddy,13.27,COR0009,cancelled,DRN0146,tank shortage
CORDRN00000169,2025-12-05,CORFRM0014813,CORSTR00640,Turmeric,2.6,COR0033,weather hold,DRN0185,farmer absent
CORDRN00000170,2025-03-05,CORFRM0024211,CORSTR00683,Sugarcane,3.35,COR0021,rescheduled,DRN0025,repeat booking
CORDRN00000171,2025-11-24,CORFRM0008382,CORSTR00331,Paddy,10.03,COR0016,weather hold,DRN0215,wind issue
CORDRN00000172,2024-08-29,CORFRM0022329,CORSTR00381,Maize,2.33,COR0026,cancelled,DRN0102,farmer absent
CORDRN00000173,2025-04-08,CORFRM0002798,CORSTR01100,Paddy,1.24,COR0012,completed,DRN0023,tank shortage
CORDRN00000174,2024-04-18,CORFRM0009654,CORSTR00167,Sugarcane,15.34,COR0017,weather hold,DRN0103,repeat booking
CORDRN00000175,11-Apr-24,CORFRM0018442,CORSTR00015,Paddy,4.06,COR0013,cancelled,DRN0060,wind issue
CORDRN00000176,01/28/2025,CORFRM0007962,CORSTR00225,Cotton,1.07,COR0026,payment pending,DRN0046,repeat booking
CORDRN00000177,2025-09-23,CORFRM0000478,CORSTR01151,Groundnut,0.59,COR0008,payment pending,DRN0115,
CORDRN00000178,2025-04-28,CORFRM0008577,CORSTR00057,Paddy,2.77,COR0019,weather hold,DRN0207,wind issue
CORDRN00000179,2024-04-17,CORFRM0006603,CORSTR00569,Sugarcane,18.8,COR0022,rescheduled,DRN0068,tank shortage
CORDRN00000180,2024-11-05,CORFRM0004084,CORSTR00460,Turmeric,2.44,COR0026,cancelled,DRN0019,farmer absent
CORDRN00000181,2024-07-11,CORFRM0010418,CORSTR00808,Mango,12.67,COR0030,cancelled,DRN0240,farmer absent
CORDRN00000182,2025-06-09,CORFRM0003602,CORSTR00882,Sugarcane,0.58,COR0015,weather hold,DRN0115,farmer absent
CORDRN00000183,2024-04-23,CORFRM0019027,CORSTR00283,Banana,1.54,COR0015,cancelled,DRN0111,tank shortage
CORDRN00000184,04/15/2025,CORFRM0012851,CORSTR00096,Cotton,6.32,COR0027,weather hold,DRN0227,wind issue
CORDRN00000185,2025-12-04,CORFRM0019746,CORSTR00265,Maize,5.16,COR0028,weather hold,DRN0149,repeat booking
CORDRN00000186,2026-03-06,CORFRM0015697,CORSTR00611,Coconut,8.23,COR0020,payment pending,DRN0177,repeat booking
CORDRN00000187,23-Jul-24,CORFRM0010457,CORSTR00335,Groundnut,4.27,COR0012,cancelled,DRN0213,wind issue
CORDRN00000188,2024-11-08,CORFRM0021917,CORSTR00067,Vegetables,3.9,COR0018,rescheduled,DRN0069,
CORDRN00000189,2025-06-05,CORFRM0001349,CORSTR00497,Banana,9.31,COR0009,completed,DRN0028,repeat booking
CORDRN00000190,2024-07-12,CORFRM0012887,CORSTR00070,Turmeric,0.61,COR0018,cancelled,DRN0217,
CORDRN00000191,12/30/2024,CORFRM0009944,CORSTR00374,Maize,18.11,COR0008,weather hold,DRN0136,farmer absent
CORDRN00000192,2026-03-09,CORFRM0022377,CORSTR00373,Banana,1.64,COR0015,weather hold,DRN0186,repeat booking
CORDRN00000193,14/09/2024,CORFRM0016397,CORSTR00611,Maize,2.49,COR0030,completed,DRN0178,tank shortage
CORDRN00000194,2024-11-06,CORFRM0019341,CORSTR00066,Turmeric,5.68,COR0011,weather hold,DRN0205,
CORDRN00000195,05/28/2025,CORFRM0007031,CORSTR00107,Vegetables,0.67,COR0011,rescheduled,DRN0216,farmer absent
CORDRN00000196,2024-04-13,CORFRM0015332,CORSTR00195,Vegetables,5.66,COR0030,payment pending,DRN0066,tank shortage
CORDRN00000197,2024-06-28,CORFRM0017567,CORSTR00830,Vegetables,4.85,COR0015,cancelled,DRN0098,
CORDRN00000198,2025-09-16,CORFRM0016440,CORSTR00630,Cotton,7.11,COR0023,payment pending,DRN0130,
CORDRN00000199,2025-08-31,CORFRM0017065,CORSTR00285,Sugarcane,6.75,COR0010,completed,DRN0052,wind issue
CORDRN00000200,06/05/2025,CORFRM0006798,CORSTR00331,Cotton,4.98,COR0009,completed,DRN0005,farmer absent
CORDRN00000201,2025-06-23,CORFRM0016537,CORSTR01075,Chilli,11.95,COR0033,weather hold,DRN0035,
CORDRN00000202,15/02/2026,CORFRM0018926,CORSTR00125,Groundnut,8.46,COR0023,payment pending,DRN0177,
CORDRN00000203,2025-10-10,CORFRM0022723,CORSTR00738,Chilli,3.39,COR0005,weather hold,DRN0099,repeat booking
CORDRN00000204,2025-07-24,CORFRM0012073,CORSTR00554,Sugarcane,6.64,COR0002,cancelled,DRN0176,repeat booking
CORDRN00000205,11/18/2024,CORFRM0004698,CORSTR00291,Mango,1.04,COR0002,weather hold,DRN0090,farmer absent
CORDRN00000206,2026-01-27,CORFRM0015394,CORSTR00627,Paddy,11.39,COR0032,cancelled,DRN0110,repeat booking
CORDRN00000207,2025-12-01,CORFRM0007019,CORSTR00169,Maize,6.93,COR0020,completed,DRN0079,tank shortage
CORDRN00000208,2026-02-27,CORFRM0014189,CORSTR00590,Coconut,8.67,COR0031,cancelled,DRN0125,farmer absent
CORDRN00000209,2024-05-05,CORFRM0002870,CORSTR00604,Maize,4.48,COR0027,rescheduled,DRN0024,wind issue
CORDRN00000210,2025-01-16,CORFRM0001526,CORSTR00572,Coconut,4.68,COR0032,weather hold,DRN0035,farmer absent
CORDRN00000211,2026-01-09,CORFRM0020767,CORSTR01005,Turmeric,1.97,COR0009,cancelled,DRN0049,farmer absent
CORDRN00000212,2024-09-15,CORFRM0011375,CORSTR00092,Chilli,16.64,COR0019,cancelled,DRN0116,wind issue
CORDRN00000213,2024-06-08,CORFRM0024747,CORSTR00964,Cotton,0.83,COR0002,payment pending,DRN0199,tank shortage
CORDRN00000214,2024-11-07,CORFRM0016558,CORSTR00750,Vegetables,3.78,COR0007,payment pending,DRN0218,farmer absent
CORDRN00000215,2025-02-01,CORFRM0024479,CORSTR01053,Vegetables,17.48,COR0023,rescheduled,DRN0107,wind issue
CORDRN00000216,2024-04-22,CORFRM0010735,CORSTR00026,Paddy,7.38,COR0001,payment pending,DRN0193,wind issue
CORDRN00000217,2025-05-01,CORFRM0004030,CORSTR00681,Mango,8.73,COR0025,weather hold,DRN0235,tank shortage
CORDRN00000218,01-Mar-26,CORFRM0001616,CORSTR00304,Maize,9.81,COR0019,cancelled,DRN0126,tank shortage
CORDRN00000219,2025-02-21,CORFRM0012663,CORSTR00975,Maize,8.18,COR0026,completed,DRN0177,repeat booking
CORDRN00000220,11/12/2024,CORFRM0020309,CORSTR00216,Paddy,15.8,COR0007,payment pending,DRN0181,repeat booking
CORDRN00000221,2024-10-31,CORFRM0000730,CORSTR00619,Vegetables,9.11,COR0001,weather hold,DRN0049,farmer absent
