ledger_id,activity_date,contractor_id,mapped_dealer_id,activity_type,points_delta,bill_value,approval_status,note
ASPCONLED00000075,22-Oct-25,ASPCON003647,ASPDLR000130,bill upload,164,15608.00,pending,
ASPCONLED00000076,2025-10-29,ASPCON002176,ASPDLR000563,complaint assist,1218,779.65,pending,site closed
ASPCONLED00000077,2025-12-13,ASPCON003678,ASPDLR000646,bill upload,-435,30642.62,pending,bill image unclear
ASPCONLED00000078,2024-12-28,ASPCON004154,ASPDLR000348,complaint assist,1016,73677.80,pending,site closed
ASPCONLED00000079,2025-07-04,ASPCON002914,ASPDLR000233,bill upload,895,16179.71,pending,bill image unclear
ASPCONLED00000080,2025-06-23,ASPCON000459,ASPDLR000840,site lead,1746,47896.63,rejected,site closed
ASPCONLED00000081,02/27/2026,ASPCON000183,ASPDLR000247,bill upload,374,87820.05,approved,
ASPCONLED00000082,2024-07-22,ASPCON004314,ASPDLR000346,bill upload,2144,57699.20,rejected,site closed
ASPCONLED00000083,2026-01-06,ASPCON002997,ASPDLR000606,points redemption,-176,77509.32,manual,
ASPCONLED00000084,2024-07-25,ASPCON002811,ASPDLR000277,complaint assist,2222,49052.79,duplicate,dealer mismatch
ASPCONLED00000085,16/12/2024,ASPCON004850,ASPDLR000568,complaint assist,754,13714.00,approved,site closed
ASPCONLED00000086,2025-02-11,ASPCON001405,ASPDLR000539,training,-306,77314.69,approved,dealer mismatch
ASPCONLED00000087,2024-11-27,ASPCON000154,ASPDLR000001,training,1234,65959.99,approved,bill image unclear
ASPCONLED00000088,2026-02-18,ASPCON004846,ASPDLR000397,points redemption,1759,61588.58,manual,bill image unclear
ASPCONLED00000089,2026-01-31,ASPCON001133,ASPDLR000327,bill upload,2110,5543.01,duplicate,dealer mismatch
ASPCONLED00000090,2024-11-30,ASPCON001081,ASPDLR000961,complaint assist,1499,59779.72,rejected,bill image unclear
ASPCONLED00000091,2024-08-22,ASPCON003924,ASPDLR000108,bill upload,1675,3348.56,pending,dealer mismatch
ASPCONLED00000092,2025-12-22,ASPCON003015,ASPDLR000940,training,1260,354.58,manual,redeemed gift
ASPCONLED00000093,2024-07-13,ASPCON004463,ASPDLR000265,training,-424,78343.48,duplicate,redeemed gift
ASPCONLED00000094,2025-11-17,ASPCON001611,ASPDLR000634,training,192,41793.20,approved,
ASPCONLED00000095,2024-08-07,ASPCON003863,ASPDLR000963,bill upload,873,56561.78,approved,bill image unclear
ASPCONLED00000096,06/27/2025,ASPCON001128,ASPDLR000720,bill upload,1886,5807.34,manual,dealer mismatch
ASPCONLED00000097,02/05/2025,ASPCON003947,ASPDLR000361,training,623,74571.03,duplicate,redeemed gift
ASPCONLED00000098,2024-07-10,ASPCON002939,ASPDLR000745,bill upload,298,23655.67,approved,bill image unclear
ASPCONLED00000099,2024-05-28,ASPCON000331,ASPDLR000735,site lead,1951,40330.02,manual,dealer mismatch
ASPCONLED00000100,2024-11-21,ASPCON001107,ASPDLR000579,training,1654,78552.72,manual,site closed
ASPCONLED00000101,2024-11-07,ASPCON000177,ASPDLR000590,site lead,-41,12342.70,duplicate,dealer mismatch
ASPCONLED00000102,03-Jun-25,ASPCON004445,ASPDLR000043,points redemption,2032,34601.71,pending,
ASPCONLED00000103,10/11/2024,ASPCON004475,ASPDLR000237,complaint assist,291,55208.35,pending,site closed
ASPCONLED00000104,09/10/2024,ASPCON002232,ASPDLR000294,complaint assist,1670,20251.13,approved,
ASPCONLED00000105,07-Mar-26,ASPCON001955,ASPDLR000126,points redemption,2027,25503.11,approved,dealer mismatch
ASPCONLED00000106,21/07/2024,ASPCON000134,ASPDLR000478,training,-291,43212.69,rejected,dealer mismatch
ASPCONLED00000107,2025-10-06,ASPCON001647,ASPDLR000791,points redemption,11,15663.39,manual,site closed
ASPCONLED00000108,09/01/2025,ASPCON003152,ASPDLR000130,complaint assist,1063,60139.17,pending,redeemed gift
ASPCONLED00000109,2025-06-24,ASPCON003301,ASPDLR000898,training,1123,38351.11,pending,dealer mismatch
ASPCONLED00000110,2026-01-07,ASPCON003115,ASPDLR000046,complaint assist,-163,77784.44,pending,dealer mismatch
ASPCONLED00000111,2024-10-21,ASPCON003888,ASPDLR000571,bill upload,873,52167.15,pending,site closed
ASPCONLED00000112,2025-11-29,ASPCON002635,ASPDLR000639,site lead,442,18079.94,duplicate,dealer mismatch
ASPCONLED00000113,31/07/2024,ASPCON000325,ASPDLR000714,training,1665,8049.01,manual,
ASPCONLED00000114,2026-03-27,ASPCON003536,ASPDLR000424,training,1769,30110.36,approved,
ASPCONLED00000115,2025-04-20,ASPCON000424,ASPDLR000375,complaint assist,299,25544.98,rejected,
ASPCONLED00000116,2026-02-21,ASPCON000765,ASPDLR000896,points redemption,2100,6153.07,rejected,bill image unclear
ASPCONLED00000117,2025-01-07,ASPCON002176,ASPDLR000563,bill upload,1800,33744.80,duplicate,dealer mismatch
ASPCONLED00000118,2024-12-19,ASPCON000211,ASPDLR000166,site lead,812,79107.89,approved,bill image unclear
ASPCONLED00000119,2026-02-17,ASPCON004274,ASPDLR000371,complaint assist,873,73219.04,pending,site closed
ASPCONLED00000120,2024-04-01,ASPCON003996,ASPDLR000812,points redemption,420,15934.75,approved,bill image unclear
ASPCONLED00000121,2025-11-13,ASPCON004349,ASPDLR000566,bill upload,629,21957.57,manual,site closed
ASPCONLED00000122,2026-03-23,ASPCON000493,ASPDLR000101,bill upload,675,19203.33,rejected,dealer mismatch
ASPCONLED00000123,2025-06-09,ASPCON001870,ASPDLR000958,site lead,1123,28364.87,pending,bill image unclear
ASPCONLED00000124,2024-11-10,ASPCON001977,ASPDLR000242,complaint assist,-262,38886.76,rejected,redeemed gift
ASPCONLED00000125,2025-04-19,ASPCON000199,ASPDLR000891,training,1545,12071.90,pending,redeemed gift
ASPCONLED00000126,14/08/2025,ASPCON003324,ASPDLR000867,points redemption,-115,78087.24,manual,redeemed gift
ASPCONLED00000127,2024-09-06,ASPCON001001,ASPDLR000418,site lead,2431,62427.01,approved,redeemed gift
ASPCONLED00000128,04/06/2024,ASPCON003619,ASPDLR000809,site lead,1176,37317.04,manual,bill image unclear
ASPCONLED00000129,2025-11-25,ASPCON000482,ASPDLR000004,points redemption,2005,13558.39,manual,dealer mismatch
ASPCONLED00000130,2024-07-01,ASPCON003885,ASPDLR000575,bill upload,989,6042.02,manual,site closed
ASPCONLED00000131,2024-06-06,ASPCON004450,ASPDLR000447,points redemption,2341,5575.11,rejected,
ASPCONLED00000132,2025-05-07,ASPCON002227,ASPDLR000284,bill upload,632,59913.15,pending,dealer mismatch
ASPCONLED00000133,2024-07-18,ASPCON001946,ASPDLR000737,points redemption,2028,76422.58,duplicate,dealer mismatch
ASPCONLED00000134,2024-10-10,ASPCON002160,ASPDLR000887,complaint assist,658,3294.45,approved,site closed
ASPCONLED00000135,12/12/2025,ASPCON001601,ASPDLR000705,points redemption,1395,85729.59,duplicate,site closed
ASPCONLED00000136,2025-09-07,ASPCON002101,ASPDLR000079,complaint assist,70,55596.26,manual,bill image unclear
ASPCONLED00000137,2025-05-11,ASPCON000717,ASPDLR000998,training,65,2453.09,manual,redeemed gift
ASPCONLED00000138,2026-02-24,ASPCON002056,ASPDLR000885,complaint assist,-297,76033.22,approved,dealer mismatch
ASPCONLED00000139,2025-07-10,ASPCON004968,ASPDLR000220,site lead,1186,54538.57,pending,dealer mismatch
ASPCONLED00000140,2025-11-02,ASPCON004917,ASPDLR000246,complaint assist,1538,26692.73,pending,
ASPCONLED00000141,2025-11-21,ASPCON001480,ASPDLR000370,bill upload,2042,89156.33,rejected,bill image unclear
ASPCONLED00000142,2025-12-30,ASPCON000296,ASPDLR000668,training,1701,77041.60,rejected,redeemed gift
ASPCONLED00000143,2024-11-05,ASPCON000972,ASPDLR000756,points redemption,1091,10324.31,approved,
ASPCONLED00000144,08-Jun-24,ASPCON004283,ASPDLR000727,complaint assist,702,9583.99,approved,redeemed gift
ASPCONLED00000145,2026-02-05,ASPCON004976,ASPDLR000301,training,1700,83548.17,duplicate,redeemed gift
ASPCONLED00000146,06/10/2025,ASPCON003039,ASPDLR000511,training,1410,17165.49,approved,redeemed gift
ASPCONLED00000147,2024-10-05,ASPCON000540,ASPDLR000647,points redemption,2315,45078.12,manual,
ASPCONLED00000148,2025-06-17,ASPCON000465,ASPDLR000186,training,2005,68777.12,duplicate,dealer mismatch
ASPCONLED00000149,2024-06-24,ASPCON004088,ASPDLR000077,site lead,1062,23193.44,manual,redeemed gift
ASPCONLED00000150,2024-07-13,ASPCON004542,ASPDLR000615,complaint assist,1594,62270.33,manual,dealer mismatch
ASPCONLED00000151,2025-03-19,ASPCON004499,ASPDLR000961,bill upload,839,34933.30,pending,dealer mismatch
ASPCONLED00000152,2024-09-18,ASPCON000709,ASPDLR000788,training,900,87028.82,rejected,site closed
ASPCONLED00000153,27-Nov-24,ASPCON000812,ASPDLR000134,points redemption,1885,21789.44,pending,
ASPCONLED00000154,11/11/2024,ASPCON004817,ASPDLR000044,training,2158,70486.22,manual,
ASPCONLED00000155,07/12/2024,ASPCON001187,ASPDLR000087,points redemption,920,86797.18,approved,dealer mismatch
ASPCONLED00000156,08/11/2024,ASPCON000651,ASPDLR000889,complaint assist,-62,1297.00,duplicate,redeemed gift
ASPCONLED00000157,30/03/2025,ASPCON003687,ASPDLR000643,training,1225,66537.57,manual,dealer mismatch
ASPCONLED00000158,2024-06-19,ASPCON004543,ASPDLR000581,complaint assist,1779,78298.16,pending,redeemed gift
ASPCONLED00000159,2025-10-03,ASPCON001315,ASPDLR000126,bill upload,1562,76316.36,manual,
ASPCONLED00000160,2025-10-21,ASPCON002844,ASPDLR000875,bill upload,1291,14245.40,pending,dealer mismatch
ASPCONLED00000161,2024-12-21,ASPCON003057,ASPDLR000822,bill upload,2327,36074.97,rejected,redeemed gift
ASPCONLED00000162,2025-05-24,ASPCON000524,ASPDLR000858,training,300,73808.44,pending,site closed
ASPCONLED00000163,2024-10-24,ASPCON002026,ASPDLR000269,points redemption,1633,87816.72,approved,site closed
ASPCONLED00000164,02/10/2026,ASPCON003169,ASPDLR000802,training,233,42683.55,manual,site closed
ASPCONLED00000165,21-Apr-24,ASPCON001121,ASPDLR000851,points redemption,1914,52176.92,approved,site closed
ASPCONLED00000166,07/28/2024,ASPCON004500,ASPDLR000369,bill upload,1103,49694.21,approved,redeemed gift
ASPCONLED00000167,2025-08-21,ASPCON004047,ASPDLR000071,bill upload,-305,52626.13,duplicate,
ASPCONLED00000168,28/10/2025,ASPCON004100,ASPDLR000525,points redemption,846,53756.74,duplicate,bill image unclear
ASPCONLED00000169,03/11/2024,ASPCON001577,ASPDLR000499,bill upload,557,43205.47,duplicate,redeemed gift
ASPCONLED00000170,29/07/2024,ASPCON000171,ASPDLR000034,training,799,2355.24,duplicate,
ASPCONLED00000171,2026-03-08,ASPCON001613,ASPDLR000084,training,2163,17871.82,manual,
ASPCONLED00000172,2026-03-15,ASPCON002973,ASPDLR000343,complaint assist,-423,81326.61,duplicate,bill image unclear
ASPCONLED00000173,2024-06-26,ASPCON003270,ASPDLR000907,site lead,411,86595.32,manual,redeemed gift
ASPCONLED00000174,03/25/2026,ASPCON004410,ASPDLR000953,complaint assist,346,44317.07,manual,
ASPCONLED00000175,2026-02-10,ASPCON000024,ASPDLR000917,training,1966,20352.68,approved,
ASPCONLED00000176,2024-07-15,ASPCON000136,ASPDLR000710,points redemption,1368,80603.53,duplicate,site closed
ASPCONLED00000177,2026-02-11,ASPCON003606,ASPDLR000825,training,918,85979.86,pending,
ASPCONLED00000178,2025-07-08,ASPCON004563,ASPDLR000288,bill upload,1349,74450.29,pending,redeemed gift
ASPCONLED00000179,2026-02-26,ASPCON000512,ASPDLR000947,site lead,2178,85749.94,rejected,site closed
ASPCONLED00000180,18/07/2024,ASPCON000512,ASPDLR000947,points redemption,322,16126.19,approved,site closed
ASPCONLED00000181,2024-11-20,ASPCON000288,ASPDLR000347,complaint assist,203,6837.60,duplicate,dealer mismatch
ASPCONLED00000182,2025-06-17,ASPCON004875,ASPDLR000592,points redemption,1051,70414.22,duplicate,
ASPCONLED00000183,09/26/2025,ASPCON003351,ASPDLR000711,bill upload,-114,42543.95,rejected,site closed
ASPCONLED00000184,2025-06-04,ASPCON002927,ASPDLR000536,training,72,12703.80,pending,
ASPCONLED00000185,2025-06-03,ASPCON001238,ASPDLR000714,complaint assist,332,24670.75,pending,site closed
ASPCONLED00000186,2026-01-02,ASPCON000473,ASPDLR000395,site lead,1186,11083.80,duplicate,dealer mismatch
ASPCONLED00000187,2026-02-15,ASPCON001522,ASPDLR000389,complaint assist,83,79396.91,pending,dealer mismatch
ASPCONLED00000188,2026-03-25,ASPCON004959,ASPDLR000766,complaint assist,1122,14830.22,rejected,dealer mismatch
ASPCONLED00000189,13/12/2024,ASPCON004726,ASPDLR000913,site lead,680,13335.27,approved,
ASPCONLED00000190,2024-10-21,ASPCON001383,ASPDLR000317,site lead,44,83465.20,pending,bill image unclear
ASPCONLED00000191,2025-03-22,ASPCON002990,ASPDLR000373,complaint assist,1530,14620.74,rejected,redeemed gift
ASPCONLED00000192,2024-10-11,ASPCON004614,ASPDLR000994,site lead,2235,79381.14,pending,dealer mismatch
ASPCONLED00000193,03/05/2026,ASPCON000219,ASPDLR000416,bill upload,2280,32854.03,approved,bill image unclear
ASPCONLED00000194,07/27/2024,ASPCON001281,ASPDLR000249,bill upload,153,10400.77,approved,bill image unclear
ASPCONLED00000195,2025-06-12,ASPCON003372,ASPDLR000117,complaint assist,2444,71227.17,duplicate,
ASPCONLED00000196,2025-07-25,ASPCON001841,ASPDLR000940,bill upload,-141,30647.13,rejected,bill image unclear
ASPCONLED00000197,2024-12-13,ASPCON001891,ASPDLR000496,bill upload,1495,68070.81,pending,site closed
ASPCONLED00000198,09/13/2025,ASPCON001529,ASPDLR000908,points redemption,166,69609.00,duplicate,dealer mismatch
ASPCONLED00000199,2026-01-07,ASPCON003897,ASPDLR000225,bill upload,134,86632.91,manual,bill image unclear
ASPCONLED00000200,2024-07-30,ASPCON002149,ASPDLR000496,site lead,867,60143.85,duplicate,site closed
ASPCONLED00000201,2024-10-18,ASPCON003304,ASPDLR000132,complaint assist,-118,64319.72,manual,redeemed gift
ASPCONLED00000202,05/11/2025,ASPCON004023,ASPDLR000842,bill upload,878,2555.74,pending,bill image unclear
ASPCONLED00000203,2025-02-18,ASPCON004738,ASPDLR000589,points redemption,813,12101.76,duplicate,bill image unclear
ASPCONLED00000204,09-Sep-25,ASPCON000005,ASPDLR000041,training,895,74727.95,duplicate,dealer mismatch
ASPCONLED00000205,2025-06-22,ASPCON003111,ASPDLR000316,training,771,2716.23,approved,redeemed gift
ASPCONLED00000206,04/07/2025,ASPCON004294,ASPDLR000183,site lead,754,76501.82,approved,
ASPCONLED00000207,2025-06-08,ASPCON002211,ASPDLR000891,points redemption,2296,8528.77,duplicate,bill image unclear
ASPCONLED00000208,2025-07-17,ASPCON004115,ASPDLR000091,training,-245,89361.23,approved,bill image unclear
ASPCONLED00000209,09/11/2024,ASPCON001667,ASPDLR000937,training,859,64359.65,manual,redeemed gift
ASPCONLED00000210,2025-12-11,ASPCON002167,ASPDLR000059,complaint assist,1669,81057.76,pending,site closed
ASPCONLED00000211,2024-08-06,ASPCON001351,ASPDLR000682,site lead,1948,74042.45,manual,bill image unclear
ASPCONLED00000212,11/23/2024,ASPCON004596,ASPDLR000707,complaint assist,2189,71978.25,manual,site closed
ASPCONLED00000213,2025-02-27,ASPCON003882,ASPDLR000822,training,1636,51356.31,pending,bill image unclear
ASPCONLED00000214,2025-09-06,ASPCON002178,ASPDLR000762,points redemption,11,35470.35,manual,bill image unclear
ASPCONLED00000215,2026-02-10,ASPCON002476,ASPDLR000250,bill upload,1667,45247.32,rejected,bill image unclear
ASPCONLED00000216,19-Apr-25,ASPCON001715,ASPDLR000632,training,1383,32513.45,manual,redeemed gift
ASPCONLED00000217,2025-04-15,ASPCON002654,ASPDLR000265,points redemption,1306,33450.22,pending,site closed
ASPCONLED00000218,2025-07-15,ASPCON003950,ASPDLR000275,site lead,-287,87445.40,approved,bill image unclear
ASPCONLED00000219,2024-12-21,ASPCON004902,ASPDLR000007,site lead,444,78584.15,rejected,site closed
ASPCONLED00000220,2025-10-05,ASPCON003385,ASPDLR000469,site lead,199,39271.84,pending,redeemed gift
ASPCONLED00000221,2024-11-19,ASPCON004855,ASPDLR000408,points redemption,732,69781.42,rejected,bill image unclear
ASPCONLED00000222,27/04/2025,ASPCON001847,ASPDLR000099,complaint assist,-424,63948.10,duplicate,
ASPCONLED00000223,2025-01-01,ASPCON003019,ASPDLR000566,training,74,72194.54,duplicate,
ASPCONLED00000224,2024-10-09,ASPCON002705,ASPDLR000400,points redemption,1162,16993.60,approved,site closed
ASPCONLED00000225,2024-04-07,ASPCON002104,ASPDLR000510,bill upload,1906,7189.22,pending,site closed
ASPCONLED00000226,12/08/2024,ASPCON002138,ASPDLR000677,site lead,-176,31352.28,pending,redeemed gift
ASPCONLED00000227,2025-04-18,ASPCON002945,ASPDLR000092,training,779,27730.17,pending,dealer mismatch
ASPCONLED00000228,08/27/2024,ASPCON000693,ASPDLR000765,training,-247,10210.82,manual,
ASPCONLED00000229,2025-06-05,ASPCON003581,ASPDLR000175,training,-333,62707.01,duplicate,site closed
ASPCONLED00000230,2024-09-21,ASPCON002135,ASPDLR000200,points redemption,827,54087.27,rejected,redeemed gift
ASPCONLED00000231,2026-01-19,ASPCON003939,ASPDLR000663,site lead,1071,42609.34,rejected,redeemed gift
ASPCONLED00000232,2025-06-27,ASPCON003551,ASPDLR000184,points redemption,1877,71426.12,manual,
ASPCONLED00000233,2024-10-28,ASPCON001807,ASPDLR000932,training,1603,54452.86,approved,dealer mismatch
ASPCONLED00000234,15/02/2026,ASPCON003186,ASPDLR000293,training,1353,62026.13,manual,site closed
ASPCONLED00000235,2024-07-26,ASPCON004247,ASPDLR000899,training,939,73437.00,approved,redeemed gift
ASPCONLED00000236,2025-04-14,ASPCON001995,ASPDLR000487,complaint assist,2110,33147.73,manual,bill image unclear
ASPCONLED00000237,11/10/2024,ASPCON001694,ASPDLR000117,points redemption,1930,52487.36,pending,bill image unclear
ASPCONLED00000238,2025-10-16,ASPCON002599,ASPDLR000845,points redemption,1877,24736.27,rejected,redeemed gift
ASPCONLED00000239,2025-05-20,ASPCON003106,ASPDLR000606,bill upload,2099,38906.46,pending,dealer mismatch
ASPCONLED00000240,2024-12-12,ASPCON001444,ASPDLR000381,bill upload,469,42035.20,pending,site closed
ASPCONLED00000241,21/03/2026,ASPCON003478,ASPDLR000686,site lead,2038,6762.85,rejected,dealer mismatch
ASPCONLED00000242,30/07/2024,ASPCON004730,ASPDLR000486,bill upload,1403,87870.52,manual,site closed
ASPCONLED00000243,2025-08-05,ASPCON003044,ASPDLR000889,points redemption,2278,75431.47,approved,redeemed gift
ASPCONLED00000244,28/06/2025,ASPCON002595,ASPDLR000218,points redemption,-499,80333.60,pending,bill image unclear
ASPCONLED00000245,2026-01-01,ASPCON004306,ASPDLR000444,points redemption,83,34780.10,manual,redeemed gift
ASPCONLED00000246,2024-07-07,ASPCON000253,ASPDLR000066,site lead,487,3862.24,pending,bill image unclear
ASPCONLED00000247,2024-11-15,ASPCON003762,ASPDLR000112,site lead,1643,76247.89,approved,
ASPCONLED00000248,2026-02-08,ASPCON003083,ASPDLR000999,site lead,1390,9911.48,manual,dealer mismatch
