event_id,event_date,machine_id,dealer_id,colour_code,base_liters,can_count,status,note
ASPTNTEVT00000062,2025-12-15,ASPTINT00524,ASPDLR000364,Y076,53.94,31,cancelled,power cut
ASPTNTEVT00000063,2024-05-12,ASPTINT00268,ASPDLR000337,N093,10.47,3,re-tint,shade mismatch
ASPTNTEVT00000064,2025-06-24,ASPTINT00253,ASPDLR000463,missing,35.03,8,service error,shade mismatch
ASPTNTEVT00000065,2025-04-09,ASPTINT00567,ASPDLR000325,R156,22.66,28,dispensed,machine down
ASPTNTEVT00000066,2025-02-21,ASPTINT00546,ASPDLR000346,N093,19.96,18,dispensed,
ASPTNTEVT00000067,2025-09-19,ASPTINT00054,ASPDLR000857,R156,50.98,26,manual formula,manual entry
ASPTNTEVT00000068,27-Sep-24,ASPTINT00073,ASPDLR000449,W001,0.86,4,dispensed,manual entry
ASPTNTEVT00000069,2024-08-07,ASPTINT00336,ASPDLR000212,L124,20.03,23,dispensed,
ASPTNTEVT00000070,2024-11-09,ASPTINT00003,ASPDLR000144,Y076,3.41,12,cancelled,
ASPTNTEVT00000071,21/02/2025,ASPTINT00204,ASPDLR000474,R156,23.01,14,dispensed,machine down
ASPTNTEVT00000072,2024-11-18,ASPTINT00089,ASPDLR000808,L124,46.68,15,dispensed,shade mismatch
ASPTNTEVT00000073,2024-08-01,ASPTINT00046,ASPDLR000708,W001,40.75,17,cancelled,power cut
ASPTNTEVT00000074,2026-03-25,ASPTINT00224,ASPDLR000386,Y076,23.56,22,cancelled,
ASPTNTEVT00000075,2025-08-02,ASPTINT00519,ASPDLR000178,R156,28.34,23,service error,shade mismatch
ASPTNTEVT00000076,2025-06-21,ASPTINT00557,ASPDLR000298,custom,57.17,2,dispensed,manual entry
ASPTNTEVT00000077,2026-02-07,ASPTINT00127,ASPDLR000555,L124,47.24,8,dispensed,power cut
ASPTNTEVT00000078,2025-07-22,ASPTINT00050,ASPDLR000256,L124,13.44,6,manual formula,manual entry
ASPTNTEVT00000079,2025-04-05,ASPTINT00246,ASPDLR000857,Y076,49.60,32,manual formula,power cut
ASPTNTEVT00000080,2025-02-25,ASPTINT00559,ASPDLR000126,L124,1.79,32,re-tint,shade mismatch
ASPTNTEVT00000081,03/17/2025,ASPTINT00145,ASPDLR000969,custom,37.89,29,re-tint,manual entry
ASPTNTEVT00000082,2025-01-15,ASPTINT00480,ASPDLR000335,W001,34.86,21,cancelled,shade mismatch
ASPTNTEVT00000083,2024-07-26,ASPTINT00588,ASPDLR000732,N093,38.26,21,re-tint,shade mismatch
ASPTNTEVT00000084,2026-03-13,ASPTINT00628,ASPDLR000546,N093,45.20,35,manual formula,power cut
ASPTNTEVT00000085,2025-10-15,ASPTINT00302,ASPDLR000569,missing,37.03,34,cancelled,shade mismatch
ASPTNTEVT00000086,2025-03-06,ASPTINT00179,ASPDLR000132,L124,44.52,31,service error,manual entry
ASPTNTEVT00000087,2024-06-04,ASPTINT00502,ASPDLR000130,R156,13.83,34,dispensed,shade mismatch
ASPTNTEVT00000088,2025-12-21,ASPTINT00643,ASPDLR000132,N093,33.41,28,service error,shade mismatch
ASPTNTEVT00000089,2024-11-04,ASPTINT00565,ASPDLR000535,Y076,3.80,13,cancelled,shade mismatch
ASPTNTEVT00000090,2024-09-27,ASPTINT00211,ASPDLR000572,N093,27.81,10,re-tint,power cut
ASPTNTEVT00000091,2026-02-06,ASPTINT00151,ASPDLR000701,missing,3.64,31,service error,
ASPTNTEVT00000092,2025-08-26,ASPTINT00568,ASPDLR000334,Y076,3.53,26,cancelled,power cut
ASPTNTEVT00000093,2024-11-26,ASPTINT00504,ASPDLR000625,R156,48.74,9,cancelled,
ASPTNTEVT00000094,2025-08-20,ASPTINT00650,ASPDLR000026,Y076,19.53,5,re-tint,manual entry
ASPTNTEVT00000095,2025-10-14,ASPTINT00520,ASPDLR000451,N093,49.08,14,service error,
ASPTNTEVT00000096,2025-12-31,ASPTINT00610,ASPDLR000222,custom,34.94,18,dispensed,shade mismatch
ASPTNTEVT00000097,2024-07-02,ASPTINT00143,ASPDLR000550,N093,46.57,31,service error,power cut
ASPTNTEVT00000098,10/05/2024,ASPTINT00385,ASPDLR000664,L124,51.45,17,manual formula,manual entry
ASPTNTEVT00000099,2025-09-27,ASPTINT00249,ASPDLR000842,custom,4.85,12,re-tint,power cut
ASPTNTEVT00000100,2025-11-07,ASPTINT00124,ASPDLR000101,L124,18.07,28,re-tint,shade mismatch
ASPTNTEVT00000101,2024-06-18,ASPTINT00604,ASPDLR000328,custom,58.62,34,service error,power cut
ASPTNTEVT00000102,2025-01-04,ASPTINT00060,ASPDLR000080,R156,26.43,14,dispensed,power cut
ASPTNTEVT00000103,29-Nov-25,ASPTINT00436,ASPDLR000865,missing,45.84,29,service error,machine down
ASPTNTEVT00000104,06/27/2024,ASPTINT00053,ASPDLR000332,N093,50.00,24,dispensed,power cut
ASPTNTEVT00000105,2026-01-18,ASPTINT00385,ASPDLR000664,N093,9.73,7,dispensed,machine down
ASPTNTEVT00000106,2026-03-02,ASPTINT00061,ASPDLR000947,R156,31.22,12,manual formula,power cut
ASPTNTEVT00000107,2025-05-15,ASPTINT00060,ASPDLR000080,R156,9.05,20,service error,
ASPTNTEVT00000108,2024-08-14,ASPTINT00022,ASPDLR000404,custom,18.03,25,cancelled,power cut
ASPTNTEVT00000109,2024-05-08,ASPTINT00302,ASPDLR000569,N093,41.85,5,dispensed,manual entry
ASPTNTEVT00000110,2024-04-21,ASPTINT00273,ASPDLR000247,N093,5.76,26,manual formula,
ASPTNTEVT00000111,2025-08-14,ASPTINT00159,ASPDLR000773,L124,1.13,16,service error,power cut
ASPTNTEVT00000112,2025-02-28,ASPTINT00239,ASPDLR000687,Y076,14.16,8,dispensed,machine down
ASPTNTEVT00000113,2026-03-22,ASPTINT00520,ASPDLR000451,Y076,0.65,25,service error,
ASPTNTEVT00000114,2026-01-05,ASPTINT00534,ASPDLR000235,L124,50.85,6,cancelled,machine down
ASPTNTEVT00000115,2025-04-02,ASPTINT00394,ASPDLR000510,Y076,23.99,29,service error,shade mismatch
ASPTNTEVT00000116,2024-12-31,ASPTINT00291,ASPDLR000089,missing,1.12,34,service error,power cut
ASPTNTEVT00000117,2026-02-16,ASPTINT00598,ASPDLR000102,W001,5.80,6,dispensed,manual entry
ASPTNTEVT00000118,25/07/2024,ASPTINT00137,ASPDLR000693,W001,14.66,20,dispensed,machine down
ASPTNTEVT00000119,2026-02-07,ASPTINT00366,ASPDLR000562,L124,6.20,27,dispensed,
ASPTNTEVT00000120,2024-05-10,ASPTINT00054,ASPDLR000857,custom,50.14,20,dispensed,power cut
ASPTNTEVT00000121,2025-01-01,ASPTINT00368,ASPDLR000559,N093,40.71,31,re-tint,manual entry
ASPTNTEVT00000122,2024-12-09,ASPTINT00093,ASPDLR000742,Y076,20.84,19,service error,power cut
ASPTNTEVT00000123,2024-08-22,ASPTINT00604,ASPDLR000328,custom,47.55,15,re-tint,
ASPTNTEVT00000124,2025-08-10,ASPTINT00140,ASPDLR000778,custom,8.65,22,dispensed,machine down
ASPTNTEVT00000125,2026-01-07,ASPTINT00074,ASPDLR000434,R156,52.52,26,cancelled,manual entry
ASPTNTEVT00000126,2024-11-16,ASPTINT00374,ASPDLR000202,Y076,38.79,23,manual formula,shade mismatch
ASPTNTEVT00000127,2025-01-10,ASPTINT00015,ASPDLR000424,R156,10.18,4,cancelled,shade mismatch
ASPTNTEVT00000128,2024-08-27,ASPTINT00206,ASPDLR000857,N093,1.49,23,service error,machine down
ASPTNTEVT00000129,2024-10-24,ASPTINT00451,ASPDLR000456,W001,6.94,20,service error,
ASPTNTEVT00000130,2025-09-09,ASPTINT00459,ASPDLR000375,Y076,33.70,8,dispensed,machine down
ASPTNTEVT00000131,2025-04-02,ASPTINT00447,ASPDLR000950,W001,32.09,26,re-tint,
ASPTNTEVT00000132,2025-10-11,ASPTINT00211,ASPDLR000572,W001,20.61,32,service error,shade mismatch
ASPTNTEVT00000133,2026-02-08,ASPTINT00199,ASPDLR000762,Y076,6.08,34,re-tint,manual entry
ASPTNTEVT00000134,2025-09-08,ASPTINT00548,ASPDLR000163,custom,28.03,2,service error,machine down
ASPTNTEVT00000135,2025-11-14,ASPTINT00136,ASPDLR000414,N093,26.26,30,dispensed,shade mismatch
ASPTNTEVT00000136,2025-08-08,ASPTINT00026,ASPDLR000710,R156,8.36,10,re-tint,power cut
ASPTNTEVT00000137,2025-04-15,ASPTINT00577,ASPDLR000101,missing,34.71,17,re-tint,power cut
ASPTNTEVT00000138,2024-12-25,ASPTINT00553,ASPDLR000468,R156,48.59,5,service error,machine down
ASPTNTEVT00000139,05-Mar-26,ASPTINT00008,ASPDLR000749,W001,10.73,6,re-tint,shade mismatch
ASPTNTEVT00000140,06/01/2026,ASPTINT00279,ASPDLR000229,custom,11.13,4,cancelled,machine down
ASPTNTEVT00000141,2025-08-23,ASPTINT00423,ASPDLR000130,missing,3.22,1,cancelled,machine down
ASPTNTEVT00000142,09/12/2024,ASPTINT00129,ASPDLR000556,custom,3.27,17,dispensed,power cut
ASPTNTEVT00000143,2024-04-01,ASPTINT00070,ASPDLR000238,W001,50.59,1,dispensed,shade mismatch
ASPTNTEVT00000144,2025-09-05,ASPTINT00199,ASPDLR000762,W001,37.19,31,manual formula,
ASPTNTEVT00000145,2024-05-21,ASPTINT00017,ASPDLR000790,Y076,27.01,29,dispensed,shade mismatch
ASPTNTEVT00000146,16/12/2024,ASPTINT00222,ASPDLR000217,Y076,10.90,2,cancelled,
ASPTNTEVT00000147,2025-06-08,ASPTINT00584,ASPDLR000888,Y076,55.86,1,dispensed,machine down
ASPTNTEVT00000148,2025-08-23,ASPTINT00153,ASPDLR000243,missing,36.25,32,dispensed,machine down
ASPTNTEVT00000149,10/21/2024,ASPTINT00587,ASPDLR000160,missing,46.63,29,dispensed,machine down
ASPTNTEVT00000150,14-Apr-25,ASPTINT00162,ASPDLR000022,N093,28.66,6,dispensed,
ASPTNTEVT00000151,29/11/2025,ASPTINT00363,ASPDLR000874,Y076,13.71,14,manual formula,shade mismatch
ASPTNTEVT00000152,07/03/2024,ASPTINT00645,ASPDLR000572,L124,38.45,10,cancelled,shade mismatch
ASPTNTEVT00000153,2025-04-27,ASPTINT00053,ASPDLR000332,Y076,3.37,21,cancelled,machine down
ASPTNTEVT00000154,2026-03-15,ASPTINT00558,ASPDLR000904,N093,17.40,14,service error,shade mismatch
ASPTNTEVT00000155,2025-02-17,ASPTINT00417,ASPDLR000439,custom,32.46,9,service error,power cut
ASPTNTEVT00000156,22/09/2024,ASPTINT00279,ASPDLR000229,missing,31.77,12,dispensed,machine down
ASPTNTEVT00000157,11/09/2025,ASPTINT00489,ASPDLR000592,Y076,33.72,17,cancelled,manual entry
ASPTNTEVT00000158,2025-11-19,ASPTINT00431,ASPDLR000339,N093,18.50,35,manual formula,power cut
ASPTNTEVT00000159,2026-01-02,ASPTINT00004,ASPDLR000439,custom,5.14,21,cancelled,power cut
ASPTNTEVT00000160,2024-09-16,ASPTINT00380,ASPDLR000054,N093,40.66,27,dispensed,manual entry
ASPTNTEVT00000161,2025-08-19,ASPTINT00076,ASPDLR000046,missing,10.06,18,dispensed,
ASPTNTEVT00000162,2025-11-24,ASPTINT00307,ASPDLR000196,W001,39.94,9,re-tint,machine down
ASPTNTEVT00000163,2025-08-18,ASPTINT00489,ASPDLR000592,custom,6.04,17,service error,shade mismatch
ASPTNTEVT00000164,2024-06-06,ASPTINT00041,ASPDLR000647,N093,56.79,24,manual formula,power cut
ASPTNTEVT00000165,2025-08-28,ASPTINT00080,ASPDLR000318,Y076,1.80,20,re-tint,power cut
ASPTNTEVT00000166,10/15/2024,ASPTINT00044,ASPDLR000262,N093,31.31,34,re-tint,shade mismatch
ASPTNTEVT00000167,07/04/2024,ASPTINT00348,ASPDLR000883,custom,52.36,18,re-tint,shade mismatch
ASPTNTEVT00000168,2025-04-22,ASPTINT00009,ASPDLR000348,W001,22.86,22,re-tint,shade mismatch
ASPTNTEVT00000169,2024-06-06,ASPTINT00577,ASPDLR000101,missing,1.44,12,manual formula,power cut
ASPTNTEVT00000170,2024-09-07,ASPTINT00177,ASPDLR000684,W001,26.06,30,service error,manual entry
ASPTNTEVT00000171,2024-12-08,ASPTINT00176,ASPDLR000848,R156,37.77,5,re-tint,power cut
ASPTNTEVT00000172,2025-03-05,ASPTINT00134,ASPDLR000619,missing,3.89,34,service error,manual entry
ASPTNTEVT00000173,2025-01-31,ASPTINT00300,ASPDLR000381,R156,11.45,11,re-tint,shade mismatch
ASPTNTEVT00000174,2024-10-23,ASPTINT00144,ASPDLR000077,Y076,7.39,17,re-tint,
ASPTNTEVT00000175,2026-03-10,ASPTINT00563,ASPDLR000039,R156,31.38,2,service error,
ASPTNTEVT00000176,26/04/2025,ASPTINT00613,ASPDLR000496,N093,37.89,21,dispensed,shade mismatch
ASPTNTEVT00000177,2024-07-23,ASPTINT00386,ASPDLR000178,W001,24.91,7,service error,machine down
ASPTNTEVT00000178,2024-05-18,ASPTINT00277,ASPDLR000112,custom,39.18,17,manual formula,manual entry
ASPTNTEVT00000179,07-Nov-25,ASPTINT00367,ASPDLR000095,custom,11.48,15,manual formula,
ASPTNTEVT00000180,2025-11-03,ASPTINT00139,ASPDLR000025,R156,9.04,14,re-tint,
ASPTNTEVT00000181,2025-07-09,ASPTINT00346,ASPDLR000624,N093,59.89,18,re-tint,manual entry
ASPTNTEVT00000182,2026-03-20,ASPTINT00141,ASPDLR000745,R156,25.92,25,re-tint,shade mismatch
ASPTNTEVT00000183,30-Aug-24,ASPTINT00299,ASPDLR000569,N093,9.47,28,cancelled,power cut
ASPTNTEVT00000184,2025-05-28,ASPTINT00483,ASPDLR000799,Y076,13.77,7,re-tint,power cut
ASPTNTEVT00000185,08/06/2024,ASPTINT00601,ASPDLR000611,R156,9.76,16,manual formula,
ASPTNTEVT00000186,2025-04-28,ASPTINT00365,ASPDLR000253,Y076,28.82,7,service error,shade mismatch
ASPTNTEVT00000187,22/10/2025,ASPTINT00006,ASPDLR000868,Y076,8.07,32,re-tint,shade mismatch
ASPTNTEVT00000188,2024-05-04,ASPTINT00597,ASPDLR000352,N093,59.96,33,manual formula,
ASPTNTEVT00000189,2024-06-05,ASPTINT00230,ASPDLR000617,missing,20.30,8,cancelled,machine down
ASPTNTEVT00000190,2024-04-27,ASPTINT00426,ASPDLR000423,Y076,59.47,10,service error,power cut
ASPTNTEVT00000191,2025-06-27,ASPTINT00099,ASPDLR000816,custom,38.33,6,cancelled,manual entry
ASPTNTEVT00000192,2025-12-28,ASPTINT00452,ASPDLR000309,R156,28.74,32,service error,manual entry
ASPTNTEVT00000193,2026-02-20,ASPTINT00373,ASPDLR000600,W001,57.63,12,dispensed,manual entry
ASPTNTEVT00000194,2024-11-04,ASPTINT00027,ASPDLR000450,W001,20.48,8,dispensed,
ASPTNTEVT00000195,2024-07-21,ASPTINT00601,ASPDLR000611,L124,42.79,13,cancelled,manual entry
ASPTNTEVT00000196,2025-10-04,ASPTINT00578,ASPDLR000488,R156,26.65,12,dispensed,machine down
ASPTNTEVT00000197,2025-12-24,ASPTINT00180,ASPDLR000089,L124,57.03,14,re-tint,shade mismatch
ASPTNTEVT00000198,2025-11-07,ASPTINT00461,ASPDLR000235,N093,2.37,18,service error,power cut
ASPTNTEVT00000199,2024-11-04,ASPTINT00508,ASPDLR000973,R156,41.89,5,dispensed,power cut
ASPTNTEVT00000200,2026-01-30,ASPTINT00048,ASPDLR000319,missing,46.44,35,service error,
ASPTNTEVT00000201,2026-03-28,ASPTINT00572,ASPDLR000315,missing,29.17,16,service error,manual entry
ASPTNTEVT00000202,2024-05-07,ASPTINT00402,ASPDLR000583,R156,9.52,29,dispensed,manual entry
ASPTNTEVT00000203,2025-02-20,ASPTINT00484,ASPDLR000107,W001,12.58,4,cancelled,manual entry
ASPTNTEVT00000204,11/01/2025,ASPTINT00550,ASPDLR000629,N093,44.08,8,service error,shade mismatch
ASPTNTEVT00000205,2024-05-08,ASPTINT00254,ASPDLR000790,L124,3.05,22,dispensed,
ASPTNTEVT00000206,25/03/2026,ASPTINT00199,ASPDLR000762,N093,20.16,4,dispensed,machine down
ASPTNTEVT00000207,2025-05-07,ASPTINT00389,ASPDLR000187,R156,9.47,11,dispensed,manual entry
ASPTNTEVT00000208,2026-02-18,ASPTINT00093,ASPDLR000742,Y076,17.30,31,re-tint,shade mismatch
ASPTNTEVT00000209,2024-04-07,ASPTINT00519,ASPDLR000178,missing,24.20,12,service error,machine down
ASPTNTEVT00000210,2024-06-24,ASPTINT00210,ASPDLR000388,missing,38.55,34,cancelled,power cut
ASPTNTEVT00000211,2025-02-07,ASPTINT00278,ASPDLR000440,W001,23.48,22,service error,
ASPTNTEVT00000212,2025-08-12,ASPTINT00616,ASPDLR000364,N093,15.85,20,service error,manual entry
ASPTNTEVT00000213,2026-02-05,ASPTINT00215,ASPDLR000818,W001,44.03,23,re-tint,
ASPTNTEVT00000214,2024-09-05,ASPTINT00210,ASPDLR000388,missing,31.76,31,service error,power cut
ASPTNTEVT00000215,2025-02-26,ASPTINT00138,ASPDLR000780,R156,43.62,2,service error,power cut
ASPTNTEVT00000216,2024-10-02,ASPTINT00131,ASPDLR000800,Y076,43.54,24,cancelled,shade mismatch
ASPTNTEVT00000217,2025-10-31,ASPTINT00216,ASPDLR000118,missing,12.89,5,manual formula,power cut
ASPTNTEVT00000218,05/09/2025,ASPTINT00545,ASPDLR000815,Y076,47.99,14,service error,machine down
ASPTNTEVT00000219,22/04/2024,ASPTINT00570,ASPDLR000421,W001,37.84,28,service error,
ASPTNTEVT00000220,03/28/2026,ASPTINT00147,ASPDLR000968,N093,44.30,25,cancelled,
ASPTNTEVT00000221,2026-01-21,ASPTINT00187,ASPDLR000024,L124,20.58,24,dispensed,manual entry
ASPTNTEVT00000222,2024-07-12,ASPTINT00422,ASPDLR000045,W001,28.46,16,cancelled,
ASPTNTEVT00000223,2024-06-25,ASPTINT00446,ASPDLR000282,R156,25.78,14,service error,machine down
ASPTNTEVT00000224,2024-06-13,ASPTINT00413,ASPDLR000714,R156,11.35,27,cancelled,machine down
ASPTNTEVT00000225,09/04/2024,ASPTINT00068,ASPDLR000792,W001,37.20,30,dispensed,manual entry
ASPTNTEVT00000226,2025-01-16,ASPTINT00499,ASPDLR000681,R156,27.84,21,manual formula,shade mismatch
ASPTNTEVT00000227,2025-02-10,ASPTINT00173,ASPDLR000389,L124,36.54,11,service error,
ASPTNTEVT00000228,2025-09-17,ASPTINT00143,ASPDLR000550,Y076,9.26,30,cancelled,machine down
ASPTNTEVT00000229,03/06/2026,ASPTINT00444,ASPDLR000485,W001,50.66,16,re-tint,machine down
ASPTNTEVT00000230,12/19/2024,ASPTINT00103,ASPDLR000964,R156,28.74,32,dispensed,power cut
ASPTNTEVT00000231,2025-03-05,ASPTINT00097,ASPDLR000767,L124,6.46,18,service error,machine down
ASPTNTEVT00000232,2026-03-16,ASPTINT00579,ASPDLR000907,W001,10.23,30,re-tint,shade mismatch
ASPTNTEVT00000233,18/07/2024,ASPTINT00275,ASPDLR000067,Y076,14.29,2,re-tint,machine down
ASPTNTEVT00000234,2024-11-25,ASPTINT00507,ASPDLR000523,Y076,44.36,11,service error,machine down
ASPTNTEVT00000235,05/26/2024,ASPTINT00434,ASPDLR000613,missing,58.27,24,cancelled,machine down
ASPTNTEVT00000236,19-Jul-24,ASPTINT00481,ASPDLR000104,Y076,38.20,12,cancelled,machine down
ASPTNTEVT00000237,07/02/2025,ASPTINT00310,ASPDLR000784,N093,32.65,4,service error,
ASPTNTEVT00000238,2025-05-01,ASPTINT00277,ASPDLR000112,N093,37.31,17,dispensed,manual entry
ASPTNTEVT00000239,03-May-24,ASPTINT00227,ASPDLR000493,R156,27.84,13,re-tint,power cut
ASPTNTEVT00000240,16/02/2025,ASPTINT00479,ASPDLR000275,N093,18.31,3,cancelled,
ASPTNTEVT00000241,2024-12-23,ASPTINT00518,ASPDLR000868,L124,15.09,5,cancelled,machine down
ASPTNTEVT00000242,2025-01-02,ASPTINT00143,ASPDLR000550,L124,54.05,14,dispensed,power cut
ASPTNTEVT00000243,2025-11-22,ASPTINT00442,ASPDLR000982,R156,54.20,8,manual formula,power cut
ASPTNTEVT00000244,08/10/2025,ASPTINT00038,ASPDLR000941,Y076,31.85,20,cancelled,shade mismatch
ASPTNTEVT00000245,2025-10-11,ASPTINT00174,ASPDLR000034,custom,2.53,28,service error,manual entry
ASPTNTEVT00000246,2024-07-23,ASPTINT00043,ASPDLR000818,custom,34.16,16,re-tint,shade mismatch
ASPTNTEVT00000247,2024-09-07,ASPTINT00144,ASPDLR000077,missing,43.62,9,dispensed,
ASPTNTEVT00000248,2025-03-20,ASPTINT00048,ASPDLR000319,Y076,32.99,32,re-tint,machine down
