machine_id,dealer_id,dealer_name,install_date,machine_model,service_status,last_service_date
ASPTINT00022,ASPDLR000404,Mahalakshmi Deepak Hardware,08/10/2021,BH-Studio,Down,2025-03-07
ASPTINT00023,ASPDLR000357,Metro Lokesh Paints,01-Aug-17,CW-Classic,Calibration due,2025-05-15
ASPTINT00024,ASPDLR000136,Modern Sanjay Agro,05/07/2025,CW-Express,Calibration due,2024-06-01
ASPTINT00025,ASPDLR000464,National Lokesh Paints,2018-10-15,BH-Studio,Shifted,29/01/2026
ASPTINT00026,ASPDLR000710,City Karthik Services,2019-09-24,CW-Express,Shifted,2025-10-16
ASPTINT00027,ASPDLR000450,Sree Hari Paints,2021-12-08,CW-Express,Calibration due,16/12/2024
ASPTINT00028,ASPDLR000482,Sree Karthik Paints,30/12/2015,CW-Classic,Down,25/10/2025
ASPTINT00029,ASPDLR000172,New Venkatesh Corporation,2023-09-11,BH-Studio,Old,2024-04-11
ASPTINT00030,ASPDLR000163,KAVERI JAGAN TRADERS,2019-11-24,CW-Pro,Calibration due,2025-01-05
ASPTINT00031,ASPDLR000742,Vijaya Kavya Sales,2017-08-19,CW-Pro,Calibration due,2024-08-20
ASPTINT00032,ASPDLR000812,Lucky Naveen Paints,2016-09-02,CW-Pro,OK,09/29/2025
ASPTINT00033,ASPDLR000501,Star Farida Paints,2024-11-26,CW-Classic,OK,2025-04-02
ASPTINT00034,ASPDLR000525,United Bala Paints,2023-03-25,BH-Studio,Down,2026-01-13
ASPTINT00035,ASPDLR000937,Modern Farida Distributors,2018-01-19,CW-Classic,OK,2026-02-28
ASPTINT00036,ASPDLR000807,Vijaya Geetha Corporation,2017-03-14,CW-Express,Old,2026-01-06
ASPTINT00037,ASPDLR000300,Sree Farida Paints,2020-06-18,CW-Classic,Shifted,2024-12-06
ASPTINT00038,ASPDLR000941,National Venkatesh Chemicals,2020-12-07,CW-Classic,Shifted,2024-08-11
ASPTINT00039,ASPDLR000367,Sri Suresh Paints,2021-10-20,CW-Express,Calibration due,03/02/2025
ASPTINT00040,ASPDLR000854,Royal Senthil Paints,2023-04-10,CW-Classic,Shifted,2025-06-01
ASPTINT00041,ASPDLR000647,Star Chandra Associates,2020-07-15,CW-Classic,OK,05/21/2024
ASPTINT00042,ASPDLR000583,Star Revathi Paints,2023-08-15,CW-Pro,Shifted,2025-12-13
ASPTINT00043,ASPDLR000818,Shree Meena Paints,2020-03-08,CW-Classic,Down,10/13/2024
ASPTINT00044,ASPDLR000262,Lucky Jagan Paints,06/16/2018,CW-Classic,OK,2025-08-08
ASPTINT00045,ASPDLR000459,VIJAYA MEENA AGENCIES,2022-03-05,CW-Express,Calibration due,2024-08-18
ASPTINT00046,ASPDLR000708,Kaveri Lokesh Stores,2020-05-04,BH-Studio,Old,2025-11-10
ASPTINT00047,ASPDLR000551,Vijaya Sanjay Distributors,2024-02-24,CW-Classic,OK,19/11/2025
ASPTINT00048,ASPDLR000319,Modern Meena Paints,2020-03-14,CW-Pro,Down,2025-01-19
ASPTINT00049,ASPDLR000432,Murugan Ganesh Depot,2020-07-13,CW-Pro,OK,2024-04-15
ASPTINT00050,ASPDLR000256,MAHALAKSHMI MANOJ ASSOCIATES,2024-01-10,CW-Classic,OK,2025-04-01
ASPTINT00051,ASPDLR000420,MAHALAKSHMI DEEPAK HARDWARE,2019-10-21,BH-Studio,Shifted,09/29/2025
ASPTINT00052,ASPDLR000142,Sri Lokesh Paints,2018-05-19,BH-Studio,Old,2025-12-17
ASPTINT00053,ASPDLR000332,Kaveri Prakash Paints,10-Dec-23,BH-Studio,OK,2025-03-07
ASPTINT00054,ASPDLR000857,Metro Prakash Services,2023-12-01,BH-Studio,Calibration due,16/06/2024
ASPTINT00055,ASPDLR000775,Murugan Meena Hardware,2024-06-11,CW-Pro,Down,2025-04-03
ASPTINT00056,ASPDLR000969,Mahalakshmi Sanjay Paints,2017-09-08,CW-Express,OK,2024-08-11
ASPTINT00057,ASPDLR000957,SRI Venkatesh Corporation,2022-08-19,CW-Express,Shifted,07-Oct-25
ASPTINT00058,ASPDLR000083,Mahalakshmi Sowmya Agro,2017-08-23,CW-Classic,Calibration due,2026-03-07
ASPTINT00059,ASPDLR000558,SRI Lakshmi Paints,16/04/2020,CW-Pro,Down,2025-03-26
ASPTINT00060,ASPDLR000080,Prime Prakash Paints,2019-02-09,CW-Pro,Down,2025-03-06
ASPTINT00061,ASPDLR000947,Sri Sanjay Paints,2020-09-05,CW-Express,Old,2025-04-05
ASPTINT00062,ASPDLR000112,New Ganesh Traders,18-Jun-21,CW-Classic,OK,2026-02-01
ASPTINT00063,ASPDLR000692,United Kavya Enterprises,2023-02-18,CW-Classic,Shifted,2026-01-26
ASPTINT00064,ASPDLR000660,Sree Ganesh Enterprises,2025-09-01,CW-Express,Shifted,2026-03-04
ASPTINT00065,ASPDLR000572,Lucky Hari Paints,2024-06-21,CW-Express,Old,27-May-25
ASPTINT00066,ASPDLR000932,Mahalakshmi Revathi Fertilisers,2021-03-30,CW-Classic,Calibration due,2025-12-18
ASPTINT00067,ASPDLR000645,Sree Sowmya Services,2018-06-26,CW-Express,Calibration due,2024-08-13
ASPTINT00068,ASPDLR000792,Vijaya Anand Paints Ltd,2019-10-22,CW-Express,Old,2025-02-21
ASPTINT00069,ASPDLR000128,Murugan Sowmya Agencies,2017-06-09,CW-Express,Shifted,2025-01-03
ASPTINT00070,ASPDLR000238,Sree Geetha Paints,2015-04-19,CW-Express,OK,2025-09-01
ASPTINT00071,ASPDLR000846,Star Revathi Chemicals,2019-09-13,CW-Pro,Down,24/12/2025
ASPTINT00072,ASPDLR000971,Murugan Revathi Paints,2017-03-06,CW-Pro,OK,2024-09-30
ASPTINT00073,ASPDLR000449,Sree Meena Paints,2017-06-28,CW-Pro,OK,2024-11-06
ASPTINT00074,ASPDLR000434,Murugan Revathi Chemicals,23/11/2021,BH-Studio,Old,2024-11-30
ASPTINT00075,ASPDLR000404,Mahalakshmi Deepak Hardware,2022-03-25,CW-Classic,Shifted,2026-03-18
ASPTINT00076,ASPDLR000046,Mahalakshmi Venkatesh Mart,2019-12-31,BH-Studio,OK,2025-06-16
ASPTINT00077,ASPDLR000923,PRIME SURESH SALES,2022-07-01,BH-Studio,Shifted,2025-06-03
ASPTINT00078,ASPDLR000014,Sri Sanjay Stores,23/08/2019,BH-Studio,Old,2026-03-17
ASPTINT00079,ASPDLR000714,Metro Manoj Tyres,2025-11-22,CW-Pro,OK,2024-06-21
ASPTINT00080,ASPDLR000318,Metro Yusuf Traders,2020-04-27,BH-Studio,Old,2025-08-06
ASPTINT00081,ASPDLR000317,Balaji Sowmya Chemicals,2015-02-11,CW-Pro,Down,2024-05-18
ASPTINT00082,ASPDLR000624,Sree Geetha Fertilisers,2021-04-13,CW-Classic,Down,2025-11-19
ASPTINT00083,ASPDLR000697,Shree Karthik Paints,09/06/2021,CW-Classic,OK,2025-04-30
ASPTINT00084,ASPDLR000540,Mahalakshmi Kavya Paints,27/06/2024,CW-Pro,OK,2025-07-03
ASPTINT00085,ASPDLR000797,Ganesh Farida Enterprises,2022-12-16,BH-Studio,Shifted,2024-11-14
ASPTINT00086,ASPDLR000626,Sri Hari Services,2025-08-06,BH-Studio,Calibration due,2024-06-30
ASPTINT00087,ASPDLR000143,Star Suresh Stores,2015-05-06,CW-Express,Calibration due,2025-08-02
ASPTINT00088,ASPDLR000403,Lucky Bala Hardware,2016-10-13,CW-Express,Down,2025-03-15
ASPTINT00089,ASPDLR000808,National Bala Paints,2017-11-04,CW-Pro,Old,2025-05-30
ASPTINT00090,ASPDLR000142,Sri Lokesh Paints,2018-03-28,CW-Express,Calibration due,2024-04-01
ASPTINT00091,ASPDLR000724,Vijaya Rafiq Fertilisers,2025-03-22,CW-Pro,Down,2025-06-15
ASPTINT00092,ASPDLR000789,Star Manoj Paints,2015-04-15,BH-Studio,Calibration due,2025-07-05
ASPTINT00093,ASPDLR000742,Vijaya Kavya Sales,2021-06-23,BH-Studio,Calibration due,2024-07-25
ASPTINT00094,ASPDLR000804,MODERN ARUN FERTILISERS,2016-08-13,CW-Express,Calibration due,2026-03-11
ASPTINT00095,ASPDLR000438,Lucky Ganesh Paints,30/01/2024,CW-Classic,OK,2024-10-08
ASPTINT00096,ASPDLR000230,Sri Lakshmi Traders,2023-11-10,CW-Pro,OK,2025-05-29
ASPTINT00097,ASPDLR000767,Modern Arun Tyres,2024-09-01,CW-Classic,Down,04/14/2025
ASPTINT00098,ASPDLR000813,SRI Ganesh Paints,2023-08-31,CW-Classic,Shifted,11/06/2025
ASPTINT00099,ASPDLR000816,Mahalakshmi Chandra Tyres,2018-09-15,BH-Studio,OK,2026-03-09
ASPTINT00100,ASPDLR000660,Sree Ganesh Enterprises,2021-01-21,BH-Studio,Calibration due,2025-08-11
ASPTINT00101,ASPDLR000901,Metro Senthil Sales,2018-04-06,CW-Express,Calibration due,2025-03-11
ASPTINT00102,ASPDLR000715,Metro Hari Agro Main,26/12/2020,CW-Express,Old,2025-07-04
ASPTINT00103,ASPDLR000964,Royal Deepak Enterprises,2018-08-16,BH-Studio,Down,2025-11-26
ASPTINT00104,ASPDLR000659,Star Geetha Distributors,2020-10-12,BH-Studio,Down,2024-06-09
ASPTINT00105,ASPDLR000233,Star Farida Depot,2021-03-11,CW-Pro,Old,2024-04-01
ASPTINT00106,ASPDLR000990,United Irfan Paints,2019-01-25,CW-Express,Down,2025-04-20
ASPTINT00107,ASPDLR000374,New Jagan Paints,2025-04-27,CW-Express,Old,05-Feb-26
ASPTINT00108,ASPDLR000451,Star Anand Associates,2024-11-08,CW-Pro,Calibration due,2025-08-12
ASPTINT00109,ASPDLR000051,Mahalakshmi Karthik Stores,30-Sep-20,BH-Studio,Shifted,2025-04-27
ASPTINT00110,ASPDLR000282,Ganesh Anand Paints,2021-06-28,BH-Studio,Calibration due,2025-11-17
ASPTINT00111,ASPDLR000923,PRIME SURESH SALES,2022-12-13,CW-Classic,Calibration due,28/02/2026
ASPTINT00112,ASPDLR000468,Star Farida Agencies,27/06/2018,CW-Pro,Calibration due,2024-06-17
ASPTINT00113,ASPDLR000295,Shree Priya Mart,2015-10-08,CW-Pro,Old,2026-03-12
ASPTINT00114,ASPDLR000601,Royal Deepak Paints,19-Jun-22,CW-Classic,Down,2026-01-23
ASPTINT00115,ASPDLR000569,Sri Venkatesh Tyres,2019-03-30,CW-Pro,Old,2024-11-03
ASPTINT00116,ASPDLR000239,Modern Sowmya Mart Pvt,2019-05-13,BH-Studio,Calibration due,2025-02-10
ASPTINT00117,ASPDLR000861,Kaveri Suresh Paints,13/05/2015,BH-Studio,Shifted,2024-08-23
ASPTINT00118,ASPDLR000095,Lucky Lokesh Sales,2023-01-11,CW-Express,Calibration due,2024-04-08
ASPTINT00119,ASPDLR000185,Modern Lokesh Depot,2015-10-30,CW-Classic,Shifted,2026-03-10
ASPTINT00120,ASPDLR000787,National Arun Agro,2025-09-02,BH-Studio,Calibration due,05/04/2024
ASPTINT00121,ASPDLR000296,Balaji Kavya Paints,16/09/2021,BH-Studio,Shifted,2025-12-23
ASPTINT00122,ASPDLR000960,Modern Meena Traders & Co,24-Apr-20,CW-Classic,Old,2026-03-01
ASPTINT00123,ASPDLR000448,United Chandra Paints,2019-08-09,CW-Pro,Old,2024-04-29
ASPTINT00124,ASPDLR000101,Sri Farida Paints,2015-09-18,CW-Pro,Down,2024-09-05
ASPTINT00125,ASPDLR000077,Vijaya Manoj Enterprises,08/31/2024,CW-Pro,Shifted,2024-07-11
ASPTINT00126,ASPDLR000986,Prime Hari Paints,2020-01-24,BH-Studio,Shifted,2025-10-18
ASPTINT00127,ASPDLR000555,METRO YUSUF PAINTS,2016-08-12,CW-Classic,Down,20/07/2024
ASPTINT00128,ASPDLR000149,United Kavya Enterprises,2023-07-20,CW-Classic,Old,2024-09-25
ASPTINT00129,ASPDLR000556,Star Arun Distributors,27/05/2018,CW-Pro,Shifted,2025-10-08
ASPTINT00130,ASPDLR000140,Lucky Geetha Paints,21/03/2020,CW-Classic,Shifted,08/12/2025
ASPTINT00131,ASPDLR000800,Lucky Lokesh Paints,2015-09-23,CW-Classic,OK,2025-10-27
ASPTINT00132,ASPDLR000350,Royal Manoj Enterprises,2025-07-01,BH-Studio,OK,2024-05-23
ASPTINT00133,ASPDLR000475,National Kavya Services Ltd,2018-12-15,CW-Express,Shifted,2024-05-01
ASPTINT00134,ASPDLR000619,Prime Ganesh Paints,2016-02-13,CW-Classic,Old,2025-04-23
ASPTINT00135,ASPDLR000352,ROYAL NAVEEN PAINTS,2024-07-04,BH-Studio,Down,2025-02-09
ASPTINT00136,ASPDLR000414,Star Lakshmi Chemicals,2019-04-05,CW-Pro,Old,2025-12-26
ASPTINT00137,ASPDLR000693,Shree Yusuf Agro,2016-09-16,BH-Studio,Down,2025-12-04
ASPTINT00138,ASPDLR000780,National Jagan Paints,2016-01-14,CW-Express,Old,13/10/2024
ASPTINT00139,ASPDLR000025,Ganesh Manoj Fertilisers,2025-10-24,CW-Express,Calibration due,2025-06-23
ASPTINT00140,ASPDLR000778,BALAJI DEEPAK MART,2024-08-01,BH-Studio,Shifted,2025-07-12
ASPTINT00141,ASPDLR000745,Modern Geetha Enterprises,2017-07-16,CW-Express,Calibration due,2026-02-15
ASPTINT00142,ASPDLR000377,Metro Kavya Agencies,2022-02-15,CW-Express,Down,2024-10-25
ASPTINT00143,ASPDLR000550,Ganesh Revathi Traders,2020-02-09,CW-Pro,Old,23/05/2025
ASPTINT00144,ASPDLR000077,Vijaya Manoj Enterprises,2024-09-16,CW-Pro,Down,2024-06-09
ASPTINT00145,ASPDLR000969,Mahalakshmi Sanjay Paints,2023-04-20,CW-Express,Calibration due,2025-03-16
ASPTINT00146,ASPDLR000267,Metro Venkatesh Paints,2020-11-23,CW-Classic,OK,2025-01-20
ASPTINT00147,ASPDLR000968,City Deepak Mart,2016-07-15,CW-Express,Shifted,2024-11-08
ASPTINT00148,ASPDLR000369,National Irfan Tyres,2025-03-27,CW-Pro,Calibration due,2025-01-01
ASPTINT00149,ASPDLR000441,Metro Anand Corporation,04/26/2016,CW-Express,Calibration due,2024-10-31
ASPTINT00150,ASPDLR000248,Prime Senthil Services,2017-04-28,CW-Pro,Down,06/19/2024
ASPTINT00151,ASPDLR000701,Star Bala Enterprises,26-Apr-17,CW-Classic,OK,2024-08-13
ASPTINT00152,ASPDLR000392,New Farida Paints Pvt,2015-07-20,CW-Pro,OK,2024-06-25
ASPTINT00153,ASPDLR000243,Star Karthik Chemicals,2024-08-31,CW-Pro,Down,2025-03-18
ASPTINT00154,ASPDLR000594,New Kavya Stores,2017-06-18,CW-Classic,Shifted,2024-06-25
ASPTINT00155,ASPDLR000994,Modern Venkatesh Paints,2015-10-23,BH-Studio,Old,2025-08-17
ASPTINT00156,ASPDLR000741,Shree Farida Services,2016-12-23,CW-Classic,Old,2026-02-07
ASPTINT00157,ASPDLR000260,Modern Geetha Paints,2019-07-07,CW-Classic,Down,2024-10-19
ASPTINT00158,ASPDLR000236,City Manoj Depot,2019-06-16,CW-Pro,OK,2024-05-30
ASPTINT00159,ASPDLR000773,Shree Farida Paints,2023-12-03,BH-Studio,OK,24-Aug-24
ASPTINT00160,ASPDLR000249,Modern Sanjay Associates,2021-05-14,CW-Pro,Shifted,2024-08-05
ASPTINT00161,ASPDLR000241,Ganesh Naveen Paints,2020-01-03,BH-Studio,Calibration due,2025-10-04
ASPTINT00162,ASPDLR000022,Vijaya Lakshmi Paints,2024-12-03,CW-Pro,Old,04/28/2025
ASPTINT00163,ASPDLR000078,Metro Chandra Paints Pvt,2018-12-11,CW-Express,Old,03/02/2025
ASPTINT00164,ASPDLR000478,Mahalakshmi Sanjay Paints,2021-01-28,CW-Express,Shifted,2025-04-28
ASPTINT00165,ASPDLR000286,United Chandra Associates,23-Mar-19,CW-Express,Old,2025-02-13
ASPTINT00166,ASPDLR000366,New Manoj Paints,2019-10-10,BH-Studio,Old,2024-08-21
ASPTINT00167,ASPDLR000792,Vijaya Anand Paints Ltd,2022-09-06,CW-Pro,Down,2025-11-27
ASPTINT00168,ASPDLR000285,Ganesh Naveen Paints,2015-10-28,BH-Studio,Down,2025-03-19
ASPTINT00169,ASPDLR000761,Kaveri Revathi Corporation,03/29/2016,CW-Pro,Calibration due,2025-04-11
ASPTINT00170,ASPDLR000498,Ganesh Naveen Services,2015-02-05,CW-Express,OK,2025-03-12
ASPTINT00171,ASPDLR000585,National Irfan Paints,2019-11-01,CW-Express,Calibration due,2024-07-04
ASPTINT00172,ASPDLR000034,Kaveri Manoj Paints,04/03/2024,CW-Pro,Old,2024-09-10
ASPTINT00173,ASPDLR000389,United Arun Sales,03/04/2024,CW-Pro,Shifted,2024-09-21
ASPTINT00174,ASPDLR000034,Kaveri Manoj Paints,24/09/2022,CW-Classic,OK,2025-10-13
ASPTINT00175,ASPDLR000102,United Kavya Paints,2024-11-30,CW-Classic,Old,2025-04-20
ASPTINT00176,ASPDLR000848,Star Kavya Paints,2017-04-23,CW-Pro,OK,2025-04-11
ASPTINT00177,ASPDLR000684,Murugan Meena Services,2018-01-18,BH-Studio,Old,2025-04-13
ASPTINT00178,ASPDLR000997,Metro Bala Depot,2023-03-06,CW-Pro,Down,2024-06-03
ASPTINT00179,ASPDLR000132,New Karthik Corporation,2025-07-06,CW-Classic,Shifted,24/07/2024
ASPTINT00180,ASPDLR000089,New Bala Paints,2023-11-09,BH-Studio,Old,2025-05-05
ASPTINT00181,ASPDLR000355,Metro Naveen Paints,10/03/2017,BH-Studio,Shifted,2024-07-19
ASPTINT00182,ASPDLR000415,Sree Bala Hardware,2019-04-20,CW-Classic,Old,2025-01-08
ASPTINT00183,ASPDLR000408,Star Lokesh Paints,2021-01-20,BH-Studio,Calibration due,2026-02-13
ASPTINT00184,ASPDLR000680,National Venkatesh Depot,2016-01-21,BH-Studio,Down,2024-04-26
ASPTINT00185,ASPDLR000032,National Revathi Paints,08/21/2025,BH-Studio,OK,2025-01-09
ASPTINT00186,ASPDLR000113,National Lokesh Mart,2019-12-16,CW-Express,Old,2024-04-16
ASPTINT00187,ASPDLR000024,Metro Sanjay Tyres,2023-12-05,CW-Classic,Old,2025-11-17
ASPTINT00188,ASPDLR000297,Balaji Naveen Enterprises,2018-03-21,BH-Studio,Down,2025-02-20
ASPTINT00189,ASPDLR000664,Sree Jagan Paints,2018-04-19,BH-Studio,Old,2025-02-21
ASPTINT00190,ASPDLR000996,Kaveri Lakshmi Paints Ltd,2023-04-01,BH-Studio,Down,2026-01-22
ASPTINT00191,ASPDLR000920,Lucky Arun Traders,2016-04-21,CW-Classic,Shifted,2025-09-08
ASPTINT00192,ASPDLR000802,New Naveen Paints,2019-08-26,BH-Studio,Shifted,2025-05-28
ASPTINT00193,ASPDLR000709,Balaji Irfan Paints,2024-02-24,CW-Express,Shifted,10/30/2024
ASPTINT00194,ASPDLR000499,Kaveri Irfan Paints,2016-09-18,CW-Pro,Down,2026-03-01
ASPTINT00195,ASPDLR000312,Modern Deepak Stores,2015-07-06,CW-Classic,Down,2025-12-27
ASPTINT00196,ASPDLR000845,Sri Manoj Paints,2017-07-19,CW-Express,Shifted,2025-08-09
ASPTINT00197,ASPDLR000452,Vijaya Farida Associates,2019-05-16,CW-Express,Shifted,06/03/2024
ASPTINT00198,ASPDLR000301,United Farida Tyres,2015-01-08,CW-Classic,Old,2026-01-18
ASPTINT00199,ASPDLR000762,Kaveri Naveen Stores Main,2017-12-13,CW-Express,Shifted,2025-12-05
ASPTINT00200,ASPDLR000662,Shree Bala Paints,2015-03-24,CW-Express,Calibration due,2025-09-07
ASPTINT00201,ASPDLR000587,Sree Geetha Mart,2021-04-18,CW-Classic,Down,2025-07-21
ASPTINT00202,ASPDLR000278,National Deepak Tyres,2020-04-29,CW-Pro,Calibration due,2025-10-09
ASPTINT00203,ASPDLR000994,Modern Venkatesh Paints,2023-10-25,CW-Pro,Old,2025-06-29
ASPTINT00204,ASPDLR000474,Modern Suresh Agencies,2023-09-14,CW-Pro,OK,2025-07-02
ASPTINT00205,ASPDLR000482,Sree Karthik Paints,2025-02-25,CW-Pro,Shifted,2024-04-12
ASPTINT00206,ASPDLR000857,Metro Prakash Services,2024-03-24,BH-Studio,Down,2025-06-03
ASPTINT00207,ASPDLR000524,NEW LOKESH AGRO,2017-09-25,CW-Pro,Calibration due,2025-01-07
ASPTINT00208,ASPDLR000373,Metro Ganesh Paints,2019-03-06,CW-Pro,OK,2025-06-05
ASPTINT00209,ASPDLR000636,City Venkatesh Paints,2022-11-18,CW-Express,Old,2026-02-04
ASPTINT00210,ASPDLR000388,Star Priya Paints,2019-09-23,CW-Classic,Shifted,2024-10-09
ASPTINT00211,ASPDLR000572,Lucky Hari Paints,2025-10-04,BH-Studio,Calibration due,2026-02-19
ASPTINT00212,ASPDLR000754,Ganesh Yusuf Paints Ltd,2018-12-24,CW-Express,Old,2024-04-30
ASPTINT00213,ASPDLR000444,Mahalakshmi Kavya Sales,2019-03-03,BH-Studio,Calibration due,2025-01-03
ASPTINT00214,ASPDLR000465,Prime Sowmya Stores,2025-06-11,CW-Express,Shifted,2025-01-25
ASPTINT00215,ASPDLR000818,Shree Meena Paints,2022-09-13,CW-Pro,Shifted,2024-07-12
ASPTINT00216,ASPDLR000118,Murugan Geetha Agencies,22-Jun-23,CW-Express,Old,2025-10-08
ASPTINT00217,ASPDLR000307,Lucky Farida Associates,2018-03-16,CW-Pro,OK,2024-05-06
ASPTINT00218,ASPDLR000040,City Geetha Tyres,2025-04-24,CW-Pro,OK,12-Sep-25
ASPTINT00219,ASPDLR000101,Sri Farida Paints,2017-01-04,BH-Studio,OK,2025-11-09
ASPTINT00220,ASPDLR000518,Sree Chandra Paints,2015-04-10,CW-Classic,Calibration due,2025-07-11
ASPTINT00221,ASPDLR000731,United Suresh Services,2018-06-21,CW-Pro,Down,2024-11-26
ASPTINT00222,ASPDLR000217,City Naveen Paints,2019-08-20,BH-Studio,Calibration due,2026-02-20
ASPTINT00223,ASPDLR000672,Lucky Priya Paints,2020-11-30,BH-Studio,OK,16-Jul-24
ASPTINT00224,ASPDLR000386,Ganesh Lakshmi Paints,2016-05-25,CW-Classic,OK,09/08/2025
ASPTINT00225,ASPDLR000557,Sri Chandra Services,28-Aug-18,CW-Express,OK,14-Dec-24
ASPTINT00226,ASPDLR000903,Vijaya Jagan Paints,2021-11-26,CW-Express,Old,30-Sep-25
ASPTINT00227,ASPDLR000493,Murugan Rafiq Paints,2016-08-21,BH-Studio,Old,2025-05-16
ASPTINT00228,ASPDLR000709,Balaji Irfan Paints,24/03/2015,CW-Pro,Down,2025-05-19
ASPTINT00229,ASPDLR000147,Shree Lakshmi Paints,2023-12-23,CW-Express,OK,2024-10-06
ASPTINT00230,ASPDLR000617,Sree Rafiq Traders,12/04/2018,CW-Classic,OK,2025-04-22
ASPTINT00231,ASPDLR000890,Kaveri Farida Hardware,2018-03-19,CW-Classic,OK,2026-01-30
ASPTINT00232,ASPDLR000336,Ganesh Deepak Agro,2019-03-25,CW-Pro,Calibration due,2024-05-28
ASPTINT00233,ASPDLR000318,Metro Yusuf Traders,2021-05-03,CW-Classic,Calibration due,2024-12-31
ASPTINT00234,ASPDLR000524,NEW LOKESH AGRO,2024-03-31,CW-Pro,Calibration due,03/30/2026
ASPTINT00235,ASPDLR000817,Mahalakshmi Meena Chemicals,02/28/2017,BH-Studio,Calibration due,2025-02-24
ASPTINT00236,ASPDLR000103,Lucky Meena Paints,2017-06-20,BH-Studio,Calibration due,2025-03-07
ASPTINT00237,ASPDLR000265,Royal Naveen Paints,05/15/2020,CW-Classic,Old,2024-11-09
ASPTINT00238,ASPDLR000680,National Venkatesh Depot,09/09/2018,CW-Classic,Shifted,25/07/2025
ASPTINT00239,ASPDLR000687,Sree Meena Services,2018-05-24,CW-Express,Old,2025-04-25
ASPTINT00240,ASPDLR000325,Ganesh Ganesh Depot,08/11/2021,CW-Pro,Old,07/02/2025
ASPTINT00241,ASPDLR000026,Vijaya Suresh Paints,02/28/2019,CW-Pro,Down,2024-11-29
ASPTINT00242,ASPDLR000732,Lucky Manoj Stores,27/01/2025,CW-Pro,OK,2025-11-08
ASPTINT00243,ASPDLR000406,UNITED GEETHA PAINTS,2025-09-08,BH-Studio,Calibration due,2024-06-27
ASPTINT00244,ASPDLR000686,Mahalakshmi Naveen Paints,2019-02-28,CW-Pro,OK,2024-08-02
ASPTINT00245,ASPDLR000443,City Anand Tyres,27/02/2019,BH-Studio,Down,2025-02-19
ASPTINT00246,ASPDLR000857,Metro Prakash Services,2016-05-01,CW-Classic,Calibration due,09/04/2025
ASPTINT00247,ASPDLR000568,National Irfan Mart,2017-07-20,CW-Classic,Old,09/09/2024
ASPTINT00248,ASPDLR000592,National Farida Paints,21-Aug-17,CW-Classic,Shifted,2024-07-27
ASPTINT00249,ASPDLR000842,Shree Suresh Paints,07-May-20,CW-Pro,OK,20/03/2025
ASPTINT00250,ASPDLR000856,Royal Bala Corporation,2022-12-24,CW-Classic,Shifted,16/08/2024
ASPTINT00251,ASPDLR000525,United Bala Paints,2025-12-23,BH-Studio,Old,2025-07-26
ASPTINT00252,ASPDLR000818,Shree Meena Paints,21/05/2025,CW-Pro,Calibration due,08/01/2024
ASPTINT00253,ASPDLR000463,Kaveri Geetha Associates,2017-01-02,CW-Express,OK,2025-05-24
