watch_id,customer_id,customer_name,added_by,added_date,watch_reason,last_known_action,manager_confidence
CEAWL00043,CEASUB000848,Star Ganesh Depot,ASM,2025-06-30,orders down,waiting for payment,low
CEAWL00044,CEADLR000556,City Prakash Distributors,Credit,07/06/2025,payment delay,waiting for payment,medium
CEAWL00045,CEASUB002745,CITY KARTHIK MART,Zonal office,19-Nov-25,payment delay,lost to competitor,unknown
CEAWL00046,CEASUB003293,Star Bala Tyres,Service,2026-03-08,scheme claim pending,waiting for payment,high
CEAWL00047,CEASUB004166,National Priya Sales,ASM,2026-02-23,service complaint,lost to competitor,medium
CEAWL00048,CEASUB002573,Vijaya Manoj Depot,ASM,31/10/2025,orders down,credit call done,low
CEAWL00049,CEASUB000300,Balaji Prakash Sales,ASM,24/07/2025,orders down,waiting for payment,high
CEAWL00050,CEASUB002171,United Naveen Tyres,Credit,2025-09-18,closed counter,new owner to verify,low
CEAWL00051,CEADLR000206,Royal Prakash Services,Credit,2025-11-28,scheme claim pending,field visit planned,low
CEAWL00052,CEASUB001154,Lucky Priya Depot,Credit,2026-03-01,owner dispute,scheme support requested,low
CEAWL00053,CEASUB003593,New Bala Corporation,ASM,2025-10-19,payment delay,field visit planned,unknown
CEAWL00054,CEASUB001484,Murugan Revathi Depot,Credit,2025-08-18,service complaint,lost to competitor,high
CEAWL00055,CEASUB004119,Prime Sowmya Fertilisers,ASM,2026-03-25,closed counter,new owner to verify,high
CEAWL00056,CEASUB001635,Sree Kavya Mart,Distributor,2026-01-23,service complaint,waiting for payment,unknown
CEAWL00057,CEADLR000394,Metro Deepak Paints,RSM,28/07/2025,competitor offer,scheme support requested,low
CEAWL00058,CEASUB004440,Sree Sanjay Sales,Credit,2026-02-04,owner dispute,lost to competitor,medium
CEAWL00059,CEASUB003226,Kaveri Jagan Associates,Credit,2025-09-01,scheme claim pending,scheme support requested,high
CEAWL00060,CEASUB001942,Modern Revathi Mart,ASM,2025-12-17,orders down,scheme support requested,medium
CEAWL00061,CEASUB001102,Sri Sowmya Corporation,Zonal office,2026-03-06,competitor offer,lost to competitor,high
CEAWL00062,CEASUB003742,Lucky Chandra Enterprises,Distributor,25/07/2025,orders down,scheme support requested,low
CEAWL00063,CEADLR000381,Kaveri Arun Tyres,Distributor,2026-01-13,owner dispute,field visit planned,high
CEAWL00064,CEASUB000176,Royal Irfan Corporation,ASM,2025-07-03,seasonal crop miss,credit call done,low
CEAWL00065,CEASUB004192,City Venkatesh Fertilisers,Distributor,03/12/2025,payment delay,field visit planned,low
CEAWL00066,CEADLR000241,Balaji Venkatesh Tyres,Distributor,06/01/2026,competitor offer,credit call done,medium
CEAWL00067,CEASUB004215,Royal Yusuf Tyres,Service,2026-03-04,service complaint,scheme support requested,unknown
CEAWL00068,CEASUB002456,Sree Revathi Tyres,Credit,2025-09-04,closed counter,scheme support requested,low
CEAWL00069,CEASUB002315,United Prakash Tyres,RSM,11/09/2025,closed counter,waiting for payment,medium
CEAWL00070,CEADLR000365,LUCKY VENKATESH TYRES,Credit,2025-10-26,closed counter,field visit planned,unknown
CEAWL00071,CEASUB002200,Sri Geetha Tyres,RSM,11/01/2025,seasonal crop miss,field visit planned,unknown
CEAWL00072,CEASUB001555,Balaji Meena Tyres,ASM,2026-01-14,competitor offer,waiting for payment,medium
CEAWL00073,CEASUB000162,Kaveri Arun Hardware,Distributor,2026-03-22,owner dispute,lost to competitor,low
CEAWL00074,CEASUB001803,Sri Naveen Associates,RSM,2025-11-30,seasonal crop miss,lost to competitor,high
CEAWL00075,CEASUB002625,Mahalakshmi Sanjay Agro,Service,2025-11-29,payment delay,lost to competitor,high
CEAWL00076,CEASUB000437,New Jagan Fertilisers,Service,2025-09-29,closed counter,lost to competitor,unknown
CEAWL00077,CEASUB000588,Mahalakshmi Geetha Tyres,RSM,16/02/2026,payment delay,scheme support requested,unknown
CEAWL00078,CEASUB003557,Kaveri Manoj Tyres,Distributor,2025-07-10,service complaint,lost to competitor,low
CEAWL00079,CEASUB000847,Murugan Senthil Tyres,Credit,2025-12-08,owner dispute,scheme support requested,medium
CEAWL00080,CEADLR000607,Sree Lakshmi Distributors,Service,2025-11-22,seasonal crop miss,lost to competitor,high
CEAWL00081,CEASUB000619,National Hari Tyres,ASM,2026-02-24,service complaint,waiting for payment,low
CEAWL00082,CEADLR000166,Ganesh Arun Tyres,Zonal office,16/06/2025,seasonal crop miss,scheme support requested,unknown
CEAWL00083,CEASUB003717,Sree Geetha Tyres,Credit,07/08/2025,competitor offer,field visit planned,high
CEAWL00084,CEASUB001301,Kaveri Lokesh Tyres,Distributor,2025-08-09,service complaint,lost to competitor,unknown
CEAWL00085,CEADLR000603,Vijaya Revathi Tyres,Zonal office,2025-12-18,closed counter,lost to competitor,medium
CEAWL00086,CEASUB001894,Star Jagan Agencies,Distributor,2025-06-28,payment delay,credit call done,high
CEAWL00087,CEADLR000398,Mahalakshmi Manoj Hardware,Zonal office,09/28/2025,scheme claim pending,new owner to verify,low
CEAWL00088,CEASUB003290,Kaveri Hari Tyres,ASM,26/10/2025,scheme claim pending,lost to competitor,unknown
CEAWL00089,CEASUB002905,Kaveri Meena Fertilisers,ASM,2025-07-30,scheme claim pending,new owner to verify,high
CEAWL00090,CEASUB001966,Lucky Senthil Stores Main,Service,2025-07-10,seasonal crop miss,lost to competitor,high
CEAWL00091,CEASUB000499,LUCKY ANAND SERVICES,ASM,09/28/2025,closed counter,credit call done,medium
CEAWL00092,CEASUB001861,Modern Venkatesh Chemicals,Service,2025-10-02,competitor offer,lost to competitor,low
CEAWL00093,CEASUB003745,Murugan Prakash Associates,RSM,16/11/2025,competitor offer,new owner to verify,low
CEAWL00094,CEASUB003626,Lucky Senthil Distributors,Distributor,2025-07-21,orders down,scheme support requested,low
CEAWL00095,CEASUB001682,Murugan Sanjay Mart Ltd,Distributor,2025-12-30,closed counter,scheme support requested,unknown
CEAWL00096,CEASUB001406,National Arun Agencies,Service,2026-02-05,payment delay,lost to competitor,high
CEAWL00097,CEASUB002317,Royal Sanjay Tyres,Service,2026-02-16,seasonal crop miss,scheme support requested,low
CEAWL00098,CEASUB004487,United Deepak Traders,Zonal office,2025-10-29,seasonal crop miss,lost to competitor,high
CEAWL00099,CEADLR000156,Royal Anand Tyres,Credit,2025-12-04,service complaint,lost to competitor,high
CEAWL00100,CEASUB000307,National Sanjay Corporation,Service,2025-12-11,competitor offer,new owner to verify,high
CEAWL00101,CEADLR000638,BALAJI BALA TRADERS,ASM,06/28/2025,service complaint,waiting for payment,low
CEAWL00102,CEASUB003087,Vijaya Geetha Traders,Zonal office,2026-03-27,seasonal crop miss,lost to competitor,low
CEAWL00103,CEADLR000649,Shree Sowmya Corporation,Service,2025-08-21,payment delay,scheme support requested,medium
CEAWL00104,CEADLR000491,Metro Bala Tyres,RSM,2026-01-16,seasonal crop miss,scheme support requested,unknown
CEAWL00105,CEASUB001814,Royal Priya Fertilisers,RSM,2025-07-13,competitor offer,field visit planned,low
CEAWL00106,CEASUB000303,City Rafiq Tyres,RSM,2025-08-27,competitor offer,scheme support requested,unknown
CEAWL00107,CEASUB001575,Ganesh Prakash Tyres,ASM,2025-07-21,closed counter,lost to competitor,unknown
CEAWL00108,CEASUB000293,Star Arun Services,Service,06/01/2025,competitor offer,lost to competitor,medium
CEAWL00109,CEASUB002435,Sri Yusuf Agencies,Distributor,2025-10-21,scheme claim pending,lost to competitor,medium
CEAWL00110,CEASUB000955,Lucky Meena Sales,ASM,2025-12-08,service complaint,new owner to verify,low
CEAWL00111,CEADLR000316,Shree Meena Sales,Credit,2026-02-17,payment delay,credit call done,medium
CEAWL00112,CEASUB001728,Sri Geetha Tyres,Zonal office,2025-12-08,owner dispute,credit call done,unknown
CEAWL00113,CEASUB000724,Shree Meena Associates,Service,2025-07-28,orders down,new owner to verify,medium
CEAWL00114,CEASUB000267,Murugan Revathi Paints,Zonal office,23/02/2026,closed counter,lost to competitor,unknown
CEAWL00115,CEASUB002730,New Rafiq Tyres Pvt,RSM,27/10/2025,scheme claim pending,lost to competitor,unknown
CEAWL00116,CEASUB002671,National Karthik Paints,Credit,2025-10-11,closed counter,waiting for payment,low
CEAWL00117,CEASUB002257,City Prakash Services,Service,2025-11-07,competitor offer,lost to competitor,unknown
CEAWL00118,CEASUB003221,Ganesh Sanjay Sales,Credit,2025-12-12,orders down,new owner to verify,high
CEAWL00119,CEASUB004165,Kaveri Ganesh Tyres,Zonal office,2025-11-15,service complaint,credit call done,low
CEAWL00120,CEASUB002487,National Jagan Tyres,Service,2025-08-18,service complaint,new owner to verify,low
CEAWL00121,CEASUB002161,Star Prakash Tyres,RSM,2025-09-23,payment delay,field visit planned,unknown
CEAWL00122,CEASUB003908,Shree Prakash Depot,RSM,2025-06-16,competitor offer,lost to competitor,unknown
CEAWL00123,CEASUB001233,Vijaya Venkatesh Tyres,Zonal office,12-Feb-26,payment delay,lost to competitor,medium
CEAWL00124,CEASUB001316,National Suresh Agro,Service,2025-10-30,owner dispute,credit call done,low
CEAWL00125,CEASUB002942,Metro Lokesh Tyres,Distributor,18-Jan-26,orders down,field visit planned,low
CEAWL00126,CEASUB001687,Sree Priya Tyres,Credit,25/06/2025,orders down,field visit planned,unknown
CEAWL00127,CEASUB000893,New Jagan Agro,Credit,28-Jun-25,closed counter,field visit planned,unknown
CEAWL00128,CEASUB000725,Sri Arun Hardware,Distributor,2025-10-29,scheme claim pending,credit call done,medium
CEAWL00129,CEASUB002687,City Lakshmi Corporation,Zonal office,2025-10-11,competitor offer,field visit planned,unknown
CEAWL00130,CEASUB001820,Ganesh Meena Traders,RSM,2026-03-18,competitor offer,lost to competitor,high
CEAWL00131,CEASUB000864,United Sowmya Sales,RSM,2025-10-25,owner dispute,scheme support requested,high
CEAWL00132,CEASUB001529,Ganesh Chandra Fertilisers,RSM,2026-01-17,scheme claim pending,field visit planned,medium
CEAWL00133,CEASUB003076,Vijaya Rafiq Fertilisers,Service,2025-09-25,seasonal crop miss,waiting for payment,medium
CEAWL00134,CEADLR000479,Murugan Venkatesh Chemicals,ASM,2026-03-31,owner dispute,lost to competitor,unknown
CEAWL00135,CEADLR000662,Star Revathi Agencies,Zonal office,2025-12-30,payment delay,credit call done,unknown
CEAWL00136,CEASUB002102,Mahalakshmi Ganesh Tyres,RSM,11/07/2025,seasonal crop miss,scheme support requested,low
CEAWL00137,CEASUB002054,Balaji Deepak Mart,Service,2026-03-26,seasonal crop miss,new owner to verify,low
CEAWL00138,CEADLR000196,Modern Lakshmi Hardware,Service,2025-08-10,scheme claim pending,scheme support requested,high
CEAWL00139,CEASUB000505,New Kavya Agro,Zonal office,23-Mar-26,service complaint,waiting for payment,unknown
CEAWL00140,CEASUB001510,Kaveri Sanjay Tyres,RSM,2026-01-01,seasonal crop miss,waiting for payment,high
CEAWL00141,CEADLR000097,Royal Chandra Tyres & Co,RSM,14-Feb-26,seasonal crop miss,field visit planned,low
CEAWL00142,CEASUB000859,Star Prakash Tyres,Credit,2026-01-13,orders down,credit call done,unknown
CEAWL00143,CEASUB002660,Sree Sowmya Sales,Credit,2025-06-18,payment delay,new owner to verify,medium
CEAWL00144,CEASUB002182,United Revathi Tyres,Zonal office,2026-03-15,service complaint,scheme support requested,low
CEAWL00145,CEASUB002705,Metro Venkatesh Tyres,Service,2026-03-10,scheme claim pending,lost to competitor,high
CEAWL00146,CEASUB001181,NEW YUSUF TYRES,RSM,2025-07-03,seasonal crop miss,field visit planned,low
CEAWL00147,CEASUB000249,Kaveri Ganesh Distributors,Credit,2025-06-07,scheme claim pending,scheme support requested,unknown
CEAWL00148,CEASUB000415,BALAJI REVATHI TYRES,Zonal office,01/08/2026,scheme claim pending,scheme support requested,low
CEAWL00149,CEADLR000269,MODERN NAVEEN CHEMICALS,ASM,2025-11-30,competitor offer,waiting for payment,high
CEAWL00150,CEASUB001034,Ganesh Manoj Tyres,Distributor,2025-06-05,seasonal crop miss,field visit planned,unknown
CEAWL00151,CEASUB002701,Modern Arun Stores,RSM,2025-06-10,scheme claim pending,credit call done,low
CEAWL00152,CEADLR000295,Prime Priya Tyres,Zonal office,2026-03-12,owner dispute,scheme support requested,unknown
CEAWL00153,CEASUB001033,National Priya Hardware,Distributor,25/07/2025,owner dispute,new owner to verify,medium
CEAWL00154,CEASUB004230,Sri Deepak Distributors,RSM,2026-02-05,closed counter,lost to competitor,low
CEAWL00155,CEASUB001283,Ganesh Revathi Fertilisers,RSM,2026-03-17,orders down,scheme support requested,low
CEAWL00156,CEASUB003988,Kaveri Ganesh Tyres,Service,2025-12-31,closed counter,credit call done,high
CEAWL00157,CEASUB001631,Mahalakshmi Naveen Enterprises,Distributor,2026-02-14,payment delay,credit call done,low
CEAWL00158,CEASUB000974,National Venkatesh Tyres,Zonal office,2026-03-31,owner dispute,credit call done,low
CEAWL00159,CEASUB001099,New Sanjay Agro,Credit,19/08/2025,service complaint,credit call done,high
CEAWL00160,CEASUB003441,STAR SOWMYA CORPORATION,Credit,2025-06-28,owner dispute,scheme support requested,low
CEAWL00161,CEASUB000970,United Geetha Distributors Ltd,Zonal office,22/09/2025,orders down,field visit planned,low
CEAWL00162,CEASUB002249,Balaji Bala Traders,Zonal office,2026-03-02,orders down,credit call done,low
CEAWL00163,CEASUB003074,Ganesh Ganesh Tyres,ASM,01/10/2025,closed counter,field visit planned,high
CEAWL00164,CEASUB004338,Lucky Kavya Tyres,RSM,2025-06-05,seasonal crop miss,field visit planned,high
CEAWL00165,CEASUB001457,Vijaya Geetha Corporation,Distributor,2025-10-03,owner dispute,lost to competitor,unknown
CEAWL00166,CEASUB000885,Royal Naveen Depot,Zonal office,24/06/2025,service complaint,field visit planned,medium
CEAWL00167,CEASUB002923,Metro Priya Agro,Service,2025-06-02,seasonal crop miss,lost to competitor,high
CEAWL00168,CEASUB000392,Prime Ganesh Depot,RSM,2025-07-07,service complaint,new owner to verify,high
CEAWL00169,CEASUB001860,Star Lakshmi Tyres,Service,2025-07-08,owner dispute,credit call done,medium
CEAWL00170,CEADLR000600,Prime Anand Tyres,Service,04/02/2026,orders down,new owner to verify,high
CEAWL00171,CEASUB004176,ROYAL IRFAN PAINTS,ASM,2025-12-30,scheme claim pending,lost to competitor,low
CEAWL00172,CEASUB003165,Star Venkatesh Tyres,ASM,2026-01-31,service complaint,scheme support requested,low
CEAWL00173,CEASUB002186,Balaji Naveen Enterprises,Credit,2026-02-13,orders down,field visit planned,low
CEAWL00174,CEASUB003138,Metro Lakshmi Hardware,Distributor,07/21/2025,orders down,credit call done,high
CEAWL00175,CEASUB000172,Royal Manoj Agencies,Distributor,09/08/2025,orders down,credit call done,medium
CEAWL00176,CEASUB004077,City Lokesh Associates,Zonal office,01/30/2026,orders down,waiting for payment,low
CEAWL00177,CEASUB002639,CITY CHANDRA AGENCIES,ASM,2026-01-31,orders down,credit call done,medium
CEAWL00178,CEASUB000073,Modern Ganesh Paints,Service,12/24/2025,service complaint,scheme support requested,unknown
CEAWL00179,CEASUB001674,Mahalakshmi Anand Tyres,Zonal office,22-Feb-26,closed counter,lost to competitor,medium
CEAWL00180,CEASUB001694,MURUGAN LAKSHMI SALES,RSM,2026-01-22,payment delay,waiting for payment,medium
CEAWL00181,CEASUB004335,Prime Sowmya Depot,Credit,13-Jul-25,seasonal crop miss,credit call done,low
CEAWL00182,CEASUB002902,Metro Rafiq Paints,Service,2026-01-17,competitor offer,new owner to verify,high
CEAWL00183,CEASUB001676,City Lakshmi Agencies,Service,2025-07-31,scheme claim pending,waiting for payment,low
CEAWL00184,CEASUB000048,GANESH IRFAN TYRES,RSM,2026-01-03,service complaint,new owner to verify,low
CEAWL00185,CEADLR000282,United Venkatesh Mart,RSM,2025-10-05,competitor offer,lost to competitor,medium
CEAWL00186,CEASUB004173,Lucky Naveen Enterprises,Zonal office,06/02/2026,seasonal crop miss,scheme support requested,medium
CEAWL00187,CEASUB004196,Sree Lokesh Tyres Ltd,Credit,2026-02-11,orders down,field visit planned,low
CEAWL00188,CEASUB001939,Star Bala Tyres,Zonal office,2026-03-11,payment delay,field visit planned,medium
CEAWL00189,CEASUB001911,Royal Hari Tyres,RSM,2025-07-08,payment delay,waiting for payment,low
CEAWL00190,CEASUB002850,LUCKY SENTHIL AGENCIES,Distributor,04/06/2025,competitor offer,credit call done,medium
CEAWL00191,CEADLR000501,Sree Naveen Tyres,Service,10-Feb-26,scheme claim pending,scheme support requested,high
CEAWL00192,CEASUB003108,Kaveri Sowmya Hardware Pvt,ASM,2025-12-14,seasonal crop miss,field visit planned,low
CEAWL00193,CEASUB002894,Ganesh Naveen Tyres,Distributor,2025-07-25,service complaint,waiting for payment,low
CEAWL00194,CEASUB001880,Ganesh Bala Tyres,Distributor,2025-09-26,scheme claim pending,scheme support requested,high
CEAWL00195,CEASUB002866,Prime Naveen Tyres,Service,2025-12-11,closed counter,scheme support requested,high
CEAWL00196,CEASUB003719,Lucky Geetha Depot,Credit,01-Oct-25,seasonal crop miss,lost to competitor,low
CEAWL00197,CEASUB003387,Shree Chandra Tyres,RSM,2026-02-19,owner dispute,field visit planned,medium
CEAWL00198,CEASUB003715,Mahalakshmi Bala Corporation,Service,2025-07-04,payment delay,waiting for payment,unknown
CEAWL00199,CEASUB001365,Kaveri Sanjay Enterprises,ASM,2025-06-02,competitor offer,scheme support requested,medium
CEAWL00200,CEADLR000706,Sree Senthil Corporation,Zonal office,2026-03-16,service complaint,credit call done,medium
CEAWL00201,CEASUB002978,UNITED LOKESH ASSOCIATES,Distributor,24/11/2025,scheme claim pending,waiting for payment,high
CEAWL00202,CEASUB004388,Modern Sanjay Tyres,ASM,2025-10-15,seasonal crop miss,waiting for payment,low
CEAWL00203,CEASUB003765,Sree Kavya Tyres,Credit,2026-01-26,scheme claim pending,credit call done,high
CEAWL00204,CEASUB004337,Royal Sanjay Distributors,Credit,2025-12-15,owner dispute,lost to competitor,high
CEAWL00205,CEASUB003403,New Venkatesh Tyres,Service,15/12/2025,competitor offer,scheme support requested,medium
CEAWL00206,CEASUB004396,Sri Rafiq Depot,Credit,03-Sep-25,competitor offer,credit call done,medium
CEAWL00207,CEASUB004473,Sree Ganesh Distributors,Distributor,2025-09-10,payment delay,field visit planned,unknown
CEAWL00208,CEASUB004236,Shree Meena Chemicals,RSM,2025-07-16,service complaint,new owner to verify,medium
CEAWL00209,CEASUB003355,Metro Senthil Tyres,ASM,2026-01-09,competitor offer,lost to competitor,high
CEAWL00210,CEASUB000010,Murugan Anand Associates,Zonal office,2025-11-15,payment delay,scheme support requested,high
CEAWL00211,CEASUB001645,Murugan Meena Traders,ASM,2025-12-20,service complaint,new owner to verify,medium
CEAWL00212,CEASUB002769,Metro Jagan Stores,Service,02/04/2026,payment delay,lost to competitor,medium
CEAWL00213,CEASUB001630,Balaji Farida Tyres,Credit,2025-12-13,owner dispute,lost to competitor,high
CEAWL00214,CEASUB000687,Vijaya Venkatesh Chemicals,Distributor,2025-07-05,closed counter,lost to competitor,unknown
CEAWL00215,CEADLR000158,Sree Chandra Tyres,ASM,2025-11-25,owner dispute,waiting for payment,low
CEAWL00216,CEASUB000753,Lucky Jagan Tyres,Distributor,13/08/2025,seasonal crop miss,credit call done,unknown
CEAWL00217,CEADLR000353,Murugan Venkatesh Depot,Credit,2025-12-14,seasonal crop miss,lost to competitor,medium
CEAWL00218,CEASUB004264,CITY YUSUF HARDWARE,Service,30-Jan-26,payment delay,credit call done,low
CEAWL00219,CEASUB001353,Lucky Arun Tyres,Distributor,29/08/2025,service complaint,new owner to verify,medium
CEAWL00220,CEADLR000067,Mahalakshmi Hari Chemicals,Service,2026-03-05,closed counter,field visit planned,high
CEAWL00221,CEADLR000235,National Prakash Tyres,Credit,2025-11-02,competitor offer,lost to competitor,low
CEAWL00222,CEADLR000709,City Arun Tyres,ASM,2026-01-04,orders down,scheme support requested,unknown
CEAWL00223,CEASUB003747,STAR BALA ASSOCIATES,RSM,2025-10-18,orders down,field visit planned,unknown
CEAWL00224,CEADLR000246,Ganesh Manoj Traders & Co,Service,03/06/2026,closed counter,waiting for payment,medium
CEAWL00225,CEASUB000846,SRI SOWMYA FERTILISERS,Service,2025-08-16,service complaint,field visit planned,medium
CEAWL00226,CEASUB000287,GANESH JAGAN HARDWARE,Zonal office,2026-01-15,closed counter,scheme support requested,high
CEAWL00227,CEASUB002025,Modern Venkatesh Distributors,Zonal office,2025-06-30,seasonal crop miss,waiting for payment,medium
CEAWL00228,CEASUB001274,Metro Meena Tyres,Zonal office,08/11/2025,competitor offer,waiting for payment,medium
CEAWL00229,CEASUB003880,Vijaya Bala Agro,Distributor,2025-12-25,competitor offer,field visit planned,medium
CEAWL00230,CEADLR000575,Metro Senthil Mart,ASM,16/01/2026,owner dispute,new owner to verify,high
CEAWL00231,CEASUB000894,Mahalakshmi Arun Tyres,Service,2026-02-02,payment delay,waiting for payment,unknown
CEAWL00232,CEASUB003852,Royal Arun Tyres,ASM,2026-03-10,owner dispute,new owner to verify,low
CEAWL00233,CEASUB001590,Ganesh Karthik Corporation,Service,2025-08-31,owner dispute,scheme support requested,high
CEAWL00234,CEASUB002260,United Hari Mart,Zonal office,2025-06-17,competitor offer,field visit planned,high
CEAWL00235,CEASUB000614,Mahalakshmi Sanjay Tyres,Zonal office,2025-06-09,closed counter,waiting for payment,low
CEAWL00236,CEASUB001254,New Rafiq Tyres,RSM,2025-06-12,seasonal crop miss,new owner to verify,low
CEAWL00237,CEASUB000856,Royal Manoj Mart,Zonal office,2026-03-09,scheme claim pending,credit call done,medium
CEAWL00238,CEASUB003774,Shree Venkatesh Tyres,Service,2025-11-09,closed counter,waiting for payment,low
CEAWL00239,CEASUB002340,New Sanjay Enterprises,Zonal office,2026-01-24,orders down,scheme support requested,unknown
CEAWL00240,CEASUB004317,United Venkatesh Agro,ASM,2025-11-06,payment delay,field visit planned,unknown
CEAWL00241,CEADLR000489,United Farida Tyres,ASM,2025-09-20,competitor offer,scheme support requested,medium
CEAWL00242,CEASUB003270,Mahalakshmi Anand Services,Credit,2026-03-05,payment delay,field visit planned,low
CEAWL00243,CEASUB000011,Sri Sowmya Sales,Service,2026-01-19,owner dispute,field visit planned,high
CEAWL00244,CEASUB003763,National Bala Tyres,RSM,2025-12-02,scheme claim pending,waiting for payment,medium
CEAWL00245,CEASUB000406,Sri Lokesh Mart,Credit,10/06/2025,owner dispute,scheme support requested,unknown
CEAWL00246,CEASUB004498,Star Priya Hardware,Credit,2026-02-12,closed counter,scheme support requested,low
CEAWL00247,CEASUB001958,Balaji Rafiq Hardware,Credit,2025-09-15,competitor offer,lost to competitor,unknown
CEAWL00248,CEASUB000102,Prime Prakash Enterprises,Credit,2025-08-01,payment delay,waiting for payment,high
CEAWL00249,CEASUB003058,Star Suresh Enterprises,Zonal office,2025-06-28,orders down,credit call done,high
CEAWL00250,CEASUB003045,National Lokesh Services,ASM,2025-08-09,owner dispute,credit call done,low
CEAWL00251,CEASUB001170,Royal Yusuf Hardware,Service,18/12/2025,service complaint,field visit planned,medium
CEAWL00252,CEASUB003362,Murugan Sowmya Distributors,Service,14-Mar-26,closed counter,new owner to verify,unknown
