service_id,service_date,fleet_id,mapped_dealer_id,vehicle_no,service_type,tyres_checked,issue_count,recommended_action,note
CEAFS00000029,2024-11-22,CEAFLEET00088,CEADLR000730,KA28GH6606,claim check,5,0,replace,driver unavailable
CEAFS00000030,2025-03-18,CEAFLEET00271,CEADLR000593,KL34JK2716,pressure audit,9,8,alignment,
CEAFS00000031,2026-01-31,CEAFLEET00092,CEADLR000454,KL32EF2964,claim check,18,8,none,
CEAFS00000032,2025-05-26,CEAFLEET00007,CEADLR000177,TN67CD2831,fitment,13,5,replace,
CEAFS00000033,2025-09-17,CEAFLEET00201,CEADLR000372,KA58JK7101,alignment,4,8,rotate,
CEAFS00000034,2025-07-01,CEAFLEET00016,CEADLR000288,TS73JK6674,claim check,19,7,rotate,fleet price issue
CEAFS00000035,2025-07-07,CEAFLEET00192,CEADLR000011,KL39JK4700,claim check,24,1,replace,
CEAFS00000036,2025-12-08,CEAFLEET00274,CEADLR000701,KA24JK7258,alignment,2,1,pressure training,high wear
CEAFS00000037,2024-11-03,CEAFLEET00061,CEADLR000466,TS44CD5769,alignment,10,3,none,
CEAFS00000038,17/10/2025,CEAFLEET00237,CEADLR000642,KL76GH7499,alignment,21,8,claim,
CEAFS00000039,2025-04-21,CEAFLEET00190,CEADLR000355,KA61CD9694,alignment,17,4,none,driver unavailable
CEAFS00000040,2024-11-01,CEAFLEET00139,CEADLR000408,TS52AB4367,pressure audit,17,4,rotate,fleet price issue
CEAFS00000041,2025-10-30,CEAFLEET00022,CEADLR000639,TN23EF5998,pressure audit,17,8,replace,competitor tyres fitted
CEAFS00000042,2026-01-10,CEAFLEET00280,CEADLR000239,AP68CD3382,alignment,27,1,claim,fleet price issue
CEAFS00000043,2024-06-15,CEAFLEET00185,CEADLR000119,TN57AB1295,alignment,7,2,claim,
CEAFS00000044,2024-05-02,CEAFLEET00122,CEADLR000186,AP85EF4514,inspection,28,2,alignment,competitor tyres fitted
CEAFS00000045,2025-04-01,CEAFLEET00110,CEADLR000222,KL72CD8897,rotation,11,8,rotate,competitor tyres fitted
CEAFS00000046,05/08/2025,CEAFLEET00304,CEADLR000723,TN98JK7333,pressure audit,23,6,claim,driver unavailable
CEAFS00000047,2026-01-12,CEAFLEET00092,CEADLR000454,TN16GH4904,pressure audit,14,0,claim,high wear
CEAFS00000048,2025-03-08,CEAFLEET00182,CEADLR000250,KL96AB5021,claim check,15,1,claim,
CEAFS00000049,2025-04-17,CEAFLEET00183,CEADLR000504,AP77CD3403,pressure audit,29,4,rotate,competitor tyres fitted
CEAFS00000050,18-Sep-24,CEAFLEET00157,CEADLR000573,KL74GH7001,claim check,31,5,alignment,driver unavailable
CEAFS00000051,2025-02-12,CEAFLEET00049,CEADLR000040,AP41EF1302,claim check,17,2,replace,fleet price issue
CEAFS00000052,2025-01-08,CEAFLEET00087,CEADLR000454,TS51JK7112,claim check,9,3,replace,fleet price issue
CEAFS00000053,2024-04-12,CEAFLEET00154,CEADLR000010,TS64JK4197,pressure audit,19,7,alignment,high wear
CEAFS00000054,2024-10-25,CEAFLEET00176,CEADLR000548,AP59CD1989,fitment,10,6,none,driver unavailable
CEAFS00000055,02/03/2025,CEAFLEET00092,CEADLR000454,KL40AB5455,rotation,12,1,rotate,high wear
CEAFS00000056,2024-10-09,CEAFLEET00293,CEADLR000656,KA36JK8876,pressure audit,2,1,pressure training,
CEAFS00000057,2025-11-07,CEAFLEET00100,CEADLR000151,AP79JK2573,claim check,15,3,claim,competitor tyres fitted
CEAFS00000058,2026-01-28,CEAFLEET00002,CEADLR000104,KA26JK9421,fitment,12,7,claim,high wear
CEAFS00000059,2026-03-06,CEAFLEET00036,CEADLR000452,KL79CD8725,claim check,2,4,replace,
CEAFS00000060,2024-04-25,CEAFLEET00111,CEADLR000688,TS40GH3343,inspection,32,5,replace,driver unavailable
CEAFS00000061,2025-08-10,CEAFLEET00137,CEADLR000445,KL86GH8441,claim check,7,5,replace,competitor tyres fitted
CEAFS00000062,2025-08-16,CEAFLEET00247,CEADLR000223,TS64EF6956,inspection,16,6,replace,fleet price issue
CEAFS00000063,2025-01-06,CEAFLEET00308,CEADLR000254,TS15EF2829,alignment,11,8,rotate,
CEAFS00000064,2025-02-21,CEAFLEET00230,CEADLR000681,KL29EF7286,pressure audit,13,0,pressure training,fleet price issue
CEAFS00000065,2024-06-25,CEAFLEET00067,CEADLR000379,TN24AB9079,pressure audit,32,4,pressure training,fleet price issue
CEAFS00000066,2024-04-03,CEAFLEET00292,CEADLR000037,TS91AB6695,alignment,28,8,none,high wear
CEAFS00000067,2026-01-15,CEAFLEET00295,CEADLR000189,KA68JK5521,pressure audit,11,0,rotate,competitor tyres fitted
CEAFS00000068,28/09/2025,CEAFLEET00277,CEADLR000525,TN71GH5372,claim check,6,8,replace,
CEAFS00000069,2024-08-04,CEAFLEET00163,CEADLR000393,AP18EF3380,inspection,11,3,claim,fleet price issue
CEAFS00000070,2026-01-24,CEAFLEET00146,CEADLR000109,AP48CD9524,fitment,29,3,replace,driver unavailable
CEAFS00000071,2025-03-28,CEAFLEET00241,CEADLR000143,TN31AB5735,inspection,5,3,replace,competitor tyres fitted
CEAFS00000072,2025-12-17,CEAFLEET00067,CEADLR000379,TN25GH1474,inspection,14,2,replace,driver unavailable
CEAFS00000073,2024-10-05,CEAFLEET00113,CEADLR000122,TS18AB2478,claim check,9,0,replace,fleet price issue
CEAFS00000074,2025-01-01,CEAFLEET00089,CEADLR000219,TN15AB1350,claim check,8,6,replace,competitor tyres fitted
CEAFS00000075,25-Jun-24,CEAFLEET00182,CEADLR000250,TN95JK1473,alignment,10,0,alignment,
CEAFS00000076,2024-07-25,CEAFLEET00211,CEADLR000622,TN64JK1861,pressure audit,29,2,pressure training,driver unavailable
CEAFS00000077,2026-03-19,CEAFLEET00305,CEADLR000431,KA32GH8054,fitment,30,4,replace,high wear
CEAFS00000078,2025-01-19,CEAFLEET00021,CEADLR000662,TS17AB8246,rotation,8,4,pressure training,fleet price issue
CEAFS00000079,2025-05-01,CEAFLEET00064,CEADLR000578,AP98AB9675,rotation,12,1,none,driver unavailable
CEAFS00000080,2024-10-25,CEAFLEET00074,CEADLR000605,TS46CD8079,alignment,31,6,claim,high wear
CEAFS00000081,28/11/2024,CEAFLEET00186,CEADLR000413,KA51GH6566,rotation,13,3,rotate,fleet price issue
CEAFS00000082,2024-11-21,CEAFLEET00187,CEADLR000230,AP60GH3278,inspection,7,1,pressure training,high wear
CEAFS00000083,2026-03-23,CEAFLEET00168,CEADLR000414,TS60AB7684,claim check,3,3,claim,high wear
CEAFS00000084,2025-05-04,CEAFLEET00255,CEADLR000684,TS38JK9103,claim check,3,0,replace,fleet price issue
CEAFS00000085,2024-10-02,CEAFLEET00135,CEADLR000692,TN96CD8051,inspection,28,2,claim,high wear
CEAFS00000086,2025-04-30,CEAFLEET00145,CEADLR000273,KA68EF6602,alignment,15,7,replace,competitor tyres fitted
CEAFS00000087,2025-01-03,CEAFLEET00215,CEADLR000079,KA97AB5416,rotation,28,0,alignment,fleet price issue
CEAFS00000088,2024-05-03,CEAFLEET00272,CEADLR000600,TS65JK5950,pressure audit,29,1,alignment,driver unavailable
CEAFS00000089,15/04/2024,CEAFLEET00140,CEADLR000566,AP88AB9435,claim check,23,6,pressure training,
CEAFS00000090,2024-08-24,CEAFLEET00288,CEADLR000209,TN35AB3593,rotation,20,2,claim,
CEAFS00000091,2025-09-12,CEAFLEET00084,CEADLR000383,KA10CD6471,claim check,9,3,pressure training,
CEAFS00000092,2024-04-21,CEAFLEET00224,CEADLR000059,AP25CD2598,inspection,24,6,alignment,driver unavailable
CEAFS00000093,07/11/2025,CEAFLEET00123,CEADLR000331,AP50AB7404,rotation,29,7,none,high wear
CEAFS00000094,02/10/2025,CEAFLEET00291,CEADLR000111,TN50AB4695,inspection,11,7,alignment,fleet price issue
CEAFS00000095,2026-01-11,CEAFLEET00123,CEADLR000331,KL57JK3598,claim check,9,7,alignment,high wear
CEAFS00000096,2025-04-05,CEAFLEET00180,CEADLR000620,TN68GH9063,claim check,23,4,rotate,
CEAFS00000097,2024-05-13,CEAFLEET00225,CEADLR000705,TS38JK7694,claim check,20,4,none,
CEAFS00000098,06/11/2024,CEAFLEET00177,CEADLR000205,KA82GH6777,claim check,21,7,rotate,
CEAFS00000099,2025-04-29,CEAFLEET00213,CEADLR000629,KA77GH6217,inspection,13,1,alignment,driver unavailable
CEAFS00000100,2024-09-24,CEAFLEET00027,CEADLR000572,AP35EF3421,fitment,5,5,none,driver unavailable
CEAFS00000101,2025-02-21,CEAFLEET00226,CEADLR000332,TN40AB1449,rotation,25,5,rotate,high wear
CEAFS00000102,03/03/2025,CEAFLEET00113,CEADLR000122,KA96AB5651,rotation,4,1,replace,
CEAFS00000103,2025-05-16,CEAFLEET00018,CEADLR000541,AP51JK9416,fitment,23,6,none,high wear
CEAFS00000104,2025-06-23,CEAFLEET00306,CEADLR000619,KL95CD5817,fitment,28,6,rotate,
CEAFS00000105,2025-09-19,CEAFLEET00072,CEADLR000357,TS16JK7450,claim check,28,4,rotate,driver unavailable
CEAFS00000106,2024-11-01,CEAFLEET00065,CEADLR000361,AP97EF3469,rotation,22,6,alignment,high wear
CEAFS00000107,2024-06-29,CEAFLEET00289,CEADLR000251,TS44EF3472,inspection,24,0,claim,driver unavailable
CEAFS00000108,12/02/2025,CEAFLEET00067,CEADLR000379,AP14JK7914,claim check,24,5,pressure training,competitor tyres fitted
CEAFS00000109,06/22/2024,CEAFLEET00255,CEADLR000684,KL30AB9914,inspection,32,7,none,
CEAFS00000110,2025-10-19,CEAFLEET00090,CEADLR000600,KL48EF2019,inspection,16,6,alignment,competitor tyres fitted
CEAFS00000111,18/10/2024,CEAFLEET00130,CEADLR000278,AP15GH2017,claim check,2,4,rotate,competitor tyres fitted
CEAFS00000112,2024-09-12,CEAFLEET00009,CEADLR000152,TS73GH8136,inspection,26,4,claim,
CEAFS00000113,2025-11-07,CEAFLEET00235,CEADLR000352,AP86EF8168,alignment,8,0,claim,
CEAFS00000114,2025-10-14,CEAFLEET00259,CEADLR000592,KA50JK1641,fitment,14,5,none,
CEAFS00000115,2024-11-16,CEAFLEET00273,CEADLR000578,TN64CD4546,claim check,2,6,none,fleet price issue
CEAFS00000116,2026-03-21,CEAFLEET00220,CEADLR000516,KA61AB2855,rotation,21,4,replace,driver unavailable
CEAFS00000117,2024-04-11,CEAFLEET00232,CEADLR000591,KA66CD9528,rotation,10,0,alignment,fleet price issue
CEAFS00000118,07/10/2025,CEAFLEET00180,CEADLR000620,KL49JK7618,inspection,9,1,alignment,
CEAFS00000119,24/06/2024,CEAFLEET00150,CEADLR000246,KA42CD3671,inspection,26,7,replace,competitor tyres fitted
CEAFS00000120,12/02/2026,CEAFLEET00225,CEADLR000705,KA82EF9883,pressure audit,14,5,claim,high wear
CEAFS00000121,2025-07-03,CEAFLEET00231,CEADLR000078,KL40JK4207,fitment,4,7,none,
CEAFS00000122,2025-11-30,CEAFLEET00132,CEADLR000030,KL24GH9456,alignment,27,1,claim,driver unavailable
CEAFS00000123,2026-01-25,CEAFLEET00020,CEADLR000440,KL48JK5495,inspection,5,7,rotate,competitor tyres fitted
CEAFS00000124,2026-01-28,CEAFLEET00145,CEADLR000273,AP88EF2759,fitment,18,5,replace,competitor tyres fitted
CEAFS00000125,2024-09-04,CEAFLEET00266,CEADLR000111,KA34EF9604,claim check,23,2,none,
CEAFS00000126,2026-01-18,CEAFLEET00141,CEADLR000484,KA80JK5987,fitment,4,3,claim,fleet price issue
CEAFS00000127,2024-05-26,CEAFLEET00114,CEADLR000479,KL23EF2496,alignment,9,4,claim,driver unavailable
CEAFS00000128,2025-05-23,CEAFLEET00166,CEADLR000552,TS35CD4703,fitment,26,8,pressure training,competitor tyres fitted
CEAFS00000129,2024-10-24,CEAFLEET00211,CEADLR000622,TN99JK3123,alignment,32,4,rotate,fleet price issue
CEAFS00000130,2024-12-28,CEAFLEET00046,CEADLR000018,AP48JK4258,rotation,14,1,alignment,competitor tyres fitted
CEAFS00000131,20/04/2025,CEAFLEET00162,CEADLR000696,TN39EF7042,claim check,2,6,replace,fleet price issue
CEAFS00000132,22-Jan-26,CEAFLEET00315,CEADLR000461,AP27JK9645,rotation,23,1,claim,fleet price issue
CEAFS00000133,04-Sep-25,CEAFLEET00128,CEADLR000485,KA82EF9897,inspection,23,6,alignment,fleet price issue
CEAFS00000134,2024-10-28,CEAFLEET00139,CEADLR000408,TS48EF1156,pressure audit,15,4,pressure training,driver unavailable
CEAFS00000135,2024-10-25,CEAFLEET00304,CEADLR000723,KA23EF7011,fitment,24,6,none,fleet price issue
CEAFS00000136,2026-01-12,CEAFLEET00139,CEADLR000408,TN10JK4862,claim check,14,2,pressure training,high wear
CEAFS00000137,2025-01-03,CEAFLEET00072,CEADLR000357,KA75EF6121,fitment,25,2,replace,competitor tyres fitted
CEAFS00000138,2025-02-23,CEAFLEET00173,CEADLR000108,TN44AB6163,alignment,17,6,claim,high wear
CEAFS00000139,2025-12-22,CEAFLEET00137,CEADLR000445,AP10GH7480,claim check,6,0,pressure training,fleet price issue
CEAFS00000140,2024-12-24,CEAFLEET00058,CEADLR000513,TN38AB5156,claim check,2,3,rotate,fleet price issue
CEAFS00000141,2024-12-17,CEAFLEET00095,CEADLR000187,TS50EF7786,alignment,2,6,replace,
CEAFS00000142,2025-11-22,CEAFLEET00122,CEADLR000186,KA51AB4751,alignment,20,6,rotate,driver unavailable
CEAFS00000143,2025-12-24,CEAFLEET00277,CEADLR000525,KL74GH7670,rotation,27,0,pressure training,competitor tyres fitted
CEAFS00000144,23/02/2026,CEAFLEET00195,CEADLR000324,AP80CD2514,alignment,26,5,replace,high wear
CEAFS00000145,2024-10-24,CEAFLEET00038,CEADLR000577,TS38JK6073,fitment,18,3,alignment,competitor tyres fitted
CEAFS00000146,2025-09-18,CEAFLEET00134,CEADLR000451,KA16EF3044,rotation,16,1,alignment,competitor tyres fitted
CEAFS00000147,2024-04-16,CEAFLEET00280,CEADLR000239,TN23JK4306,pressure audit,22,5,none,high wear
CEAFS00000148,2025-10-26,CEAFLEET00086,CEADLR000511,KL68JK1186,claim check,6,4,none,fleet price issue
CEAFS00000149,12/01/2025,CEAFLEET00127,CEADLR000162,AP72GH7790,inspection,28,4,replace,driver unavailable
CEAFS00000150,2024-06-11,CEAFLEET00018,CEADLR000541,TS75AB8283,inspection,4,0,rotate,high wear
CEAFS00000151,2025-12-28,CEAFLEET00046,CEADLR000018,KL39AB4145,alignment,26,6,none,driver unavailable
CEAFS00000152,2025-03-18,CEAFLEET00049,CEADLR000040,AP30EF7877,fitment,25,8,pressure training,driver unavailable
CEAFS00000153,2025-08-23,CEAFLEET00135,CEADLR000692,TS28GH5745,pressure audit,6,2,claim,
CEAFS00000154,2024-10-11,CEAFLEET00235,CEADLR000352,KA18EF1317,fitment,23,3,rotate,driver unavailable
CEAFS00000155,2025-02-23,CEAFLEET00027,CEADLR000572,TS22GH6602,claim check,4,5,alignment,high wear
CEAFS00000156,2024-12-22,CEAFLEET00303,CEADLR000064,TS30AB9400,fitment,21,4,rotate,fleet price issue
CEAFS00000157,2024-11-03,CEAFLEET00292,CEADLR000037,AP36EF8740,inspection,27,4,none,high wear
CEAFS00000158,2024-08-09,CEAFLEET00047,CEADLR000524,AP34JK1988,fitment,8,7,claim,high wear
CEAFS00000159,2024-09-06,CEAFLEET00143,CEADLR000385,KL47AB5201,rotation,2,6,rotate,
CEAFS00000160,2025-01-29,CEAFLEET00008,CEADLR000327,KA72AB8903,claim check,20,2,none,high wear
CEAFS00000161,2024-06-06,CEAFLEET00316,CEADLR000478,KL39GH9049,inspection,28,7,alignment,competitor tyres fitted
CEAFS00000162,24/10/2024,CEAFLEET00206,CEADLR000678,KL13GH5991,claim check,20,7,alignment,
CEAFS00000163,2024-08-22,CEAFLEET00023,CEADLR000702,AP97CD5599,fitment,26,1,pressure training,
CEAFS00000164,2024-06-18,CEAFLEET00288,CEADLR000209,TN38EF4096,claim check,29,4,replace,fleet price issue
CEAFS00000165,2025-10-22,CEAFLEET00260,CEADLR000402,TS83EF8309,rotation,10,5,claim,competitor tyres fitted
CEAFS00000166,14-Jul-24,CEAFLEET00153,CEADLR000312,KA65GH5171,inspection,13,1,alignment,driver unavailable
CEAFS00000167,17/07/2025,CEAFLEET00004,CEADLR000059,TS66JK4660,rotation,5,0,claim,competitor tyres fitted
CEAFS00000168,2024-05-03,CEAFLEET00016,CEADLR000288,TN33JK6969,claim check,20,7,pressure training,
CEAFS00000169,2024-08-09,CEAFLEET00310,CEADLR000022,KL68AB6711,inspection,8,7,alignment,
CEAFS00000170,2025-10-15,CEAFLEET00120,CEADLR000639,KL70GH6649,inspection,22,3,pressure training,fleet price issue
CEAFS00000171,2025-05-06,CEAFLEET00106,CEADLR000394,KA57GH4432,inspection,20,2,alignment,driver unavailable
CEAFS00000172,2024-10-16,CEAFLEET00248,CEADLR000123,KA75GH7239,fitment,22,1,none,high wear
CEAFS00000173,10/08/2024,CEAFLEET00306,CEADLR000619,AP80GH6560,inspection,18,7,claim,fleet price issue
CEAFS00000174,2026-01-11,CEAFLEET00126,CEADLR000473,AP85AB1540,fitment,14,7,claim,
CEAFS00000175,2025-04-28,CEAFLEET00219,CEADLR000010,KA17EF6766,rotation,19,4,replace,high wear
CEAFS00000176,21/02/2025,CEAFLEET00264,CEADLR000491,KA52GH4084,rotation,15,3,replace,high wear
CEAFS00000177,2024-10-24,CEAFLEET00048,CEADLR000630,KL49GH9883,rotation,12,8,alignment,high wear
CEAFS00000178,2025-09-16,CEAFLEET00093,CEADLR000311,TS37GH1331,fitment,23,4,none,high wear
CEAFS00000179,2025-11-16,CEAFLEET00214,CEADLR000030,TS97JK7298,inspection,7,7,rotate,competitor tyres fitted
CEAFS00000180,2025-01-01,CEAFLEET00009,CEADLR000152,KL53CD4393,fitment,32,8,alignment,competitor tyres fitted
CEAFS00000181,30/08/2024,CEAFLEET00055,CEADLR000621,KL89EF6501,claim check,8,7,none,fleet price issue
CEAFS00000182,2025-12-25,CEAFLEET00099,CEADLR000369,TN80CD4944,fitment,21,6,replace,competitor tyres fitted
CEAFS00000183,2025-06-21,CEAFLEET00187,CEADLR000230,TN26EF1523,fitment,18,3,pressure training,
CEAFS00000184,2025-07-19,CEAFLEET00035,CEADLR000280,KL80JK1131,claim check,29,8,pressure training,high wear
CEAFS00000185,2024-08-15,CEAFLEET00300,CEADLR000643,KL61AB4172,alignment,29,2,claim,
CEAFS00000186,01/27/2025,CEAFLEET00197,CEADLR000392,KA52AB6562,rotation,32,6,claim,fleet price issue
CEAFS00000187,2024-11-08,CEAFLEET00183,CEADLR000504,TN16EF9395,inspection,26,2,pressure training,driver unavailable
CEAFS00000188,2025-07-31,CEAFLEET00141,CEADLR000484,KL31AB9691,pressure audit,17,4,replace,high wear
CEAFS00000189,2026-03-30,CEAFLEET00200,CEADLR000667,TS16EF6998,alignment,3,5,replace,high wear
CEAFS00000190,2025-05-20,CEAFLEET00063,CEADLR000663,AP21JK2619,alignment,16,1,pressure training,high wear
CEAFS00000191,2025-12-22,CEAFLEET00076,CEADLR000154,KA78CD4426,fitment,24,5,rotate,competitor tyres fitted
CEAFS00000192,2025-10-29,CEAFLEET00218,CEADLR000202,TN33GH4994,fitment,28,5,rotate,fleet price issue
CEAFS00000193,13/12/2025,CEAFLEET00224,CEADLR000059,KL68AB4625,fitment,26,0,pressure training,competitor tyres fitted
CEAFS00000194,2024-08-12,CEAFLEET00295,CEADLR000189,KA80EF2140,alignment,2,4,alignment,fleet price issue
CEAFS00000195,24/08/2024,CEAFLEET00134,CEADLR000451,KA64CD4728,fitment,4,2,claim,
CEAFS00000196,2025-02-03,CEAFLEET00194,CEADLR000165,AP93GH8231,claim check,9,6,none,fleet price issue
CEAFS00000197,03-Mar-25,CEAFLEET00299,CEADLR000136,KA54AB4511,claim check,25,6,alignment,high wear
CEAFS00000198,2025-11-30,CEAFLEET00316,CEADLR000478,TS26CD6497,alignment,15,2,none,competitor tyres fitted
CEAFS00000199,17/01/2025,CEAFLEET00302,CEADLR000731,KA99EF4827,rotation,15,1,rotate,fleet price issue
CEAFS00000200,2025-10-09,CEAFLEET00098,CEADLR000107,TS55EF6817,fitment,4,1,none,high wear
CEAFS00000201,2025-04-28,CEAFLEET00134,CEADLR000451,AP20EF8410,alignment,11,4,pressure training,
CEAFS00000202,2024-07-18,CEAFLEET00133,CEADLR000516,AP27JK7126,alignment,30,3,replace,driver unavailable
CEAFS00000203,2025-03-02,CEAFLEET00114,CEADLR000479,TN24CD2342,claim check,21,7,rotate,competitor tyres fitted
CEAFS00000204,11-Apr-24,CEAFLEET00051,CEADLR000001,AP24EF4840,pressure audit,2,8,rotate,driver unavailable
CEAFS00000205,25/04/2025,CEAFLEET00167,CEADLR000225,KA51EF5608,alignment,16,2,rotate,high wear
CEAFS00000206,01/09/2025,CEAFLEET00263,CEADLR000079,TS90GH3408,alignment,32,0,none,driver unavailable
CEAFS00000207,2024-11-04,CEAFLEET00291,CEADLR000111,TN60EF2148,alignment,25,7,pressure training,high wear
CEAFS00000208,24/09/2025,CEAFLEET00183,CEADLR000504,KL77EF2825,claim check,27,5,rotate,fleet price issue
CEAFS00000209,2025-10-06,CEAFLEET00277,CEADLR000525,AP52JK6087,alignment,4,7,none,fleet price issue
CEAFS00000210,11-Sep-24,CEAFLEET00050,CEADLR000140,AP44EF9660,rotation,13,7,alignment,driver unavailable
CEAFS00000211,2024-07-28,CEAFLEET00071,CEADLR000602,AP89GH2374,pressure audit,19,8,claim,
CEAFS00000212,2024-05-16,CEAFLEET00083,CEADLR000138,KL65GH4982,fitment,28,1,replace,high wear
CEAFS00000213,2025-07-24,CEAFLEET00071,CEADLR000602,TN27EF1945,pressure audit,9,0,rotate,competitor tyres fitted
CEAFS00000214,2024-07-01,CEAFLEET00257,CEADLR000717,KL50CD5048,claim check,10,0,rotate,competitor tyres fitted
CEAFS00000215,2025-09-19,CEAFLEET00201,CEADLR000372,KA46CD5491,rotation,27,2,pressure training,competitor tyres fitted
CEAFS00000216,30-Mar-25,CEAFLEET00257,CEADLR000717,TS65JK9461,inspection,14,5,none,fleet price issue
CEAFS00000217,2026-01-23,CEAFLEET00178,CEADLR000735,KL77AB6604,claim check,28,7,replace,fleet price issue
CEAFS00000218,2025-01-26,CEAFLEET00061,CEADLR000466,KL94AB6372,claim check,17,2,alignment,
CEAFS00000219,2024-12-06,CEAFLEET00160,CEADLR000210,KL87GH9472,pressure audit,25,7,replace,driver unavailable
CEAFS00000220,2024-06-12,CEAFLEET00059,CEADLR000676,KL43CD3775,rotation,19,0,none,driver unavailable
CEAFS00000221,2025-11-04,CEAFLEET00182,CEADLR000250,AP62CD8612,fitment,25,4,alignment,competitor tyres fitted
CEAFS00000222,2024-09-14,CEAFLEET00219,CEADLR000010,KL46CD7967,pressure audit,14,5,pressure training,driver unavailable
CEAFS00000223,2024-12-22,CEAFLEET00097,CEADLR000006,KL96CD7607,inspection,28,4,replace,
CEAFS00000224,2025-04-16,CEAFLEET00164,CEADLR000712,KA81JK1217,claim check,14,2,claim,competitor tyres fitted
CEAFS00000225,2025-08-05,CEAFLEET00181,CEADLR000168,KL11EF5904,fitment,13,0,alignment,
CEAFS00000226,28/01/2026,CEAFLEET00141,CEADLR000484,KA61JK2125,pressure audit,19,6,alignment,fleet price issue
CEAFS00000227,2025-12-30,CEAFLEET00230,CEADLR000681,AP42JK7361,alignment,17,2,rotate,fleet price issue
CEAFS00000228,2025-10-23,CEAFLEET00030,CEADLR000437,TN34CD2003,inspection,21,1,alignment,competitor tyres fitted
CEAFS00000229,2025-05-09,CEAFLEET00033,CEADLR000737,KA99AB6198,pressure audit,31,3,alignment,fleet price issue
CEAFS00000230,2026-01-27,CEAFLEET00084,CEADLR000383,KL39JK2707,inspection,25,2,pressure training,fleet price issue
CEAFS00000231,2025-04-22,CEAFLEET00002,CEADLR000104,KA51JK3573,rotation,15,6,rotate,high wear
CEAFS00000232,01/13/2025,CEAFLEET00186,CEADLR000413,KA84CD9161,inspection,4,1,none,competitor tyres fitted
CEAFS00000233,2025-05-29,CEAFLEET00124,CEADLR000671,KA83CD8622,rotation,26,8,replace,
